
[00:00:00.000 --> 00:00:10.000]  時間過得很快 轉眼間有時我都不想起床
[00:00:10.000 --> 00:00:14.000]  因為覺得過一天就要離開香港
[00:00:14.000 --> 00:00:18.000]  這次回來我覺得很特別 我特意叫朋友帶我去一些地方
[00:00:18.000 --> 00:00:26.000]  例如石硤尾、飛鵝嶺 我很想去一些我很想去的地方
[00:00:26.000 --> 00:00:36.000]  所以這次我想起六年前我女兒去了中國教英文
[00:00:36.000 --> 00:00:40.000]  拿了暑假 我女兒當時十九歲
[00:00:40.000 --> 00:00:45.000]  我不知道如果做爸爸的感覺會怎樣 我很擔心她
[00:00:45.000 --> 00:00:51.000]  我請了三個我最信任的朋友包了車在她香港落機
[00:00:51.000 --> 00:00:57.000]  叫三個人和她一起帶她去校舍 見到學校的人才離開
[00:00:57.000 --> 00:01:01.000]  要拍照給我看 全程我和他們通訊
[00:01:01.000 --> 00:01:05.000]  我很疼我的女兒 我都很擔心我的女兒
[00:01:05.000 --> 00:01:12.000]  我就厚著面皮要求這三個朋友無論如何一定要貼身帶我女兒進去
[00:01:12.000 --> 00:01:15.000]  我女兒在暑假結束要離開學校
[00:01:15.000 --> 00:01:21.000]  我就趕到我剛剛在中國做完要做的工作
[00:01:21.000 --> 00:01:29.000]  去到她校舍門口接她 又是厚著面皮逼我朋友借車和司機
[00:01:29.000 --> 00:01:32.000]  和我去到校舍門口接她
[00:01:32.000 --> 00:01:35.000]  那天下著雨 我記得我擔著雨傘
[00:01:35.000 --> 00:01:38.000]  當我見到我女兒出現的時候 我真的崩潰
[00:01:38.000 --> 00:01:50.000]  因為真的很想念我的女兒 幾個月沒見 十九歲
[00:01:50.000 --> 00:01:56.000]  所以有人問我 你這麼厚面皮又麻煩你的朋友
[00:01:56.000 --> 00:01:59.000]  我說我那時候已經沒有面皮了
[00:01:59.000 --> 00:02:03.000]  所以好像這次回來一樣
[00:02:03.000 --> 00:02:15.000]  我很怕容木斯做主席 因為很多人都說你不需要回來
[00:02:15.000 --> 00:02:18.000]  我說回香港我很想和別人說耶穌
[00:02:18.000 --> 00:02:23.000]  現在在香港說耶穌不容易說的 很多教會搞報道會很難搞
[00:02:23.000 --> 00:02:32.000]  很多事情不是容易搞就搞
[00:02:32.000 --> 00:02:37.000]  我去接我女兒也不容易 我叫我朋友去繞很遠
[00:02:37.000 --> 00:02:43.000]  因為我知道她有車 我說無論如何你都要和我繞一繞
[00:02:43.000 --> 00:02:48.000]  繞一繞去那裡才行 她說沒辦法 說到出聲
[00:02:48.000 --> 00:02:53.000]  我真的沒什麼面皮 一定要去
[00:02:53.000 --> 00:02:58.000]  這次也是一樣 容木斯說得對 21天我都會回來
[00:02:58.000 --> 00:03:09.000]  其實我今天想著不會的 因為昨天已經兩次了
[00:03:09.000 --> 00:03:15.000]  我希望下課不會 我想告訴大家
[00:03:15.000 --> 00:03:25.000]  2008年閩村地震 我去了閩村探教會
[00:03:25.000 --> 00:03:29.000]  很多教會都倒塌了 我去弟兄節都勸我
[00:03:29.000 --> 00:03:35.000]  徐弟兄這麼危險你不要上山 因為山都開了
[00:03:35.000 --> 00:03:39.000]  我都要上去 因為我們幫他重建教會
[00:03:39.000 --> 00:03:52.000]  他問我為什麼要上來 我說我就是希望來到你們當中
[00:03:52.000 --> 00:03:57.000]  所以這次來就算不說我都可以 不過容木斯不放過
[00:03:57.000 --> 00:04:06.000]  都要我說 我就說 大家看到不用擔心我外面是曼雅路
[00:04:06.000 --> 00:04:12.000]  有些人很怕 徐弟兄的手巾有沒有洗 我說有的
[00:04:12.000 --> 00:04:17.000]  我想這麼遠來到都和大家打個招呼
