
[00:00:00.000 --> 00:00:06.000]  各位聽聽節目早安
[00:00:06.000 --> 00:00:11.000]  今天教會定的主題就是夫婦主日
[00:00:11.000 --> 00:00:16.000]  我想夫婦的時候無可避免地一定要講婚姻
[00:00:16.000 --> 00:00:22.000]  我想在這個課題上我們每一個人都有進步的空間
[00:00:22.000 --> 00:00:29.000]  因為在夫婦的關係裡總有一些我們想做到但是做不到
[00:00:29.000 --> 00:00:33.000]  但是我們有目標 但是我們達不到這些目標
[00:00:33.000 --> 00:00:39.000]  所以在婚姻的關係上我們總是有一個成長與進步的空間
[00:00:39.000 --> 00:00:43.000]  我今天選了創世紀第二章18到25節
[00:00:43.000 --> 00:00:48.000]  用這段聖經後面我們要問一個問題
[00:00:48.000 --> 00:00:53.000]  這個問題和教會的歷史息息相關
[00:00:53.000 --> 00:01:03.000]  這個息息相關對我們今天的信仰特別是對我們的夫婦關係也有一個非常重要的指示
[00:01:03.000 --> 00:01:16.000]  如果我們將教會歷史裡面主後或公元313年的日子看為重要的話
[00:01:16.000 --> 00:01:21.000]  那個日子是羅馬的一個皇帝君士坦丁公開發了一道御旨
[00:01:21.000 --> 00:01:24.000]  皇帝出了一道御旨
[00:01:24.000 --> 00:01:29.000]  實際上那道御旨並不是要承認基督教是國教
[00:01:29.000 --> 00:01:33.000]  實際上在那道御旨裡面一個最主要的精神就是說
[00:01:33.000 --> 00:01:38.000]  要給基督教他應有的包容
[00:01:38.000 --> 00:01:52.000]  基督教必須要像其他宗教一樣獲得包容
[00:01:52.000 --> 00:02:00.000]  在這個精神之下我們就會問一連串的問題
[00:02:00.000 --> 00:02:07.000]  問題就是說在教會300年的歷史裡面
[00:02:07.000 --> 00:02:14.000]  教會是沒有受到法律給他應有的尊重和包容
[00:02:14.000 --> 00:02:20.000]  在這樣的情況下只要任何的社區無論大小
[00:02:20.000 --> 00:02:28.000]  你的隔壁屋對你所做的事有任何不同意的話
[00:02:28.000 --> 00:02:30.000]  他可以欺負你
[00:02:30.000 --> 00:02:32.000]  他可以欺凌你
[00:02:32.000 --> 00:02:34.000]  他可以欺負你
[00:02:34.000 --> 00:02:37.000]  他可以叫政府說他騷擾我
[00:02:37.000 --> 00:02:45.000]  而在法律裡面你基督信仰的人是受不到法律應有的包容和保障的
[00:02:45.000 --> 00:02:47.000]  300年這麼久
[00:02:47.000 --> 00:02:53.000]  我們很少在讀聖經的時候用這樣的觀念來看基督教信仰
[00:02:53.000 --> 00:02:58.000]  如果你用這樣的觀念去看《使徒行傳》
[00:02:58.000 --> 00:03:06.000]  你會發覺到保羅將夫音從猶太從耶路撒冷帶到外邦的時候
[00:03:06.000 --> 00:03:12.000]  他在《使徒行傳》第17章去到小亞細亞的地方
[00:03:12.000 --> 00:03:20.000]  那些人就合成出來攻擊他
[00:03:20.000 --> 00:03:23.000]  說他們破壞了我們的生意
[00:03:23.000 --> 00:03:26.000]  因為在那裡說只有一個上帝
[00:03:26.000 --> 00:03:31.000]  亞底米神廟裡面的Diana不是上帝
[00:03:31.000 --> 00:03:34.000]  很多人就說為什麼不是呢
[00:03:34.000 --> 00:03:36.000]  我們一向都是這樣的
[00:03:36.000 --> 00:03:38.000]  他保佑我們的城市
[00:03:38.000 --> 00:03:40.000]  保佑我們的生活
[00:03:40.000 --> 00:03:42.000]  保佑我們的健康
[00:03:42.000 --> 00:03:45.000]  為什麼你憑什麼來到我們中間說亞底米
[00:03:45.000 --> 00:03:49.000]  我們已不所敬畏的偉大的神
[00:03:49.000 --> 00:03:51.000]  一位女神
[00:03:51.000 --> 00:03:53.000]  寫上名字叫Diana
[00:03:53.000 --> 00:03:57.000]  所以現在很多人起名叫Diana
[00:03:57.000 --> 00:03:59.000]  是一個女神的名字
[00:03:59.000 --> 00:04:01.000]  是一個多產女神的名字
[00:04:08.000 --> 00:04:10.000]  去到以弗所是這樣
[00:04:10.000 --> 00:04:12.000]  去到鐵紗俄尼加是這樣
[00:04:12.000 --> 00:04:14.000]  去到很多不同的地方都是這樣
[00:04:14.000 --> 00:04:16.000]  甚至有人說
[00:04:16.000 --> 00:04:20.000]  這個人是搞亂天下的
[00:04:20.000 --> 00:04:24.000]  猶太人會用他所說的話
[00:04:24.000 --> 00:04:26.000]  跟我們的律法不相襯
[00:04:26.000 --> 00:04:28.000]  而攻擊他
[00:04:28.000 --> 00:04:34.000]  外邦的異教人士說他擾亂我們的生活秩序
[00:04:34.000 --> 00:04:36.000]  所以要將他關在監獄裡
[00:04:36.000 --> 00:04:38.000]  當我們用這樣的眼光
[00:04:38.000 --> 00:04:41.000]  以這樣的歷史背景來看史林傳的話
