
[00:00:00.000 --> 00:00:10.000]  鼎姐妹平安,我們今天繼續思想啟示錄給我們的訊息
[00:00:10.000 --> 00:00:21.000]  上一次我們說到耶穌基督,祂既是獅子,猶大獅子,尊貴的君王
[00:00:21.000 --> 00:00:31.000]  亦都是曾被殺的羔羊,是謙卑的,作為人世間為我們背負罪孽的救主
[00:00:31.000 --> 00:00:35.000]  今天我們繼續思想啟示錄給我們什麼的訊息
[00:00:35.000 --> 00:00:42.000]  我想大家都曾經聽過我講,以前的世代,我們講啟示錄
[00:00:42.000 --> 00:00:53.000]  很喜歡將啟示錄裡面的內容套在今日的世界事件歷史的進程上面
[00:00:53.000 --> 00:01:01.000]  但是這些解讀的方法,久而久之令到人失去了焦點
[00:01:01.000 --> 00:01:08.000]  甚至是失卻了啟示錄真正要告訴我們的訊息
[00:01:08.000 --> 00:01:17.000]  反而我們可以透過學習,從若翰的觀點來領受啟示錄的訊息
[00:01:17.000 --> 00:01:24.000]  領受耶穌基督的啟示,亦都透過第一世紀的七教會
[00:01:24.000 --> 00:01:33.000]  他們聽見若翰和他們講這個訊息的時候,他們又聽見神給他們的心意是什麼
[00:01:33.000 --> 00:01:42.000]  相對於將啟示錄變成這個現代事件的指引
[00:01:42.000 --> 00:01:50.000]  相對於啟示錄作為昔日教會所需要的訊息
[00:01:50.000 --> 00:01:56.000]  在這兩者的選擇之中,兩種的解讀聖經的方式裡面
[00:01:56.000 --> 00:02:01.000]  我來到這把年紀,你知道我選的是什麼
[00:02:01.000 --> 00:02:08.000]  我寧願很紮實地聽一個一清二楚,沒有什麼神秘的東西
[00:02:08.000 --> 00:02:14.000]  只是很清晰地告訴當時的教會,你們所面對的情況
[00:02:14.000 --> 00:02:20.000]  你們的主仍然知道,你們的主仍然掌權
[00:02:20.000 --> 00:02:25.000]  你們需要的是效法、基督,是忠心於他
[00:02:25.000 --> 00:02:31.000]  然後信仰這位既是獅子,又是羔羊的一位
[00:02:31.000 --> 00:02:35.000]  在地上行他所喜悅的親愛弟兄姊妹
[00:02:35.000 --> 00:02:41.000]  在今天香港這個時局,在香港未來的日子會怎樣
[00:02:41.000 --> 00:02:46.000]  我們都不是十分清楚的時候,我們可以清楚地學習的
[00:02:46.000 --> 00:02:53.000]  就是我到底在此時此日,我應該做一個怎樣敬拜侍奉基督的人
[00:02:53.000 --> 00:02:59.000]  是很感恩的,我們在今天仍然有這麼好的場地
[00:02:59.000 --> 00:03:07.000]  仍然有這麼激昂的師班,仍然可以唱出這麼震撼的樂曲
[00:03:07.000 --> 00:03:13.000]  你想不想我們更多的人,更多圈外的人
[00:03:13.000 --> 00:03:18.000]  都能夠享有我們同樣享有的福分
[00:03:18.000 --> 00:03:23.000]  需要付代價嗎?需要堅持嗎?
[00:03:23.000 --> 00:03:29.000]  需要獻上我們的一切精神、心血、力量
[00:03:29.000 --> 00:03:34.000]  是願主基督的榮耀,在地上編滿全地
[00:03:34.000 --> 00:03:40.000]  願全地的人都可以無懼、無畏、自由、自在的
[00:03:40.000 --> 00:03:44.000]  歡欣喜悅的來敬拜、創天造地的主
[00:03:44.000 --> 00:03:46.000]  想不想?
[00:03:47.000 --> 00:03:51.000]  其實我們最重要的職份是什麼呢?
[00:03:51.000 --> 00:03:57.000]  大家都知道我講這個啟示錄,其實是用我翻譯中的一本書
[00:03:57.000 --> 00:04:01.000]  翻譯左等代出版的一個啟示錄的書
[00:04:01.000 --> 00:04:08.000]  這個Anti-right的作品,來鼓勵我們怎樣去到領受當中的重要訊息
