
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹主內平安
[00:00:05.000 --> 00:00:10.000]  先求神的國
[00:00:10.000 --> 00:00:15.000]  我們都會唱這首的聖詩
[00:00:15.000 --> 00:00:20.000]  Seek ye first the kingdom of God
[00:00:20.000 --> 00:00:25.000]  沒錯 主耶穌在他的教導當中
[00:00:25.000 --> 00:00:30.000]  多次提到天國的比喻
[00:00:30.000 --> 00:00:35.000]  教導我們什麼是神的國
[00:00:35.000 --> 00:00:38.000]  天國好象
[00:00:38.000 --> 00:00:41.000]  接著可以講下去 三種的比喻
[00:00:41.000 --> 00:00:45.000]  十個同類的比喻 很熟悉
[00:00:45.000 --> 00:00:51.000]  但是什麼是祈求神的國呢
[00:00:51.000 --> 00:00:56.000]  主耶穌這樣吩咐他的門徒
[00:00:56.000 --> 00:01:06.000]  有沒有教門徒怎樣祈求神的國
[00:01:06.000 --> 00:01:11.000]  有 剛才我們讀了
[00:01:11.000 --> 00:01:14.000]  你說那個是主禱文
[00:01:14.000 --> 00:01:18.000]  我以為是主耶穌教我們聚會結束之前的祈禱
[00:01:18.000 --> 00:01:21.000]  不是嗎
[00:01:21.000 --> 00:01:25.000]  主禱文我們都很熟悉
[00:01:25.000 --> 00:01:30.000]  開頭 願你的名被尊為聖
[00:01:30.000 --> 00:01:35.000]  願你的國降臨 神的國開始
[00:01:35.000 --> 00:01:44.000]  結束 因為國道 權柄 榮耀
[00:01:44.000 --> 00:01:51.000]  神的國開始 神的國結束
[00:01:51.000 --> 00:01:56.000]  你說開頭是不是祈禱
[00:01:56.000 --> 00:01:59.000]  還是我們來到神的面前客氣
[00:01:59.000 --> 00:02:02.000]  敬拜 讚美
[00:02:02.000 --> 00:02:08.000]  願你的名被尊為聖
[00:02:08.000 --> 00:02:11.000]  願你的國降臨
[00:02:11.000 --> 00:02:14.000]  還有第三句
[00:02:14.000 --> 00:02:24.000]  願你的旨意成就在地 如同成就在天
[00:02:24.000 --> 00:02:28.000]  其實不單是主耶穌教導門徒這樣祈禱
[00:02:28.000 --> 00:02:33.000]  也是主耶穌自己這樣祈禱
[00:02:33.000 --> 00:02:37.000]  你說在哪裏
[00:02:37.000 --> 00:02:40.000]  在喀西瓦尼
[00:02:40.000 --> 00:02:44.000]  《亞太福音》第26章
[00:02:44.000 --> 00:02:47.000]  記載我們很熟悉的前半部分
[00:02:47.000 --> 00:02:51.000]  耶穌帶三個門徒入室遞旨
[00:02:51.000 --> 00:02:54.000]  叫他們警醒禱告免得入了迷惑
[00:02:54.000 --> 00:02:57.000]  門徒那天太緊張了
[00:02:57.000 --> 00:03:01.000]  所以靜下來就恰著了
[00:03:01.000 --> 00:03:03.000]  心靈固然願意
[00:03:03.000 --> 00:03:06.000]  肉體就軟弱了
[00:03:06.000 --> 00:03:09.000]  耶穌沒有責備他們
[00:03:09.000 --> 00:03:13.000]  經文記載《亞太福音》第26章42節說
[00:03:13.000 --> 00:03:18.000]  第二次耶穌又去禱告說
[00:03:18.000 --> 00:03:20.000]  說甚麼呢
[00:03:20.000 --> 00:03:25.000]  父啊 這杯不能離開我 必要我喝
[00:03:25.000 --> 00:03:32.000]  就願你的意旨成全
[00:03:32.000 --> 00:03:37.000]  其實中文聖經翻譯改了
[00:03:37.000 --> 00:03:41.000]  如果我們讀希臘文的《亞太福音》這句說話
[00:03:41.000 --> 00:03:45.000]  就願你的意旨成全
[00:03:45.000 --> 00:03:48.000]  和主禱文
[00:03:48.000 --> 00:03:55.000]  願你的旨意成全
[00:03:55.000 --> 00:03:59.000]  在地如同在天
[00:03:59.000 --> 00:04:03.000]  上半句完全一樣
[00:04:03.000 --> 00:04:07.000]  就是耶穌自己這樣祈禱
[00:04:07.000 --> 00:04:13.000]  耶穌教門徒這樣祈禱
[00:04:13.000 --> 00:04:18.000]  所以赫西瑪尼的祈禱我們再三澄清
[00:04:18.000 --> 00:04:22.000]  不是求苦杯羅開
[00:04:22.000 --> 00:04:26.000]  第一 聖經從來沒有苦字
