
[00:00:00.000 --> 00:00:05.000]  我們同心低頭祈禱好嗎?
[00:00:05.000 --> 00:00:12.000]  祈求真理的聖靈在今天晚上幫助我們眾弟兄姊妹
[00:00:12.000 --> 00:00:18.000]  開我們的心讓我們明白你所默示的聖經
[00:00:18.000 --> 00:00:27.000]  幫助我們在討論在我們的講和聽中間
[00:00:27.000 --> 00:00:31.000]  讓你的真理被高舉
[00:00:31.000 --> 00:00:35.000]  讓我們的心都被你自己所吸引
[00:00:35.000 --> 00:00:42.000]  我們同心仰望求主在這個時候格外施恩憐憫
[00:00:42.000 --> 00:00:49.000]  除去我們的疲倦幫助我們在主的面前有敞開的耳朵
[00:00:49.000 --> 00:00:53.000]  也有願意等候的心
[00:00:53.000 --> 00:00:59.000]  我們知道你不會讓我們空空的離又空空的離開
[00:00:59.000 --> 00:01:03.000]  求主誰聽我們不配的祈禱奉耶穌基督的聖名
[00:01:03.000 --> 00:01:06.000]  (音樂停止)
[00:01:06.000 --> 00:01:09.000]  舊約聖經與屬靈生命的探索
[00:01:09.000 --> 00:01:13.000]  或者我稍微需要在開始的時候解釋一句半句
[00:01:13.000 --> 00:01:16.000]  為什麼是舊約聖經
[00:01:16.000 --> 00:01:23.000]  或者我們聽關於聖靈神學的討論
[00:01:23.000 --> 00:01:27.000]  我們習慣上會在新約聖經講很多
[00:01:27.000 --> 00:01:30.000]  《士徒行傳》、初期教會的經歷
[00:01:30.000 --> 00:01:36.000]  特別提到靈因運動、講方言這些問題的時候
[00:01:36.000 --> 00:01:40.000]  新約聖經往往是我們的課本
[00:01:40.000 --> 00:01:42.000]  但是如果你讀新約聖經的時候
[00:01:42.000 --> 00:01:45.000]  你就會發覺到一個很清楚的事實
[00:01:45.000 --> 00:01:48.000]  就是新約聖經的作者和讀者
[00:01:48.000 --> 00:01:52.000]  我指的是使徒和初期教會的基督徒
[00:01:52.000 --> 00:01:57.000]  他們絕大部分都是熟悉舊約聖經的
[00:01:57.000 --> 00:01:59.000]  舊約聖經在他們的腦海裡
[00:01:59.000 --> 00:02:02.000]  所以保羅很多時候在引用舊約的時候
[00:02:02.000 --> 00:02:04.000]  他會背出來的
[00:02:04.000 --> 00:02:06.000]  所以如果你翻查他引用舊約的經文
[00:02:06.000 --> 00:02:08.000]  你會發現和新約引的不同
[00:02:08.000 --> 00:02:12.000]  這個發現在和合本你大概發現不到的
[00:02:12.000 --> 00:02:17.000]  因為中文聖經的翻譯和我們已經和諧了
[00:02:17.000 --> 00:02:19.000]  就是和諧了
