
[00:00:00.000 --> 00:00:08.000]  讀聖經很需要掌握經文的重心
[00:00:08.000 --> 00:00:11.000]  當我們讀一章經節時
[00:00:11.000 --> 00:00:15.000]  一章聖經裏面的經文
[00:00:15.000 --> 00:00:19.000]  我們最重要的是能夠掌握經文的重心
[00:00:19.000 --> 00:00:23.000]  我們就能夠知道究竟經文想跟我們說甚麼
[00:00:23.000 --> 00:00:25.000]  很有趣
[00:00:25.000 --> 00:00:28.000]  當我們見到經文的結構
[00:00:28.000 --> 00:00:31.000]  其實已經開了股告訴我們
[00:00:31.000 --> 00:00:35.000]  經文的主題是甚麼
[00:00:35.000 --> 00:00:38.000]  好像第六章一開始第一節
[00:00:38.000 --> 00:00:46.000]  就說神所吩咐你們的誡命律例典章都要遵行
[00:00:46.000 --> 00:00:49.000]  而最後那節經文也是第六章
[00:00:49.000 --> 00:00:57.000]  二十五節是說神所吩咐一切誡命都需要謹守遵行
[00:00:57.000 --> 00:01:01.000]  一頭一尾都說要遵守神的話語
[00:01:01.000 --> 00:01:05.000]  而經文最中間六章十七節
[00:01:05.000 --> 00:01:11.000]  還叫我們要留意遵守祂的誡命法道和律例
[00:01:11.000 --> 00:01:13.000]  所以毫無疑問
[00:01:13.000 --> 00:01:16.000]  第六章告訴我們服從神
[00:01:16.000 --> 00:01:20.000]  遵守祂的誡命就是第六章的主題
[00:01:20.000 --> 00:01:23.000]  第七章也是不例外
[00:01:23.000 --> 00:01:26.000]  一開始一結尾
[00:01:26.000 --> 00:01:29.000]  七章二至三節是開始
[00:01:29.000 --> 00:01:33.000]  七章二十五至二十六節是結尾
[00:01:33.000 --> 00:01:38.000]  一開始一結尾就告訴我們有八個不可
[00:01:38.000 --> 00:01:43.000]  神的命令要麼是你要怎樣做
[00:01:43.000 --> 00:01:45.000]  要麼是不可
[00:01:45.000 --> 00:01:46.000]  其實都是一樣
[00:01:46.000 --> 00:01:52.000]  都是神的律例典章告訴我們有甚麼事不要去做
[00:01:52.000 --> 00:01:57.000]  接著第七章的中心又在七章十一節
[00:01:57.000 --> 00:02:00.000]  經文說所以你要謹守遵行
[00:02:00.000 --> 00:02:05.000]  我今日所吩咐你的誡命律例典章
[00:02:05.000 --> 00:02:08.000]  兩章的書第六第七章
[00:02:08.000 --> 00:02:13.000]  其實重心的主題都是說要服從神
[00:02:13.000 --> 00:02:17.000]  要服從耶和華
[00:02:17.000 --> 00:02:20.000]  那你說怎樣服從呢?
[00:02:20.000 --> 00:02:24.000]  經文說得很清楚告訴我們怎樣服從
[00:02:24.000 --> 00:02:28.000]  在生命記第六章有三節經文
[00:02:28.000 --> 00:02:32.000]  六章二節、六章十三、六章二十四
[00:02:32.000 --> 00:02:34.000]  都說要敬畏耶和華
[00:02:34.000 --> 00:02:37.000]  重覆出現的字要留心
[00:02:37.000 --> 00:02:45.000]  所以服從的途徑是要敬畏這位耶和華
[00:02:45.000 --> 00:02:47.000]  在第七章一開始一結尾
[00:02:47.000 --> 00:02:51.000]  我們剛才也說過一共有八個不可
[00:02:51.000 --> 00:02:53.000]  為甚麼不可呢?
[00:02:53.000 --> 00:02:56.000]  因為以色列人會走入加南地
[00:02:56.000 --> 00:03:00.000]  進入加南地千萬不要跟當地人通婚
[00:03:00.000 --> 00:03:03.000]  不要跟他們納藥
[00:03:03.000 --> 00:03:06.000]  甚至不要拿他們的財物
[00:03:06.000 --> 00:03:09.000]  要跟他們劃分界線
[00:03:09.000 --> 00:03:11.000]  因為這班人都是拜偶像
[00:03:11.000 --> 00:03:13.000]  如果不劃分界線
[00:03:13.000 --> 00:03:19.000]  很容易被他們帶領離開耶和華
[00:03:19.000 --> 00:03:22.000]  所以神說要分別為聖
[00:03:22.000 --> 00:03:24.000]  要跟他們劃分界線
[00:03:24.000 --> 00:03:28.000]  所以我們看到第七章的其中一個主題
[00:03:28.000 --> 00:03:29.000]  就是要分別為聖
[00:03:29.000 --> 00:03:31.000]  這是服從的實踐
[00:03:31.000 --> 00:03:34.000]  服從之後的結果會怎樣呢?
[00:03:34.000 --> 00:03:39.000]  七章的七節至二十四節說得很清楚
[00:03:39.000 --> 00:03:41.000]  神是信實的神
[00:03:41.000 --> 00:03:44.000]  當我們服從祂的話
[00:03:44.000 --> 00:03:46.000]  祂給我們的應許
[00:03:46.000 --> 00:03:49.000]  就會成為事實
[00:03:49.000 --> 00:03:53.000]  祂的應許就會應驗在我們身上
[00:03:53.000 --> 00:03:54.000]  會得到祂的保守
[00:03:54.000 --> 00:03:56.000]  會得到祂的保護
[00:03:56.000 --> 00:03:59.000]  這是聖經給我們的保證
[00:03:59.000 --> 00:04:04.000]  又有人可能會問
[00:04:04.000 --> 00:04:06.000]  甚麼叫敬畏神?
[00:04:06.000 --> 00:04:10.000]  有很多人會跟你說敬畏神
[00:04:10.000 --> 00:04:12.000]  只不過是尊敬神
[00:04:12.000 --> 00:04:15.000]  只不過是對神肅然為敬
[00:04:15.000 --> 00:04:17.000]  在神的面前驚訝
[00:04:17.000 --> 00:04:19.000]  因為這位是大能的神
[00:04:19.000 --> 00:04:21.000]  只有這麼多
[00:04:21.000 --> 00:04:23.000]  他們會告訴你
[00:04:23.000 --> 00:04:25.000]  敬畏神不是畏懼
[00:04:25.000 --> 00:04:27.000]  不是賤敬
[00:04:27.000 --> 00:04:30.000]  我在這裡還沒有回來CCAC之前
[00:04:30.000 --> 00:04:32.000]  去過兩間教會侍奉
[00:04:32.000 --> 00:04:35.000]  2011年至2013年
[00:04:35.000 --> 00:04:37.000]  曾經在一間西人的教會裡
[00:04:37.000 --> 00:04:41.000]  是在三年在羅倫海特
[00:04:41.000 --> 00:04:44.000]  這間教會的主任牧師
[00:04:44.000 --> 00:04:49.000]  時時都是教其他的牧師和教會中
[00:04:49.000 --> 00:04:53.000]  就是敬畏神不是賤敬
[00:04:53.000 --> 00:04:55.000]  不是畏懼
[00:04:55.000 --> 00:04:58.000]  只不過是對神肅然為敬
[00:04:58.000 --> 00:05:00.000]  只不過是尊敬神
[00:05:00.000 --> 00:05:02.000]  如果一間教會
[00:05:02.000 --> 00:05:04.000]  連自己的基督徒
[00:05:04.000 --> 00:05:09.000]  都不去真真正正敬畏神
[00:05:09.000 --> 00:05:12.000]  在神的面前賤敬畏懼的話
