
[00:00:00.000 --> 00:00:06.560]  再說多一次,希望大家不要怕我太多
[00:00:06.560 --> 00:00:10.960]  耶利米蘇是一卷以散文
[00:00:10.960 --> 00:00:16.160]  用一些詩歌組合的講章
[00:00:16.160 --> 00:00:18.960]  所以讀耶利米蘇有個難度
[00:00:18.960 --> 00:00:21.360]  就是它不是很有系統
[00:00:21.360 --> 00:00:23.360]  因為它不是很有系統的緣故
[00:00:23.360 --> 00:00:26.800]  你很容易發覺到它有些訊息好像很重複
[00:00:26.800 --> 00:00:28.400]  其實不是很重複的
[00:00:28.400 --> 00:00:31.480]  很多時候都是由大國
[00:00:31.480 --> 00:00:32.560]  同樣的事情
[00:00:32.560 --> 00:00:37.200]  但是往往就是因為它的表達方式
[00:00:37.200 --> 00:00:39.360]  可能好像我們今天會有些機會
[00:00:39.360 --> 00:00:40.560]  譬如第十三章
[00:00:40.560 --> 00:00:42.560]  如果大家今天已經看了釋義的時候
[00:00:42.560 --> 00:00:45.680]  你會看到第十三章很多時候用一些動作
[00:00:45.680 --> 00:00:51.680]  用一些行為來吸引那些以色列民的留意
[00:00:51.680 --> 00:00:53.680]  所以你會發覺到
[00:00:53.680 --> 00:00:56.480]  其實它的表達方式是很不一樣的
[00:00:56.480 --> 00:00:58.480]  其實有些時候多一點的
[00:00:58.480 --> 00:01:00.480]  它的集備方式或者內容
[00:01:00.480 --> 00:01:02.480]  都不是很大一樣的
[00:01:02.480 --> 00:01:04.480]  當然有很多地方都是重複
[00:01:04.480 --> 00:01:06.480]  都是講到他們背叛神
[00:01:06.480 --> 00:01:08.480]  其實這個背叛神這個訊息
[00:01:08.480 --> 00:01:10.000]  在整本聖經裡面
[00:01:10.000 --> 00:01:13.120]  從《創世記》到《啟示錄》都是在講那樣東西
[00:01:13.120 --> 00:01:16.160]  而到最後我們希望就是
[00:01:16.160 --> 00:01:17.680]  其實神的期待
[00:01:17.680 --> 00:01:19.680]  都是要人來歸向祂
[00:01:19.680 --> 00:01:21.680]  所以當我們來看
[00:01:21.680 --> 00:01:23.680]  耶利米蘇的時候
[00:01:23.680 --> 00:01:25.680]  我們說第一至第三十九章
