
[00:00:00.000 --> 00:00:10.000]  我聽過很多對人生的解說或者定義
[00:00:10.000 --> 00:00:15.500]  但我覺得我最佩服或欣賞的是一個老人家
[00:00:15.500 --> 00:00:24.300]  他八十多歲 是一位電影界很資深的從業員
[00:00:24.300 --> 00:00:28.400]  在去年 不是今年 不是黃秋生
[00:00:28.400 --> 00:00:31.400]  是去年的典禁獎頒獎禮
[00:00:31.400 --> 00:00:37.400]  他獲頒終身成就獎 他叫做楚元
[00:00:37.400 --> 00:00:42.400]  楚元可能很多年輕人不認識他
[00:00:42.400 --> 00:00:47.400]  但你媽媽一定認識他 你爸爸可能認識他
[00:00:47.400 --> 00:00:52.000]  一個從粵語片七日仙 黃金時代
[00:00:52.000 --> 00:00:56.100]  去到邵氏王國最光輝的國語片時代
[00:00:56.100 --> 00:01:02.700]  都能夠過渡到 所以獲得終身成就獎實至名歸
[00:01:02.700 --> 00:01:07.500]  但令我印象深刻的是每逢這些頒獎禮
[00:01:07.500 --> 00:01:13.800]  最好看的是一兩分鐘的得獎宣言
[00:01:13.800 --> 00:01:17.200]  我有一段很長時間在港台做主持
[00:01:17.200 --> 00:01:22.500]  在香港電台做電台主持 做電視節目主持
[00:01:22.500 --> 00:01:25.700]  《頭條新聞》《傳媒春秋》做過很多節目
[00:01:25.700 --> 00:01:30.300]  所以每年在金曲頒獎禮
[00:01:30.300 --> 00:01:33.500]  我都一定有份去做觀眾
[00:01:33.500 --> 00:01:38.900]  很了解運作 事實上在很多頒獎禮的場合
[00:01:38.900 --> 00:01:43.700]  得獎者在台上說的話都寫給你的
[00:01:43.700 --> 00:01:46.700]  不用擔心 有script的
[00:01:46.700 --> 00:01:50.500]  不過電影金像獎特別地方是沒有script的
[00:01:50.500 --> 00:01:55.300]  因為電影創作人應該有自己的創作
[00:01:55.300 --> 00:01:59.300]  如果連上去領獎的那幾分鐘都說得不好
[00:01:59.300 --> 00:02:01.300]  怎麼演戲啊?
[00:02:01.300 --> 00:02:05.700]  所以我每年都很留心去看電影金像獎頒獎禮
[00:02:05.700 --> 00:02:10.700]  不過去年是我印象最深刻的就是坐完叔叔
[00:02:10.700 --> 00:02:14.300]  那幾分鐘的演講 得獎感言
[00:02:14.300 --> 00:02:19.300]  不單我欣賞 在網上有很多好的迴響
[00:02:19.300 --> 00:02:23.700]  我從未看過香港能夠對人的演說
[00:02:23.700 --> 00:02:26.900]  有這麼高的評價 包括字
[00:02:26.900 --> 00:02:33.900]  字字珠璣 句句鏗鏘
[00:02:33.900 --> 00:02:38.100]  我另一個專業就是教人說話的
[00:02:38.100 --> 00:02:42.100]  我幫政府部門 幫很多大機構做培訓
[00:02:42.100 --> 00:02:45.100]  公共演說 應對傳媒技巧
[00:02:45.100 --> 00:02:51.900]  我在城市大學EMBA教了16年公共演說傳播學
[00:02:51.900 --> 00:02:53.900]  算是行家
[00:02:53.900 --> 00:02:56.900]  不得不佩服用這麼短時間
[00:02:56.900 --> 00:03:01.900]  將演說三樣東西全部發揮得很好
[00:03:01.900 --> 00:03:05.900]  第一 要有智慧
[00:03:05.900 --> 00:03:07.900]  你說話我為什麼要聽你說話?
[00:03:07.900 --> 00:03:09.900]  因為你有智慧
