
[00:00:00.000 --> 00:00:04.000]  今天要講一個非常特別的信息
[00:00:04.000 --> 00:00:09.000]  叫做從聖經看UFO外星人
[00:00:09.000 --> 00:00:14.000]  為什麼我會講這樣一個奇怪的題目
[00:00:14.000 --> 00:00:18.000]  我會講一個非常奇怪的題目
[00:00:18.000 --> 00:00:22.000]  我會講一個非常奇怪的題目
[00:00:22.000 --> 00:00:26.000]  我會講一個非常奇怪的題目
[00:00:26.000 --> 00:00:30.000]  就是在9月底我被開路者訪問
[00:00:30.000 --> 00:00:34.000]  就是在9月底我被開路者訪問
[00:00:34.000 --> 00:00:37.000]  他們訪問的主題就是外星人
[00:00:37.000 --> 00:00:39.000]  就是UFO
[00:00:39.000 --> 00:00:42.000]  是透過你們國語堂的偉倫弟兄
[00:00:42.000 --> 00:00:45.000]  安排的一個訪問
[00:00:45.000 --> 00:00:50.000]  有一個人在網上聽了訪問之後
[00:00:50.000 --> 00:00:52.000]  他在網上留言
[00:00:52.000 --> 00:01:00.000]  他說終於有人做與基督徒有關的外星人話題了
[00:01:00.000 --> 00:01:02.000]  我再講一次
[00:01:02.000 --> 00:01:07.000]  他說終於有人做與基督徒有關的外星話題
[00:01:07.000 --> 00:01:12.000]  我讀了之後非常非常的有感動
[00:01:12.000 --> 00:01:17.000]  好像我們基督徒就是好像書頭烏龜一樣
[00:01:17.000 --> 00:01:19.000]  好像我們是鴕鳥
[00:01:19.000 --> 00:01:23.000]  把我們的頭埋在沙堆裡面
[00:01:23.000 --> 00:01:27.000]  人家講的東西我們都不講
[00:01:27.000 --> 00:01:30.000]  他們的話題我們都不去談
[00:01:30.000 --> 00:01:36.000]  其實你說聖經不是說我們不是屬於這個世界嗎
[00:01:36.000 --> 00:01:38.000]  但聖經告訴我們
[00:01:38.000 --> 00:01:41.000]  我們是在這個世界的裡面
[00:01:41.000 --> 00:01:44.000]  我們不能不問世事
[00:01:44.000 --> 00:01:48.000]  我們不能人家講的這個話題我們都不去講
[00:01:48.000 --> 00:01:52.000]  跟這個世上的人脫了結一樣
[00:01:52.000 --> 00:01:55.000]  如果我們不講的話
[00:01:55.000 --> 00:01:57.000]  有人會講
[00:01:57.000 --> 00:02:01.000]  有人會影響我們子女的信心
[00:02:01.000 --> 00:02:05.000]  有人會甚至影響我們的生子生女的信心
[00:02:05.000 --> 00:02:08.000]  我們不能不講
[00:02:08.000 --> 00:02:14.000]  有很多人認為如果真的是發現有外星人的話
[00:02:14.000 --> 00:02:18.000]  基督教跟聖經就完蛋了
[00:02:18.000 --> 00:02:21.000]  因為聖經沒有講外星人
[00:02:21.000 --> 00:02:27.000]  他們說你們的神不是能知未來能知一切的嗎
[00:02:27.000 --> 00:02:30.000]  為什麼不知道有外星人
[00:02:30.000 --> 00:02:33.000]  所以我們是應該講
[00:02:33.000 --> 00:02:39.000]  但有人說聖經好像真的沒有說這些話題
[00:02:39.000 --> 00:02:42.000]  但如果你留意的話
[00:02:42.000 --> 00:02:47.000]  你會發現聖經裡面給了我們很多的提示
[00:02:47.000 --> 00:02:50.000]  這些外星人可能是什麼東西
[00:02:50.000 --> 00:02:55.000]  今天就要跟你們從聖經的角度來看
[00:02:55.000 --> 00:03:00.000]  這些UFO外星人可不可能存在
[00:03:00.000 --> 00:03:05.000]  我在粵語堂在兩個禮拜前已經講了這篇道
[00:03:05.000 --> 00:03:09.000]  我們粵語部的Larry長老跟我說
[00:03:09.000 --> 00:03:12.000]  他說你去粵語部講道的話
[00:03:12.000 --> 00:03:14.000]  你要講這篇道
[00:03:14.000 --> 00:03:18.000]  所以我今天來跟你們講的就是這一篇道
[00:03:18.000 --> 00:03:25.000]  為什麼UFO會變成了熱門的話題
[00:03:25.000 --> 00:03:29.000]  原來在4年前在2017年
[00:03:29.000 --> 00:03:35.000]  有三段是屬於高度機密的片段
[00:03:35.000 --> 00:03:39.000]  是從美國海軍拍攝下來
[00:03:39.000 --> 00:03:44.000]  他們在訓練飛機師飛行的時候
[00:03:44.000 --> 00:03:50.000]  拍攝到有三段不明來臨的飛行物體
[00:03:50.000 --> 00:03:56.000]  但不知道為啥在2017年漏了出來
[00:03:56.000 --> 00:03:59.000]  到了紐約時報的手上
[00:03:59.000 --> 00:04:05.000]  一時間很多人在網上都看見這三段的片段
[00:04:05.000 --> 00:04:11.000]  在去年2020年Pentagon就是美國的政府
[00:04:11.000 --> 00:04:15.000]  他們說這三段的片段不能再是高度的機密
[00:04:15.000 --> 00:04:17.000]  這麼多的人都看見了
[00:04:17.000 --> 00:04:20.000]  所以就是把它解密
[00:04:20.000 --> 00:04:26.000]  然後在2021年就是今年做了一個報告
[00:04:26.000 --> 00:04:31.000]  他們說從2004年到今年
[00:04:31.000 --> 00:04:37.000]  17年間有144次他們發現
[00:04:37.000 --> 00:04:40.000]  有這樣的不明來臨的飛行物體
[00:04:40.000 --> 00:04:46.000]  每年都有8到9次是他們發掘的
[00:04:46.000 --> 00:04:50.000]  他們沒有看見的可能還有更多
[00:04:50.000 --> 00:04:55.000]  同年在今年的9月Pentagon
[00:04:55.000 --> 00:04:59.000]  美國的政府他們說考慮要設立一個
[00:04:59.000 --> 00:05:06.000]  永遠調查外星人UFO的部門
[00:05:06.000 --> 00:05:13.000]  我們一起來看看這三段的片段
[00:05:13.000 --> 00:05:16.000]  第一段的片段是在2004年
[00:05:16.000 --> 00:05:21.000]  是在加州的圓岸發現的
[00:05:21.000 --> 00:05:25.000]  他們是用Strike Fighter戰鬥機上的
[00:05:25.000 --> 00:05:30.000]  Flair One紅外觀的儀器所拍攝下來
[00:05:30.000 --> 00:05:35.000]  這個飛機師他看見有一個長圓形的
[00:05:35.000 --> 00:05:40.000]  大概40尺長的不明來臨的飛行物體
[00:05:40.000 --> 00:05:46.000]  在海面大概是50尺上面的海面
[00:05:46.000 --> 00:05:51.000]  彈來彈去好像一個乒乓球一樣非常有趣
[00:05:51.000 --> 00:05:54.000]  他說我要飛下去看過舊景
[00:05:54.000 --> 00:05:57.000]  飛了下去就不見了
[00:05:57.000 --> 00:06:01.000]  另外兩次是在2015年在東岸
[00:06:01.000 --> 00:06:04.000]  這次不是在西岸在東岸兩次
[00:06:04.000 --> 00:06:08.000]  使用McDonald Douglas的大黃蜂戰鬥機
[00:06:08.000 --> 00:06:14.000]  上面的Radeon Flair紅外觀的儀器拍攝下來
[00:06:14.000 --> 00:06:18.000]  為什麼我這麼看重這些Flair跟Flair
[00:06:18.000 --> 00:06:20.000]  我以前還沒有做牧師之前
[00:06:20.000 --> 00:06:27.000]  我是專門搞這些用低溫用紅外觀來偵察地球
[00:06:27.000 --> 00:06:31.000]  偵察星球
[00:06:31.000 --> 00:06:36.000]  兩段的片段有一段他們看見有一個物體
[00:06:36.000 --> 00:06:38.000]  飛得很快很快
[00:06:38.000 --> 00:06:45.000]  飛機師用機上的儀器把飛行物體的方位鎖住
[00:06:45.000 --> 00:06:49.000]  它飛得很快很快一會就不見了
[00:06:49.000 --> 00:06:56.000]  另外還有一次他們看見有一個飛碟形狀的飛行物體
[00:06:56.000 --> 00:07:00.000]  逆風而飛還不斷地在打滾
[00:07:00.000 --> 00:07:03.000]  非常非常地有趣
[00:07:03.000 --> 00:07:10.000]  所以今年Pentagon美國的政府就做了一個報告
[00:07:10.000 --> 00:07:13.000]  一個結論有六點
[00:07:13.000 --> 00:07:21.000]  第一點他們說目前還沒有證據證明這些是美國的秘密武器
[00:07:21.000 --> 00:07:27.000]  也沒有證明這些是敵對國家的先進武器
[00:07:27.000 --> 00:07:30.000]  這一點是非常地搞笑
[00:07:30.000 --> 00:07:33.000]  出這個報告的是美國的政府
[00:07:33.000 --> 00:07:37.000]  他們不知道這個是不是美國的秘密武器
[00:07:37.000 --> 00:07:42.000]  這個是內人行為非常非常地奇怪
[00:07:42.000 --> 00:07:53.000]  還有第二點就是他們說如果這些片段是在美國軍事基地附近拍攝的話
[00:07:53.000 --> 00:07:56.000]  這些資料可能有偏差
[00:07:56.000 --> 00:07:59.000]  這個也是非常的奇怪
[00:07:59.000 --> 00:08:02.000]  在任何地方都沒有問題
[00:08:02.000 --> 00:08:08.000]  如果是在美國軍事基地附近拍攝的就有偏差不足為信
[00:08:08.000 --> 00:08:14.000]  這個是此地無垠三百兩非常的奇怪
[00:08:14.000 --> 00:08:19.000]  另外第三點說這些可能是真正的這個物體
[00:08:19.000 --> 00:08:23.000]  因為是用不同的儀器拍攝下來
[00:08:23.000 --> 00:08:27.000]  有這個雷達有這個紅外觀有電光
[00:08:27.000 --> 00:08:31.000]  武器的偵察還有視覺的觀察
[00:08:31.000 --> 00:08:35.000]  所以可能是真的
[00:08:35.000 --> 00:08:38.000]  但第四點好像是非常的矛盾
[00:08:38.000 --> 00:08:45.000]  他們說因為這些的飛行物體都有異常的特徵
[00:08:45.000 --> 00:08:49.000]  所以可能看見的人出了錯誤
[00:08:49.000 --> 00:08:52.000]  可能這些儀器不足為信
[00:08:52.000 --> 00:08:56.000]  這個跟第三點根本就是矛盾了是不是
[00:08:56.000 --> 00:09:00.000]  還有第五點他們說
[00:09:00.000 --> 00:09:04.000]  這個會不會為美國造成的威脅
[00:09:04.000 --> 00:09:09.000]  然後他們說現在這個太空已經是非常的羈絨
[00:09:09.000 --> 00:09:14.000]  有了這麼多不明來歷的飛行物體當然是很大的風險
[00:09:14.000 --> 00:09:20.000]  如果是敵對國家的先進武器就更加不得了了
[00:09:20.000 --> 00:09:24.000]  因為這個就是證明他們已經是有突破
[00:09:24.000 --> 00:09:28.000]  已經能做到有先進的武器
[00:09:28.000 --> 00:09:33.000]  然後第六點他們說還是要多一點的分析
[00:09:33.000 --> 00:09:39.000]  還是要多一點的辨別來處理這些的問題
[00:09:39.000 --> 00:09:45.000]  根據這個結論我們可以綜合有三點
[00:09:45.000 --> 00:09:50.000]  就是這些不明來歷的飛行物體可能是什麼東西
[00:09:50.000 --> 00:09:54.000]  第一就是真的是美國的秘密武器
[00:09:54.000 --> 00:10:00.000]  第二點就是可能是真是有不明來歷的飛行物體
[00:10:00.000 --> 00:10:07.000]  這個報告沒有說有這個外星人但也沒有否定
[00:10:07.000 --> 00:10:11.000]  然後第三點就是可能是敵對國家
