
[00:00:00.000 --> 00:00:10.880]  你都聽到新居說是新聞宣佈已經是official的了
[00:00:10.880 --> 00:00:19.680]  美國是全世界第一個國家會承認耶路撒冷是以色列的首都
[00:00:19.680 --> 00:00:25.200]  下一步就會將美國的領事館搬去耶路撒冷那裏
[00:00:25.200 --> 00:00:32.000]  這個是很significant的 這是幾十年以色列獨立了70年
[00:00:32.000 --> 00:00:34.480]  它那個首都一直都是耶路撒冷的
[00:00:34.480 --> 00:00:38.800]  特別是六日戰爭 一個六七年六日戰爭之後
[00:00:38.800 --> 00:00:43.600]  東耶路撒冷西耶路撒冷是歸在一起的時候
[00:00:43.600 --> 00:00:46.880]  全部是分散了
[00:00:46.880 --> 00:00:54.000]  一直都是它的首都 但是沒有一個國家敢將它的領事館
[00:00:54.000 --> 00:00:56.240]  放在耶路撒冷那裏
[00:00:56.240 --> 00:01:00.240]  現在美國是會第一個這樣做 這個很significant
[00:01:00.240 --> 00:01:02.240]  但是一定會有很多暴動的了
[00:01:02.240 --> 00:01:05.840]  幸好我們不是現在去聖地
[00:01:05.840 --> 00:01:10.400]  明顯3月的時候希望安靜下來
[00:01:10.400 --> 00:01:16.720]  但是接下來這幾個月一定那邊會有很多的騷動
[00:01:16.720 --> 00:01:19.360]  那裏的人民又會很慘
[00:01:19.360 --> 00:01:24.480]  不論是猶太人還是阿拉伯人在那裏騷動
[00:01:24.480 --> 00:01:26.480]  都會影響他們每一天的生活
[00:01:26.480 --> 00:01:29.920]  所以我們都要為那裏祈禱
[00:01:29.920 --> 00:01:33.200]  好 我們回到以色列書
[00:01:33.200 --> 00:01:39.360]  以色列書我們今晚會看第六和第七章
[00:01:39.360 --> 00:01:42.960]  前面一二三章我們知道就是
[00:01:42.960 --> 00:01:47.200]  上帝呼召以色列第一章讓他看到異象
[00:01:47.200 --> 00:01:48.480]  沒有說話的
[00:01:48.480 --> 00:01:52.320]  然後第二第三章就是神和他說話
[00:01:52.320 --> 00:01:55.040]  然後第四章上次我們查
[00:01:55.040 --> 00:02:02.320]  第四章第五章就是神要以色列做一些象徵性的動作
[00:02:02.320 --> 00:02:04.160]  是很怪的
[00:02:04.160 --> 00:02:07.280]  那些動作是平時人不做的
[00:02:07.280 --> 00:02:10.560]  要找一塊磚畫耶路撒冷的圖在那裏
[00:02:10.560 --> 00:02:13.120]  然後就說他是被圍困
[00:02:13.120 --> 00:02:16.960]  他又要躺在那裏向左邊躺三百九十天
[00:02:16.960 --> 00:02:19.520]  然後向右邊躺四十天
[00:02:19.520 --> 00:02:21.920]  又要用一塊鐵的板
[00:02:21.920 --> 00:02:24.640]  是一個平底的鑊
[00:02:24.640 --> 00:02:29.280]  來將他和耶路撒冷那塊磚隔開
[00:02:29.280 --> 00:02:32.000]  意思就是說神不會拯救他們
[00:02:32.000 --> 00:02:33.360]  神和他們隔著
[00:02:33.360 --> 00:02:36.160]  因為他們犯罪 因為他們拜偶像
[00:02:36.160 --> 00:02:39.440]  然後到第五章的時候
[00:02:39.440 --> 00:02:42.320]  神要他剃光他的頭髮
[00:02:42.320 --> 00:02:43.840]  剃光他的鬍鬚
[00:02:43.840 --> 00:02:48.000]  用天秤來秤三分一 三分一 三分一
[00:02:48.000 --> 00:02:49.920]  三分一代表甚麼呢?
[00:02:49.920 --> 00:02:51.360]  上次我們都有說過了
[00:02:51.360 --> 00:02:56.960]  你可以上去聽我們上次說的和我們的講義
[00:02:56.960 --> 00:02:59.520]  今天我們去到第六第七章
[00:02:59.520 --> 00:03:06.800]  依然都是神對猶太人的警告
[00:03:06.800 --> 00:03:10.400]  我們從背景那裏我們知道
[00:03:10.400 --> 00:03:18.080]  其實這一班猶太人是應該悔改的
[00:03:18.080 --> 00:03:22.240]  因為已經有很多的警告給過他們
[00:03:22.240 --> 00:03:26.560]  神是給很多的機會這一班猶太人
[00:03:26.560 --> 00:03:28.080]  第一個警告是甚麼呢?
[00:03:28.080 --> 00:03:31.840]  第一個警告就是他們的北面那些同胞
[00:03:31.840 --> 00:03:35.040]  在主前七百二十二年
[00:03:35.040 --> 00:03:37.920]  百多年前就已經被滅了
[00:03:37.920 --> 00:03:41.680]  因為他們在上面是由第一個王
[00:03:41.680 --> 00:03:44.480]  耶羅波安都拜偶像
[00:03:44.480 --> 00:03:48.800]  一直到他們滅亡都是壞的王
[00:03:48.800 --> 00:03:52.960]  所以神首先將他們消滅了
[00:03:52.960 --> 00:03:56.000]  雖然那時候是沒有網絡
[00:03:56.000 --> 00:03:58.720]  但是南面的人一定知道的
[00:03:58.720 --> 00:04:01.440]  因為我們歷史上是知道
[00:04:01.440 --> 00:04:03.760]  北國未亡之前
[00:04:03.760 --> 00:04:06.560]  他是很多人是走了來南國的
[00:04:06.560 --> 00:04:09.520]  雖然是十個支派在上面
[00:04:09.520 --> 00:04:11.040]  兩個支派在南國
[00:04:11.040 --> 00:04:13.360]  但是其實到後來
[00:04:13.360 --> 00:04:15.840]  是十二個支派都在南國那裏
[00:04:15.840 --> 00:04:20.000]  因為有很多十個支派的人看到就快要滅亡了
[00:04:20.000 --> 00:04:21.360]  亞述人打到來的
[00:04:21.360 --> 00:04:23.840]  所以有很多是走了來南國的
[00:04:23.840 --> 00:04:27.600]  他們一定將那個消息告訴南國的人聽
[00:04:27.600 --> 00:04:30.080]  就說上面不行了
[00:04:30.080 --> 00:04:31.040]  亡國了
