
[00:00:00.000 --> 00:00:12.500]  各位聽眾早安,今天是年宵,祝大家在未來一年繼續在主面前努力
[00:00:12.500 --> 00:00:16.200]  多謝主給我機會在此與大家分享神的話
[00:00:16.200 --> 00:00:22.200]  今天我繼續看肥辣比書,就是剛才主要大陸讀出的經文
[00:00:22.200 --> 00:00:26.200]  如果你是聖經的話,請你把聖經翻開,我們會看著經文
[00:00:26.200 --> 00:00:31.200]  以及引用其他有關經文與大家一起思想這個題目
[00:00:31.200 --> 00:00:37.200]  困難在逆境中如何活出一個上帝給我們喜樂的人生
[00:00:37.200 --> 00:00:43.200]  我聽過一個小故事,在70年代美國一個高級官員訪問中國的時間
[00:00:43.200 --> 00:00:49.200]  當時一個被稱為中國一個很聰明的總理,周恩來總理接待他
[00:00:49.200 --> 00:00:56.200]  這個美國官員在當時很不客氣地跟周恩來總理說
[00:00:56.200 --> 00:01:01.200]  為什麼我看到你們中國人走路時都是頭低低的
[00:01:01.200 --> 00:01:05.200]  我們這些美國人不同,走路時是昂首挺胸的
[00:01:05.200 --> 00:01:10.200]  為什麼你們好像沒有精神似的,很不客氣地說
[00:01:10.200 --> 00:01:13.200]  這位很有智慧的總理回答他
[00:01:13.200 --> 00:01:22.200]  他說原因是因為我們中國人走上坡路時頭低低的
[00:01:22.200 --> 00:01:25.200]  很難昂首挺胸的向前走
[00:01:25.200 --> 00:01:31.200]  但美國人可能是走下坡路,所以他們就昂首挺胸的走
[00:01:31.200 --> 00:01:34.200]  這是一個很有智慧很得體的回應
[00:01:34.200 --> 00:01:40.200]  同樣的,當我們面對人生很多挑戰的時間
[00:01:40.200 --> 00:01:43.200]  可以成為我們成長的踏腳石
[00:01:43.200 --> 00:01:49.200]  但也可以成為我們慢慢走向下坡的困難
[00:01:49.200 --> 00:01:57.200]  究竟在人生裏面,你自己是走上坡路還是下坡路
[00:01:57.200 --> 00:02:01.200]  你是走逆境還是很順利很平坦
[00:02:01.200 --> 00:02:05.200]  如果你覺得自己很平坦,走得很好的話
[00:02:05.200 --> 00:02:10.200]  大概很可能是我們靈性走向下坡的一個很重要的信號
[00:02:10.200 --> 00:02:15.200]  其實逆境有時候神幫助我們,是叫我們繼續成長
[00:02:15.200 --> 00:02:19.200]  保羅侍奉主的時間都遇見很大的困難
[00:02:19.200 --> 00:02:25.200]  這段經文在第一章第十二節到二十六節是一個段落
[00:02:25.200 --> 00:02:28.200]  在原本的文字上是一個完整的句子
[00:02:28.200 --> 00:02:32.200]  一句句子,十二節到二十六節,相當長的
[00:02:32.200 --> 00:02:38.200]  這句子裏面大概可以分成兩個主要的段落
[00:02:38.200 --> 00:02:40.200]  第一個是第十二節到十八節
[00:02:40.200 --> 00:02:44.200]  第二個段落是十九節到二十六節
[00:02:44.200 --> 00:02:49.200]  其實嚴格來說,這段經文都屬於引言的一部分
[00:02:49.200 --> 00:02:54.200]  上一次我們看完第一章一到十一節
[00:02:54.200 --> 00:02:59.200]  保羅有問安,有為教會感恩,也有為它代禱
[00:02:59.200 --> 00:03:01.200]  是一個很完整的引言
[00:03:01.200 --> 00:03:04.200]  這段經文其實可以說是引言的一部分
[00:03:04.200 --> 00:03:08.200]  為什麼呢?因為這個引言是在解釋保羅身處的環境
[00:03:08.200 --> 00:03:13.200]  他是在坐牢,很想透過這個環境給他們勉勵
[00:03:13.200 --> 00:03:19.200]  所以大概十二節到十八節是在交代保羅現在的實際情況
[00:03:19.200 --> 00:03:20.200]  他是在坐牢的
[00:03:20.200 --> 00:03:24.200]  然後十九節到二十六節,就因為這件事
[00:03:24.200 --> 00:03:27.200]  對他們的勉勵說話,他們的心願是怎樣的
[00:03:27.200 --> 00:03:30.200]  如果這樣成為引言的一部分的話
[00:03:30.200 --> 00:03:33.200]  這段書是相當相當長的引言
[00:03:33.200 --> 00:03:36.200]  四章聖經裏面,差不多一章是引言的
[00:03:36.200 --> 00:03:39.200]  四分之一是相當長的地方,在比例上
[00:03:39.200 --> 00:03:43.200]  當然保羅在交代他情況的時間
[00:03:43.200 --> 00:03:46.200]  其實都是在教導菲律賓的教會
[00:03:46.200 --> 00:03:49.200]  在這兩個大段落裏面,我們看看
[00:03:49.200 --> 00:03:53.200]  怎樣保羅身處逆境,可以奏樂歌
[00:03:53.200 --> 00:03:55.200]  第十二節說:弟兄們,我願意你們知道
[00:03:55.200 --> 00:03:59.200]  我所遭遇的事,更是叫福音興旺
[00:03:59.200 --> 00:04:03.200]  遭遇的事,很明顯是指下面第十三節所說的
[00:04:03.200 --> 00:04:07.200]  以致我受的困所在御刑全軍和其人當中
[00:04:07.200 --> 00:04:09.200]  已經顯明是基督的緣故
[00:04:09.200 --> 00:04:12.200]  即是說,他遇見這些事
[00:04:12.200 --> 00:04:15.200]  十三節所說的,就是他手上的鎖鏈,他的困所
[00:04:15.200 --> 00:04:21.200]  保羅在《司徒長傳》或其他聖經記載
[00:04:21.200 --> 00:04:26.200]  大概在他身上有四、五次圍著全方位的緣故坐牢
[00:04:26.200 --> 00:04:30.200]  有很多不同的推測,究竟保羅寫這些監獄書信
[00:04:30.200 --> 00:04:35.200]  包括肥牙比、爾忽所和其他監獄書信
[00:04:35.200 --> 00:04:37.200]  他在哪裏坐牢呢?
[00:04:37.200 --> 00:04:41.200]  在這裏,大家要有少少背景
[00:04:41.200 --> 00:04:47.200]  我不想講太複雜的事,我簡單地說
[00:04:47.200 --> 00:04:49.200]  我相信保羅在這裏寫這本書的時間
[00:04:49.200 --> 00:04:54.200]  是在主要62年,他在羅馬坐牢的時間
[00:04:54.200 --> 00:04:56.200]  保羅總共有兩次在羅馬坐牢
[00:04:56.200 --> 00:05:00.200]  第一次在62年,那次是在《司徒長傳》裏面
[00:05:00.200 --> 00:05:03.200]  在最後的時候,《司徒長傳》第28章
[00:05:03.200 --> 00:05:04.200]  大家還記得那個故事嗎?
[00:05:04.200 --> 00:05:06.200]  保羅一直說要上訴該殺
[00:05:06.200 --> 00:05:13.200]  將運船、貨物和保羅的監犯一起運上羅馬
[00:05:13.200 --> 00:05:15.200]  在途中遇見風浪,船沉了
[00:05:15.200 --> 00:05:18.200]  最後轉到羅馬,大家還記得這件事吧
[00:05:18.200 --> 00:05:25.200]  第28章記載保羅在羅馬坐牢兩年的時間
[00:05:25.200 --> 00:05:29.200]  這兩年裏,我相信就是他所寫的監獄書信
[00:05:29.200 --> 00:05:30.200]  包括肥牙比書作
[00:05:30.200 --> 00:05:34.200]  後來第二次坐牢,就是主後的68年
[00:05:34.200 --> 00:05:39.200]  那次是尼祿王要有規模的迫使教會的時間
[00:05:39.200 --> 00:05:43.200]  保羅和彼得一起在主後的68年
[00:05:43.200 --> 00:05:46.200]  寫尼祿的迫害之下而殉道
[00:05:46.200 --> 00:05:49.200]  這兩次的坐牢情況是很不同的
[00:05:49.200 --> 00:05:53.200]  這次你看到保羅很有信心會得到釋放
[00:05:53.200 --> 00:05:56.200]  但在下一次主後的68年的時候
[00:05:56.200 --> 00:05:59.200]  他寫了另一本書,那本書就是提摩大後書
[00:05:59.200 --> 00:06:01.200]  如果你看提摩大後書的時間
[00:06:01.200 --> 00:06:02.200]  你會看到氣氛是很不同的
[00:06:02.200 --> 00:06:04.200]  他知道他快要消電了
[00:06:04.200 --> 00:06:07.200]  快要為主完全的擺上,快要死了
[00:06:07.200 --> 00:06:09.200]  兩個很不同的情況
[00:06:09.200 --> 00:06:13.200]  在這裏保羅說,我現在坐牢在御營的全軍
[00:06:13.200 --> 00:06:19.200]  和其他人當中,是顯明要表達我所信的福音
[00:06:19.200 --> 00:06:21.200]  是真實的,顯明基督在我身上
[00:06:21.200 --> 00:06:26.200]  當時保羅坐牢的情況是怎樣呢?
[00:06:26.200 --> 00:06:29.200]  請你看看《少林寺傳》第28章
[00:06:29.200 --> 00:06:31.200]  請你翻開聖經,《少林寺傳》第28章
[00:06:31.200 --> 00:06:36.200]  《少林寺傳》記載教會初期的發展
[00:06:36.200 --> 00:06:38.200]  然後《基督教傳》第28章就突然停了
[00:06:38.200 --> 00:06:44.200]  保羅上訴到羅馬的地方就停了
