
[00:00:00.000 --> 00:00:05.000]  為了不太沉重 我不穿西裝上來
[00:00:05.000 --> 00:00:10.000]  這樣讀四段經文的確是很沉重的
[00:00:10.000 --> 00:00:13.000]  所以其實本來的設計呢
[00:00:13.000 --> 00:00:15.000]  這四段經文不是我選的
[00:00:15.000 --> 00:00:20.000]  是希伯倫堂崇拜部
[00:00:20.000 --> 00:00:25.000]  他們嘗試根據修訂版通用經課
[00:00:25.000 --> 00:00:32.000]  一本書來編排崇拜的讀經和講道
[00:00:32.000 --> 00:00:38.000]  所以這四段經文是教會歷史上
[00:00:38.000 --> 00:00:42.000]  一個很重要的傳統
[00:00:42.000 --> 00:00:47.000]  教會的崇拜每個星期日舉行
[00:00:47.000 --> 00:00:51.000]  所以這是最人齊的一個小時
[00:00:51.000 --> 00:00:54.000]  雖然我們分了幾堂崇拜
[00:00:54.000 --> 00:00:58.000]  但是星期日早上崇拜之後
[00:00:58.000 --> 00:01:02.000]  理論上所有教會的信徒
[00:01:02.000 --> 00:01:05.000]  都出現在禮拜堂一次了
[00:01:05.000 --> 00:01:09.000]  最少每個禮拜在崇拜裡面出現
[00:01:09.000 --> 00:01:13.000]  所以如果你要報告重要的事情
[00:01:13.000 --> 00:01:17.000]  你會不會選禮拜三晚祈禱會報告?
[00:01:17.000 --> 00:01:19.000]  不會的 是吧
[00:01:19.000 --> 00:01:21.000]  現在不怕 現在WhatsApp就行了
[00:01:21.000 --> 00:01:24.000]  你們看WhatsApp 我都沒有WhatsApp
[00:01:24.000 --> 00:01:29.000]  所以要老人家到小朋友都聽見
[00:01:29.000 --> 00:01:35.000]  就只有星期日上午崇拜
[00:01:35.000 --> 00:01:41.000]  所以星期日上午崇拜最重要的宣佈是什麼?
[00:01:41.000 --> 00:01:44.000]  是聖經 是神的說話
[00:01:44.000 --> 00:01:47.000]  所以星期日讀什麼聖經?
[00:01:47.000 --> 00:01:49.000]  是很有計劃的
[00:01:49.000 --> 00:01:51.000]  就不是隨便找一段
[00:01:51.000 --> 00:01:55.000]  我最喜歡的就是詩篇23篇了
[00:01:55.000 --> 00:01:57.000]  一年365天都讀了一篇
[00:01:57.000 --> 00:01:58.000]  那是不行的
[00:01:58.000 --> 00:02:00.000]  那就是你每餐吃巧克力而已
[00:02:00.000 --> 00:02:02.000]  是很好吃的
[00:02:02.000 --> 00:02:04.000]  但是沒有營養的 是吧
[00:02:04.000 --> 00:02:09.000]  所以上帝啟示的聖經有多少卷呢?
[00:02:09.000 --> 00:02:11.000]  66卷
[00:02:11.000 --> 00:02:15.000]  怎樣能夠有計劃的
[00:02:15.000 --> 00:02:21.000]  在禮拜堂教會聚齊人的時候
[00:02:21.000 --> 00:02:23.000]  可以讀一次
[00:02:23.000 --> 00:02:26.000]  計一計 每個禮拜怎知道讀四段?
[00:02:26.000 --> 00:02:28.000]  一年只有52個禮拜
[00:02:28.000 --> 00:02:32.000]  除以1169張聖經
[00:02:32.000 --> 00:02:34.000]  不行了 搞不定
[00:02:34.000 --> 00:02:36.000]  只是讀聖經都四個小時了
[00:02:36.000 --> 00:02:38.000]  沒有 不用這麼心急的
[00:02:38.000 --> 00:02:42.000]  請問你上教會上了多少年?
[00:02:42.000 --> 00:02:44.000]  我不是問你上了多少年
[00:02:44.000 --> 00:02:48.000]  我是問你預備了多少年
[00:02:48.000 --> 00:02:50.000]  那就是一生一世了
[00:02:50.000 --> 00:02:52.000]  詩篇23篇都說
[00:02:52.000 --> 00:02:55.000]  我且要住在耶和華的殿中
[00:02:55.000 --> 00:02:57.000]  直到永遠
[00:02:57.000 --> 00:03:03.000]  所以教會編排讀聖經的計劃
[00:03:03.000 --> 00:03:07.000]  不是一年要讀完整本聖經
[00:03:07.000 --> 00:03:11.000]  那多少年才讀完呢?
[00:03:11.000 --> 00:03:15.000]  現實一點來編排
[00:03:15.000 --> 00:03:17.000]  教會歷史是這樣編的
[00:03:17.000 --> 00:03:23.000]  它將一年52個禮拜分開上下兩半
[00:03:23.000 --> 00:03:29.000]  上半就是由11月最後一個禮拜日開始
[00:03:29.000 --> 00:03:35.000]  那個叫做張臨期 Advent
[00:03:35.000 --> 00:03:41.000]  就是預備耶穌基督的降生
[00:03:41.000 --> 00:03:43.000]  我想希伯倫堂沒有了
[00:03:43.000 --> 00:03:48.000]  如果你在聖公會或者信義會
[00:03:48.000 --> 00:03:51.000]  它就會在11月最後一個禮拜日
[00:03:51.000 --> 00:03:56.000]  就拿一個蠟燭台出來
[00:03:56.000 --> 00:03:58.000]  上面有五支蠟燭的
[00:03:58.000 --> 00:04:01.000]  有沒有?有沒有見過?
[00:04:01.000 --> 00:04:03.000]  一個禮拜點一支
[00:04:03.000 --> 00:04:05.000]  點完四個禮拜之後
[00:04:05.000 --> 00:04:09.000]  第五支蠟燭中間那支很粗的
[00:04:09.000 --> 00:04:12.000]  點著那支就是聖誕節了
[00:04:12.000 --> 00:04:15.000]  這個叫做張臨期
[00:04:15.000 --> 00:04:16.000]  你說教會不做而已
[00:04:16.000 --> 00:04:17.000]  我家裡可不可以做?
[00:04:17.000 --> 00:04:20.000]  可以的 不過不要火燭就行了
[00:04:20.000 --> 00:04:23.000]  現在有些電芯的蠟燭
[00:04:23.000 --> 00:04:25.000]  你回去佈置
[00:04:25.000 --> 00:04:28.000]  由11月最後一個星期日開始
[00:04:28.000 --> 00:04:31.000]  四支蠟燭每個星期日點一支
[00:04:31.000 --> 00:04:34.000]  到第四個禮拜四支都點完了
[00:04:34.000 --> 00:04:36.000]  第五支中間那支
[00:04:36.000 --> 00:04:38.000]  你再點應該就是聖誕節了
[00:04:38.000 --> 00:04:40.000]  由那個時候開始半年
[00:04:40.000 --> 00:04:43.000]  去到聖靈降臨節
[00:04:43.000 --> 00:04:50.000]  就是復活節之後的七個禮拜
