
[00:00:00.000 --> 00:00:05.240]  三分之一是有中國大陸背景
[00:00:05.240 --> 00:00:07.240]  其他都是香港人為主
[00:00:07.240 --> 00:00:09.240]  這個神學院不是很大
[00:00:09.240 --> 00:00:11.240]  但上帝也很使用
[00:00:11.240 --> 00:00:16.240]  因為主要是培訓普通話的傳道人
[00:00:16.240 --> 00:00:20.240]  而在加拿大很多大陸來的基督徒
[00:00:20.240 --> 00:00:22.240]  他們信主的人很少
[00:00:22.240 --> 00:00:26.240]  這三分之一的人大部分在加拿大信主
[00:00:26.240 --> 00:00:28.240]  然後他們奉獻
[00:00:28.240 --> 00:00:30.240]  去牧養當地教會
[00:00:30.240 --> 00:00:33.240]  而這些教會
[00:00:33.240 --> 00:00:37.240]  現在的國語教會大部分是香港人和台灣人牧養
[00:00:37.240 --> 00:00:39.240]  不算是很理想
[00:00:39.240 --> 00:00:41.240]  如果是中國大陸來的人
[00:00:41.240 --> 00:00:45.240]  信主奉獻牧養他們是最理想的
[00:00:45.240 --> 00:00:47.240]  因為文化上會比較適切
[00:00:47.240 --> 00:00:50.240]  所以這個神學院是看將來
[00:00:50.240 --> 00:00:52.240]  未來十年二十年
[00:00:52.240 --> 00:00:58.240]  相信會興起在外國的普通話教會
[00:00:58.240 --> 00:01:02.240]  同時也有中國大陸申請的同學
[00:01:02.240 --> 00:01:07.240]  我們也發出申請
[00:01:07.240 --> 00:01:10.240]  接納了的也有兩三個正在申請
[00:01:10.240 --> 00:01:12.240]  他們都是很質素的
[00:01:12.240 --> 00:01:16.240]  事實上在那邊的同學質素也很高
[00:01:16.240 --> 00:01:21.240]  譬如前幾天有一個申請者
[00:01:21.240 --> 00:01:25.240]  我收到後要跟他談
[00:01:25.240 --> 00:01:28.240]  我要讓那邊知道
[00:01:28.240 --> 00:01:32.240]  他是北京大學經濟系教授
[00:01:32.240 --> 00:01:34.240]  他本身是博士
[00:01:34.240 --> 00:01:36.240]  我要問他為何讀神學
[00:01:36.240 --> 00:01:38.240]  他有寫
