
[00:00:00.000 --> 00:00:02.000]  (片段播放)
[00:00:03.000 --> 00:00:04.000]  各位姐妹早安
[00:00:04.000 --> 00:00:06.000]  我第一次來到錦繡堂
[00:00:06.000 --> 00:00:09.000]  嘉欣堂和大家分享神的說話
[00:00:09.000 --> 00:00:10.000]  感謝主的恩典
[00:00:10.000 --> 00:00:12.000]  今天我來大開眼界
[00:00:12.000 --> 00:00:15.000]  除了錦繡堂是一個很美麗的堂子
[00:00:15.000 --> 00:00:16.000]  很安靜的環境
[00:00:16.000 --> 00:00:18.000]  我看到嘉欣堂這裡
[00:00:18.000 --> 00:00:22.000]  我第一次看到教會融合了這麼多社區的元素
[00:00:22.000 --> 00:00:23.000]  在一個地方裡
[00:00:23.000 --> 00:00:25.000]  這真是令我大開眼界
[00:00:25.000 --> 00:00:27.000]  所以今天我講的題目
[00:00:27.000 --> 00:00:28.000]  隨時我輪舍
[00:00:28.000 --> 00:00:30.000]  我應該坐下來聽你們分享
[00:00:30.000 --> 00:00:31.000]  可能更加實際一點
[00:00:31.000 --> 00:00:34.000]  今天我從一段經文裡
[00:00:34.000 --> 00:00:35.000]  和大家分享
[00:00:35.000 --> 00:00:39.000]  這幾年我心裡有一個很大的學習
[00:00:39.000 --> 00:00:40.000]  一個很大的掙扎
[00:00:40.000 --> 00:00:45.000]  究竟信仰怎樣才可以落在一個社區裡
[00:00:45.000 --> 00:00:49.000]  這個也是我經常問自己的問題
[00:00:49.000 --> 00:00:52.000]  所以這個我就想和大家分享
[00:00:52.000 --> 00:00:56.000]  我這幾年掙扎的一些體會
[00:00:56.000 --> 00:00:58.000]  我先和大家分享聖經
[00:00:58.000 --> 00:01:00.000]  然後我會講一些實際的例子
[00:01:00.000 --> 00:01:04.000]  這段經文我相信大家不會太過陌生
[00:01:04.000 --> 00:01:05.000]  如果大家回到教會
[00:01:05.000 --> 00:01:07.000]  甚至是回到主教學
[00:01:07.000 --> 00:01:09.000]  你都聽過這個故事很多次
[00:01:09.000 --> 00:01:11.000]  不過有些地方可能我們需要再留意
