
[00:00:00.000 --> 00:00:05.000]  各位安,請我們同心低頭,同祈禱
[00:00:05.000 --> 00:00:09.000]  天父我們再一次感謝祢,給祢寶貴的話語,作為我們生命的指引
[00:00:09.000 --> 00:00:20.000]  求祢讓我們能夠,讓這些話語得到全面提醒、激勵、挑戰、改變
[00:00:20.000 --> 00:00:26.000]  求聖靈在我們心裏面做功,教導我們懂得如何去禱告
[00:00:26.000 --> 00:00:28.000]  奉耶穌基督命求,阿們
[00:00:29.000 --> 00:00:32.000]  我們繼續思想路加福音的信息
[00:00:32.000 --> 00:00:35.000]  今天我們去到路加福音第十一章,一節接四節
[00:00:35.000 --> 00:00:39.000]  通常我們叫主禱文,但我覺得不應該用主禱文
[00:00:39.000 --> 00:00:42.000]  因為不是耶穌的祈禱,是耶穌教的那些門徒的祈禱
[00:00:42.000 --> 00:00:44.000]  所以叫做門徒的禱文
[00:00:44.000 --> 00:00:51.000]  在1988年,美國加州大學三藩市分校醫學院,就是UCSF
[00:00:51.000 --> 00:00:54.000]  有一位醫生,他的名字叫Randolph Bird
[00:00:54.000 --> 00:00:57.000]  Randolph Bird
[00:00:57.000 --> 00:01:00.000]  他做了一個非常有趣的研究
[00:01:00.000 --> 00:01:07.000]  他在三藩市醫院裏面,General Hospital的心臟科病房
[00:01:07.000 --> 00:01:09.000]  他是一個心臟科醫生
[00:01:09.000 --> 00:01:14.000]  他在心臟病房的CCU裏面選了393個病人
[00:01:14.000 --> 00:01:17.000]  隨意的,random的
[00:01:17.000 --> 00:01:23.000]  在393個病人裏面,抽了192個病人
[00:01:23.000 --> 00:01:26.000]  交給一些完全不認識他們
[00:01:26.000 --> 00:01:28.000]  又從未見過面
[00:01:28.000 --> 00:01:31.000]  又稱自己是重新得救的基督徒
[00:01:31.000 --> 00:01:34.000]  懇切為他們每一個人祈禱
[00:01:34.000 --> 00:01:37.000]  為他們的病情祈禱,為他們的康復祈禱
[00:01:37.000 --> 00:01:40.000]  而這些病人也不知道有人為他們祈禱
[00:01:40.000 --> 00:01:42.000]  也不認識這些人
[00:01:42.000 --> 00:01:45.000]  另外一組是201個病人
[00:01:45.000 --> 00:01:50.000]  這個醫生沒有邀請任何人為他們祈禱
[00:01:50.000 --> 00:01:52.000]  經過了10個月的研究
[00:01:52.000 --> 00:01:55.000]  10個月的時間,研究這兩組病人
[00:01:55.000 --> 00:01:58.000]  他們的病況進展有沒有分別
[00:01:58.000 --> 00:02:05.000]  但我強調這個random bird所用的方法去研究
[00:02:05.000 --> 00:02:09.000]  是所謂的認可的double-blind randomized protocol
[00:02:09.000 --> 00:02:13.000]  是一個最standard的醫學研究的方法
[00:02:13.000 --> 00:02:20.000]  他就將他的研究結果刊登在美國的Southern Medical Journal
[00:02:20.000 --> 00:02:23.000]  如果大家有興趣,是一個很有趣的研究
[00:02:23.000 --> 00:02:26.000]  如果大家有機會,我讀一讀
[00:02:26.000 --> 00:02:32.000]  我告訴你,是叫Southern Medical Journal, Volume 81, Number 7
[00:02:32.000 --> 00:02:35.000]  如果你查一查這個Journal,去看一看這篇文章
[00:02:35.000 --> 00:02:37.000]  是很有趣的
[00:02:37.000 --> 00:02:42.000]  事實上這件事也在San Francisco Examiner刊登過
[00:02:42.000 --> 00:02:47.000]  在研究開始的時候,他就比較這兩組病人的病況
[00:02:47.000 --> 00:02:49.000]  就是大家的病況差不多
[00:02:49.000 --> 00:02:54.000]  他們同樣患有這個所謂的acute myocardial infraction
[00:02:54.000 --> 00:02:56.000]  即是一個心臟病
[00:02:56.000 --> 00:02:59.000]  他用一個叫做Killips的classification
[00:02:59.000 --> 00:03:01.000]  將這個病人的病況分類了
[00:03:01.000 --> 00:03:05.000]  屬於class 1的有肚子的這一組是有16%
[00:03:05.000 --> 00:03:08.000]  沒有肚子的這一組也是有16%
[00:03:08.000 --> 00:03:10.000]  是屬於class 1的病人
[00:03:10.000 --> 00:03:13.000]  class 2是有肚子的一組是8%
[00:03:13.000 --> 00:03:15.000]  沒有肚子的一組是10%
[00:03:15.000 --> 00:03:17.000]  class 3是1%
[00:03:17.000 --> 00:03:19.000]  沒有肚子的一組也是1%
[00:03:19.000 --> 00:03:22.000]  class 4大家都是2%
[00:03:22.000 --> 00:03:24.000]  但是我們不要理會class 1, 2, 3, 4
[00:03:24.000 --> 00:03:26.000]  意思就是告訴我們
[00:03:26.000 --> 00:03:32.000]  這兩組病人的病情,病況是極之相似,相若的
[00:03:32.000 --> 00:03:35.000]  經過了10個月的治療
[00:03:35.000 --> 00:03:39.000]  然後就看一看這兩組的病人
[00:03:39.000 --> 00:03:42.000]  他的進展情況有沒有不同呢
[00:03:42.000 --> 00:03:44.000]  他就分開三類來看
[00:03:44.000 --> 00:03:46.000]  一個就叫做good,即是非常好的
[00:03:46.000 --> 00:03:50.000]  病情可以得以改善,甚至是完全的痊癒
[00:03:50.000 --> 00:03:54.000]  一個就叫做中間,intermediate,即是時好時壞
[00:03:54.000 --> 00:03:57.000]  第三個就是bad,bad就是不好的,甚至死亡的
[00:03:57.000 --> 00:03:59.000]  三個類別
[00:03:59.000 --> 00:04:03.000]  所謂不好的有併發症,有其他的情況出現
[00:04:03.000 --> 00:04:05.000]  結果是什麼呢
[00:04:05.000 --> 00:04:09.000]  有肚子的組屬於良好的是有85%
[00:04:09.000 --> 00:04:14.000]  即是這100個人當中有85個就叫做好很多
[00:04:14.000 --> 00:04:16.000]  甚至是完全康復
[00:04:16.000 --> 00:04:20.000]  而沒有肚子的組屬於73%
