
[00:00:00.000 --> 00:00:04.000]  各位朋友、大英姐妹 早安
[00:00:04.000 --> 00:00:06.000]  很高興再一次有機會
[00:00:06.000 --> 00:00:09.600]  和大家一起思想神自己的福音
[00:00:09.600 --> 00:00:12.900]  今天和大家讀了一篇詩篇
[00:00:12.900 --> 00:00:17.500]  這篇詩篇不是大家經常有機會讀的詩篇
[00:00:17.500 --> 00:00:21.100]  不過是很值得和大家再讀多一次
[00:00:21.100 --> 00:00:22.600]  好不好?我們再讀多一次
[00:00:22.600 --> 00:00:24.000]  我們再看多一次這篇詩篇
[00:00:24.000 --> 00:00:27.300]  看這篇詩篇神透過詩人
[00:00:27.300 --> 00:00:29.300]  來和我們說些什麼 好不好?
[00:00:29.300 --> 00:00:32.500]  因為後面很方便 都不用看下一節了
[00:00:32.500 --> 00:00:35.700]  我們看回剛才那篇詩篇
[00:00:35.700 --> 00:00:39.000]  主要集中在開頭那三節 好不好?
[00:00:39.000 --> 00:00:43.000]  我們回到剛才的詩篇第57篇
[00:00:43.000 --> 00:00:46.200]  我們讀第一至第三節
[00:00:46.200 --> 00:00:48.200]  這次一起讀 好不好?
[00:00:48.200 --> 00:00:49.500]  預備請讀
[00:00:49.500 --> 00:00:53.600]  神啊 求祢憐憫我 憐憫我
[00:00:53.600 --> 00:00:56.600]  因為我的心投靠祢
[00:00:56.600 --> 00:01:00.400]  我要投靠在祢翅膀的陰下
[00:01:00.400 --> 00:01:02.900]  等到災害過去
[00:01:02.900 --> 00:01:05.600]  我要求高至高的神
[00:01:05.600 --> 00:01:09.100]  就是為我成全諸事的神
[00:01:09.100 --> 00:01:13.200]  那要吞我的人辱罵我的時候
[00:01:13.200 --> 00:01:17.400]  神從天上必施恩救我
[00:01:17.400 --> 00:01:21.900]  我必向我發出慈愛和誠實
[00:01:21.900 --> 00:01:24.900]  今天和大家來思想一下這段聖經裡
[00:01:24.900 --> 00:01:28.600]  有其中一個很寶貴的聖經的應許
[00:01:28.600 --> 00:01:30.100]  神答應了什麼呢?
[00:01:30.100 --> 00:01:34.100]  神答應了在天上施恩給我們
[00:01:34.100 --> 00:01:37.100]  哇 遠水不能救近火 是不是?
[00:01:37.100 --> 00:01:39.300]  在天上將恩典施下來
[00:01:39.300 --> 00:01:41.100]  這麼遠
[00:01:41.100 --> 00:01:42.600]  我們不要誤會
[00:01:42.600 --> 00:01:46.100]  聖經裡用天上的意思
[00:01:46.100 --> 00:01:48.400]  一拿來形容上帝的話
[00:01:48.400 --> 00:01:51.100]  就有兩個主要的意思
[00:01:51.100 --> 00:01:53.600]  第一個意思就是說很多
[00:01:53.600 --> 00:01:56.100]  天上這麼高這麼多
[00:01:56.100 --> 00:01:59.100]  第二就是頂級的意思
[00:01:59.100 --> 00:02:03.100]  就是不給 一給就給最好的
[00:02:03.100 --> 00:02:05.100]  所以聖經裡說
[00:02:05.100 --> 00:02:08.100]  上帝在天上施恩的意思就是說
[00:02:08.100 --> 00:02:12.100]  上帝給最多 給最頂級的我們
[00:02:12.100 --> 00:02:14.600]  就是上帝半點也不吝嗇
[00:02:14.600 --> 00:02:16.100]  這個很重要
[00:02:16.100 --> 00:02:18.600]  如果我們走在人世間的路上
[00:02:18.600 --> 00:02:20.100]  有時候我們做父母親
[00:02:20.100 --> 00:02:22.600]  我們的子女說要這樣要那樣
[00:02:22.600 --> 00:02:24.600]  我們有時候也會想給最好的
[00:02:24.600 --> 00:02:27.100]  不過有時候也會有些吝嗇 是不是?
[00:02:27.100 --> 00:02:30.100]  都希望省省錢的錢包
[00:02:30.100 --> 00:02:33.600]  希望不要這麼破費 是不是?
[00:02:33.600 --> 00:02:36.100]  但是上帝就會將最好的
[00:02:36.100 --> 00:02:38.600]  將頂級的 將最多的
[00:02:38.600 --> 00:02:40.100]  來給我們這個意思
[00:02:40.100 --> 00:02:43.600]  這一段聖經我們剛才讀的時候
[00:02:43.600 --> 00:02:48.100]  屏幕那裡沒有打到這篇詩
[00:02:48.100 --> 00:02:50.600]  有些細字
[00:02:50.600 --> 00:02:53.600]  不知道電腦裡有沒有那些細字
[00:02:53.600 --> 00:02:55.100]  如果沒有的話
[00:02:55.100 --> 00:02:57.600]  就可能大家要聽我讀
[00:02:57.600 --> 00:03:00.100]  有些弟兄姊妹已經很聰明
[00:03:00.100 --> 00:03:01.600]  打開了聖經
[00:03:01.600 --> 00:03:04.100]  聖經裡有一堆細字
[00:03:04.100 --> 00:03:07.600]  就說出了這一篇詩的背景
[00:03:07.600 --> 00:03:10.600]  大家都知道寫得出詩
[00:03:10.600 --> 00:03:12.600]  除了那個是一個詩人之外
[00:03:12.600 --> 00:03:15.100]  都會有一些很強烈的情緒
[00:03:15.100 --> 00:03:18.600]  才會寫得出詩篇出來的 是不是?
[00:03:18.600 --> 00:03:21.600]  好像我們生活一般很平淡的時候
[00:03:21.600 --> 00:03:25.600]  我們就說很平淡 很平淡
[00:03:25.600 --> 00:03:28.100]  很平淡 還有很平淡
[00:03:28.100 --> 00:03:30.100]  可能很多人都是一樣的
[00:03:30.100 --> 00:03:33.100]  不過就不會寫出一篇詩 是不是?
[00:03:33.100 --> 00:03:37.100]  所以這一篇詩有個背景的
[00:03:37.100 --> 00:03:38.600]  背景就是請聽我讀
[00:03:38.600 --> 00:03:41.100]  如果有聖經的時候都留意一下
[00:03:41.100 --> 00:03:45.100]  原來聖經這一篇詩的作者叫做大衛
[00:03:45.100 --> 00:03:46.600]  他說聖經記載了
[00:03:46.600 --> 00:03:52.600]  大衛逃避掃羅 藏在洞裡
[00:03:52.600 --> 00:03:57.600]  那時他作者金絲 教與靈長
[00:03:57.600 --> 00:04:00.600]  調用幽幽毀壞
[00:04:00.600 --> 00:04:02.100]  哇 就是這個背景
[00:04:02.100 --> 00:04:06.100]  這個背景我們就能夠感受到那篇詩
[00:04:06.100 --> 00:04:09.600]  那種味道的詩意比較強烈一些
[00:04:09.600 --> 00:04:12.600]  詩人的背景是什麼呢?
[00:04:12.600 --> 00:04:14.600]  詩人叫大衛
[00:04:14.600 --> 00:04:18.100]  大衛對回教會的人來說很熟
[00:04:18.100 --> 00:04:20.100]  對沒有回教會的人來說
[00:04:20.100 --> 00:04:24.100]  可能都聽過 吃很多東西的那個就是大衛
[00:04:24.100 --> 00:04:26.600]  是不是? 不要搞錯
[00:04:26.600 --> 00:04:30.100]  大衛在聖經裡面是一個很重要的人物
[00:04:30.100 --> 00:04:34.100]  我們經常說大衛是一個皇帝
[00:04:34.100 --> 00:04:36.100]  所以他是一個很重要的人物
[00:04:36.100 --> 00:04:38.100]  但是大家記住
[00:04:38.100 --> 00:04:44.100]  大衛和我們小朋友的成長背景很不同
[00:04:44.100 --> 00:04:48.100]  我們希望我們的小朋友成長都是頂級的
[00:04:48.100 --> 00:04:53.100]  所以還沒出生的開始就聽貝多芬
[00:04:53.100 --> 00:04:55.100]  聽莫扎特
[00:04:55.100 --> 00:04:59.600]  希望刺激他 讓他的IQ和EQ高一些
[00:04:59.600 --> 00:05:02.100]  到他出生的時候
[00:05:02.100 --> 00:05:04.600]  我們在加拿大就沒有私家醫院
[00:05:04.600 --> 00:05:07.600]  可能我們希望將來有私醫療兩級制
[00:05:07.600 --> 00:05:11.600]  我們希望不要輸於起跑線
[00:05:11.600 --> 00:05:14.100]  希望能夠找到最好的醫院
[00:05:14.100 --> 00:05:16.100]  讓我們的小朋友來到出生
[00:05:16.100 --> 00:05:21.600]  是不是? 所以香港現在的人說不要輸於起跑線
[00:05:21.600 --> 00:05:25.100]  所以就要在頂級的醫院來到小朋友出生
[00:05:25.100 --> 00:05:27.100]  接著進入頂級的幼稚園
[00:05:27.100 --> 00:05:29.600]  接著搬到頂級的學校網
[00:05:29.600 --> 00:05:31.600]  進入頂級的學校
[00:05:31.600 --> 00:05:34.100]  所以就希望什麼都是頂級的
[00:05:34.100 --> 00:05:37.600]  然後就希望他頂級地成長
[00:05:37.600 --> 00:05:41.100]  成長成為一個出類拔萃的小朋友
[00:05:41.100 --> 00:05:44.600]  到成長之後能夠找到一份好工作
[00:05:44.600 --> 00:05:48.100]  我相信你的父母 我們在座當中看下去
[00:05:48.100 --> 00:05:51.100]  我們都是這樣做父母的 是不是?
[00:05:51.100 --> 00:05:53.600]  我們的父母都是這樣做父母的
