
[00:00:00.000 --> 00:00:05.340]  各位電視節目的各位朋友 您們好
[00:00:05.340 --> 00:00:07.900]  歡迎大家參訪我們三藩市報道會
[00:00:07.900 --> 00:00:09.900]  網上的五堂崇拜
[00:00:09.900 --> 00:00:15.180]  今天我們繼續這個亂世佳言系列
[00:00:15.180 --> 00:00:17.180]  我們來到第七講
[00:00:17.180 --> 00:00:23.300]  題目是《宿命、色盲、三家的影子》
[00:00:23.300 --> 00:00:28.420]  經文是記載在《士詩記》第三章31節
[00:00:28.420 --> 00:00:30.960]  未開始思想這段聖經之前
[00:00:30.960 --> 00:00:32.960]  請您同心一同祈禱
[00:00:32.960 --> 00:00:36.400]  慈悲也天父我們滿心感謝您
[00:00:36.400 --> 00:00:41.160]  因為您是愛我們每一個人
[00:00:41.160 --> 00:00:43.160]  無論我們的膚色
[00:00:43.160 --> 00:00:45.160]  我們的種族
[00:00:45.160 --> 00:00:47.160]  我們的社會地位
[00:00:47.160 --> 00:00:49.160]  無論是我們的性別
[00:00:49.160 --> 00:00:52.300]  您都是一樣愛我們
[00:00:52.300 --> 00:00:56.780]  因為我們都是按著神的形象所做的
[00:00:56.780 --> 00:01:01.580]  在今天的世界裡充滿了很多憎恨
[00:01:01.580 --> 00:01:03.580]  很多的墜落
[00:01:03.580 --> 00:01:05.580]  求您憐憫我們
[00:01:05.580 --> 00:01:09.740]  用神的眼光來看待這個世界
[00:01:09.740 --> 00:01:11.740]  祝福保守我們
[00:01:11.740 --> 00:01:13.740]  我們這樣祈禱
[00:01:13.740 --> 00:01:15.740]  奉耶穌基督徽求
[00:01:15.740 --> 00:01:17.740]  阿們
[00:01:17.740 --> 00:01:21.740]  在2025年12月3日
[00:01:21.740 --> 00:01:25.260]  18歲的英國白人大學生
[00:01:25.260 --> 00:01:27.260]  Henry Nowak
[00:01:27.260 --> 00:01:30.260]  在英國南安普頓
[00:01:30.260 --> 00:01:34.620]  被一個23歲的英國錫克教教徒
[00:01:34.620 --> 00:01:38.260]  Victor Singh Dikwa謀殺
[00:01:38.260 --> 00:01:43.340]  Dikwa是用一把8.3寸長的匕首
[00:01:43.340 --> 00:01:45.340]  刺入Nowak的身體
[00:01:45.340 --> 00:01:47.340]  總共有5刀
[00:01:47.340 --> 00:01:50.780]  其中一刀刺入了他的胸部
[00:01:50.780 --> 00:01:52.780]  以致死亡
[00:01:52.780 --> 00:01:58.700]  當時Dikwa的兄弟打999報警
[00:01:58.700 --> 00:02:02.300]  警察很快就來到現場
[00:02:02.300 --> 00:02:06.060]  當警察來到現場的時候
[00:02:06.060 --> 00:02:09.100]  Dikwa立即告訴警察
[00:02:09.100 --> 00:02:13.420]  Nowak襲擊他和種族歧視
[00:02:13.420 --> 00:02:16.620]  警察不問理由
[00:02:16.620 --> 00:02:19.820]  就將Nowak戴上手銬
[00:02:19.820 --> 00:02:22.860]  當時他已經受傷
[00:02:22.860 --> 00:02:24.860]  他反覆告訴警察
[00:02:24.860 --> 00:02:26.860]  我已經受傷
[00:02:26.860 --> 00:02:28.860]  他說我是受害者
[00:02:28.860 --> 00:02:30.860]  警員就這樣回答
[00:02:30.860 --> 00:02:32.860]  我看不到你有甚麼傷處
[00:02:32.860 --> 00:02:36.860]  當時Nowak還哀求自己
[00:02:36.860 --> 00:02:38.860]  我沒有辦法呼吸
[00:02:38.860 --> 00:02:42.860]  就在被捕過程當中
[00:02:42.860 --> 00:02:44.860]  他就失去了知覺
[00:02:44.860 --> 00:02:46.860]  沒多久當場死亡
[00:02:46.860 --> 00:02:50.460]  當時Dikwa是帶著兩把刀
[00:02:50.460 --> 00:02:54.220]  一把是石刻教儀式的刀
[00:02:54.220 --> 00:02:56.220]  一把是大的匕首
[00:02:56.220 --> 00:03:00.940]  他用大的匕首來刺死了Nowak
[00:03:00.940 --> 00:03:02.940]  就在行兇之前
[00:03:02.940 --> 00:03:10.940]  Nowak曾經錄了當時他如何和Dikwa有口角
[00:03:10.940 --> 00:03:14.220]  和他轉身離開的畫面
[00:03:14.220 --> 00:03:17.420]  根據法庭的宣稱
[00:03:17.420 --> 00:03:20.940]  Dikwa後來搶走了Nowak的手機
[00:03:20.940 --> 00:03:22.940]  制止他錄影
[00:03:22.940 --> 00:03:24.940]  以致造成肢體衝突
[00:03:24.940 --> 00:03:26.940]  行兇的過程
[00:03:26.940 --> 00:03:30.700]  看不見有任何目擊者
[00:03:30.700 --> 00:03:33.900]  2026年5月28日
[00:03:33.900 --> 00:03:38.300]  陪審院裁定Dikwa謀殺罪名成立
[00:03:38.300 --> 00:03:40.300]  而Dikwa的母親
