
[00:00:00.000 --> 00:00:09.000]  今天和大家一起思想的經文是出自於馬太福音的第三章
[00:00:09.000 --> 00:00:11.000]  第一至到第十二節
[00:00:11.000 --> 00:00:14.000]  今天和大家一起思想的題目是叫做
[00:00:14.000 --> 00:00:17.000]  有主風度的神子文
[00:00:17.000 --> 00:00:19.000]  在舊約的聖經裡面
[00:00:19.000 --> 00:00:22.000]  我們知道有不少的人物
[00:00:22.000 --> 00:00:27.000]  他們都曾經藉著認罪悔改
[00:00:27.000 --> 00:00:30.000]  這些人物我們可以經歷過的
[00:00:30.000 --> 00:00:34.000]  譬如在獵王紀的上面
[00:00:34.000 --> 00:00:36.000]  我們知道有這個奶孟
[00:00:36.000 --> 00:00:39.000]  或者在秘魯的時期
[00:00:39.000 --> 00:00:41.000]  有一位很出名的君王
[00:00:41.000 --> 00:00:43.000]  叫做尼布甲尼撒王
[00:00:43.000 --> 00:00:47.000]  今天的教會也都非常之強調
[00:00:47.000 --> 00:00:50.000]  在傳道的過程當中
[00:00:50.000 --> 00:00:53.000]  看重人的悔改
[00:00:53.000 --> 00:00:57.000]  既然悔改是一件這麼重要的事情
[00:00:57.000 --> 00:01:01.000]  我們在今天將會看的這段聖經裡面
[00:01:01.000 --> 00:01:04.000]  正好談論到一個這樣的現象
[00:01:04.000 --> 00:01:11.000]  就是司洗約翰要宣告他這個悔改的朕禮的信息
[00:01:11.000 --> 00:01:15.000]  在當中也都不乏有不少的人去參與
[00:01:15.000 --> 00:01:18.000]  既然已經有悔改的信息
[00:01:18.000 --> 00:01:23.000]  人也都已經悔改然後去參與這些朕禮
[00:01:23.000 --> 00:01:28.000]  我們為什麼還需要有耶穌基督的死和復活呢?
[00:01:28.000 --> 00:01:31.000]  人也悔改了,那就好了
[00:01:31.000 --> 00:01:39.000]  這個正正就是今天我們想透過馬太福音的第三章1-12節
[00:01:39.000 --> 00:01:41.000]  一起思想一下
[00:01:41.000 --> 00:01:44.000]  究竟我們作為一個神的子民
[00:01:44.000 --> 00:01:50.000]  我們怎樣才能夠作成一個稱職的神的子民呢?
[00:01:50.000 --> 00:01:54.000]  並且可以透過不同的侍奉的人物
[00:01:54.000 --> 00:01:57.000]  譬如今天我們所看的司洗約翰
[00:01:57.000 --> 00:02:01.000]  讓我們看看真正一個屬靈人、屬神的子民
[00:02:01.000 --> 00:02:07.000]  在侍奉神的時候需要有一個怎樣的生命表彰
[00:02:07.000 --> 00:02:11.000]  這個就是今天我們所看的這段經文的主旨
[00:02:11.000 --> 00:02:18.000]  不如我們再次打開聖經馬太福音第三章1-12節
[00:02:18.000 --> 00:02:21.000]  讓我們一起讀一下這段經文
[00:02:21.000 --> 00:02:24.000]  讓我們從這段經文當中去明白到
[00:02:24.000 --> 00:02:30.000]  上帝怎樣去模造一個
[00:02:30.000 --> 00:02:34.000]  或者呼召一個能夠去真是全心全意
[00:02:34.000 --> 00:02:36.000]  稱職的神的僕人
[00:02:36.000 --> 00:02:41.000]  讓我們一起打開和合本的聖經中文版本
[00:02:41.000 --> 00:02:43.000]  我們會一起深讀一次
[00:02:43.000 --> 00:02:49.000]  讓我們一起打開馬太福音第三章1-12節
[00:02:49.000 --> 00:02:52.000]  那時有司洗的約翰出來
[00:02:52.000 --> 00:02:55.000]  在猶太的曠野傳道
[00:02:55.000 --> 00:03:01.000]  說:天國近了,你們應當悔改
[00:03:01.000 --> 00:03:06.000]  這人就是先知以塞亞所說的
[00:03:06.000 --> 00:03:10.000]  他說:在曠野有人聲喊著說
