
[00:00:00.000 --> 00:00:08.900]  我想問問有多少人覺得生活不忙?
[00:00:08.900 --> 00:00:14.800]  有沒有人覺得不忙?
[00:00:14.800 --> 00:00:16.000]  大家都忙嗎?
[00:00:16.000 --> 00:00:19.200]  那應該聽了
[00:00:19.200 --> 00:00:25.400]  你覺得不忙的,可能你心忙,人忙心忙
[00:00:25.400 --> 00:00:34.300]  我們試試在神的話裡面,他如何告訴你一些很重要的信息
[00:00:34.300 --> 00:00:37.000]  請我再次同心,低頭,同祈禱
[00:00:37.000 --> 00:00:40.600]  天父多謝你給我們有寶貴的話語作為我們生命的指引
[00:00:40.600 --> 00:00:45.300]  求你藉著你的話語去提醒、勸勉、教導、督扎、安慰我們
[00:00:45.300 --> 00:00:48.700]  奉耶穌基督命求,阿們
[00:00:48.700 --> 00:00:52.500]  當尼克遜總統被人發覺
[00:00:52.500 --> 00:00:57.100]  他在競選總統時,竊聽民主黨
[00:00:57.100 --> 00:01:01.900]  結果這個所謂的水門案就爆發了
[00:01:01.900 --> 00:01:06.900]  其中一個水門案的主角叫做John Edelman
[00:01:06.900 --> 00:01:11.300]  後來他就寫了一本書叫做《Witness to Power》
[00:01:11.300 --> 00:01:15.700]  John Edelman是被判有罪,坐牢坐了兩年
[00:01:15.700 --> 00:01:17.700]  在這本書他怎麼說呢?
[00:01:17.700 --> 00:01:22.500]  他說當水門案爆發兩年後,我被起訴
[00:01:22.500 --> 00:01:25.700]  我的自尊受到極大的打擊
[00:01:25.700 --> 00:01:28.500]  自我形象低到極點
[00:01:28.500 --> 00:01:34.200]  在大眾傳媒、電視報章中,我被形容為劣等人士
[00:01:34.200 --> 00:01:36.900]  好像人間的渣滓一樣
[00:01:36.900 --> 00:01:42.900]  在監獄里,不是穿上西裝、有型有款的踏入白宮
[00:01:42.900 --> 00:01:46.100]  操縱美國和世界的局勢
[00:01:46.100 --> 00:01:48.900]  而是穿著殘舊又污禿的囚衣
[00:01:48.900 --> 00:01:51.600]  拿著鏟頭、拿著鐵鏟
[00:01:51.600 --> 00:01:56.400]  在沙漠和其他犯案的囚犯做苦工
[00:01:56.400 --> 00:02:00.300]  在別人的眼中,我是一文不值
[00:02:00.300 --> 00:02:04.400]  在過往,我一直忙碌爬上這個社會階梯
[00:02:04.400 --> 00:02:06.900]  在政壇裡面扶搖直上
[00:02:06.900 --> 00:02:09.100]  在事業裡面奠定好的地位
[00:02:09.100 --> 00:02:12.300]  在家庭有穩固的經濟基礎
[00:02:12.300 --> 00:02:18.700]  但我可以很快就收藏了我一直困擾的自卑和缺陷
[00:02:18.700 --> 00:02:22.300]  我的問題和疑惑
[00:02:22.300 --> 00:02:25.300]  那些似乎是美好的前景
[00:02:25.300 --> 00:02:30.700]  是遮掩了我所有成為了我的盲點
[00:02:30.700 --> 00:02:33.500]  但在審訊期間
[00:02:33.500 --> 00:02:36.300]  所有我認為最值得驕傲的東西
[00:02:36.300 --> 00:02:38.700]  突然之間化為烏有
[00:02:38.700 --> 00:02:44.100]  我內心極之傷心
[00:02:44.100 --> 00:02:48.500]  來得這麼快,又去得這麼快
[00:02:48.500 --> 00:03:00.500]  我所擁有一切名譽、信任、人格、尊嚴、財富、前途、職業、家庭
[00:03:00.500 --> 00:03:04.500]  完全毀於一旦,一點都沒有下來
[00:03:04.500 --> 00:03:07.300]  人生究竟是什麼
[00:03:07.300 --> 00:03:09.300]  每當法庭審訊完畢
[00:03:09.300 --> 00:03:11.700]  我自己人回到酒店的時候
[00:03:11.700 --> 00:03:16.300]  心情非常惡劣、很空虛、很苦悶
[00:03:16.300 --> 00:03:20.100]  在那時候我開始想到上帝
[00:03:20.100 --> 00:03:22.700]  我開始拿一本聖經來讀一讀
[00:03:22.700 --> 00:03:26.100]  去默想、去聆聽那個做物主
[00:03:26.100 --> 00:03:29.500]  在我最謙卑、最一無所有的時候
[00:03:29.500 --> 00:03:32.100]  他跟我說什麼話
[00:03:32.100 --> 00:03:35.300]  我開始認識到真正的自己
[00:03:35.300 --> 00:03:40.900]  也可以體驗到人生的意義和信仰的真體
[00:03:40.900 --> 00:03:43.100]  這個就是John Edelman
[00:03:43.100 --> 00:03:46.700]  他寫了一本書《Waiters to Power》
[00:03:46.700 --> 00:03:50.900]  最近我看過一篇文章
[00:03:50.900 --> 00:03:55.500]  是香港前特首曾蔭權寫的一篇文章
[00:03:55.500 --> 00:04:00.500]  當他被判入獄、赤柱坐牢的時候
[00:04:00.500 --> 00:04:03.700]  他就寫了一篇文章
