
[00:00:00.000 --> 00:00:07.440]  今天和大家一起繼續思想在馬太福音裡面的教導
[00:00:07.440 --> 00:00:15.100]  讓我一起再次預備打開馬太福音第六章第五至去第八節
[00:00:15.100 --> 00:00:21.700]  今天和大家一起思想的一個題目是叫做與父神貼心的交往
[00:00:21.700 --> 00:00:26.100]  不知道大家有沒有做過不友的經驗
[00:00:26.100 --> 00:00:32.500]  在我自己很年輕的時候因為讀英語的課程
[00:00:32.500 --> 00:00:38.900]  老師就要求我們有一份功課是一份全年的功課
[00:00:38.900 --> 00:00:44.000]  就是我們去參加一個所謂的不友的一個活動
[00:00:44.000 --> 00:00:46.000]  我從來都不知道什麼叫不友
[00:00:46.000 --> 00:00:49.800]  第一次所遇見就是我這位老師的介紹
[00:00:49.800 --> 00:00:53.100]  他就說我們一起去參加這個不友
[00:00:53.100 --> 00:00:56.900]  在這一年的裡面我希望你和這位不友
[00:00:56.900 --> 00:01:02.000]  至少有三至四次的書信的來往
[00:01:02.000 --> 00:01:06.500]  希望在寫信的過程當中你去認識一下對方
[00:01:06.500 --> 00:01:08.400]  他們當地的文化
[00:01:08.400 --> 00:01:14.600]  並且同時間也可以讓你去操練一下你們的英語
[00:01:14.600 --> 00:01:19.000]  我希望大家能夠在年中的時候
[00:01:19.000 --> 00:01:24.300]  就能夠把這些書信儲起來寫一個總結
[00:01:24.300 --> 00:01:28.500]  在這個不友的過程當中有什麼學習
[00:01:28.500 --> 00:01:32.500]  我相信現在在電腦的時代
[00:01:32.500 --> 00:01:36.500]  Internet互聯網世界的時間
[00:01:36.500 --> 00:01:42.300]  不友這件事對於很多人來看是很陌生的一件事
[00:01:42.300 --> 00:01:44.000]  但在我年輕的時候
[00:01:44.000 --> 00:01:47.500]  其實不友Hand Pair這個活動
[00:01:47.500 --> 00:01:50.000]  其實是非常流行的
[00:01:50.000 --> 00:01:54.500]  並且我們學校有些學會叫做不友學會
[00:01:54.500 --> 00:01:58.500]  來一起鼓勵我們每一個同學
[00:01:58.500 --> 00:02:02.000]  和不同國家的人去彼此溝通
[00:02:02.000 --> 00:02:04.800]  當然是以英語去溝通
[00:02:04.800 --> 00:02:08.200]  至於當時寫過什麼東西
[00:02:08.200 --> 00:02:10.800]  因為到年代比較久遠
[00:02:10.800 --> 00:02:14.000]  我其實都不記得是寫過什麼東西
[00:02:14.000 --> 00:02:17.800]  我只記得當時我曾經有個女生是不友
[00:02:17.800 --> 00:02:20.000]  她住在歐洲
[00:02:20.000 --> 00:02:24.300]  她也參加了這個不友的一個聯會
[00:02:24.300 --> 00:02:26.500]  是一個全世界的聯會
[00:02:26.500 --> 00:02:28.000]  大家都是一個會員
[00:02:28.000 --> 00:02:33.000]  剛好我就被分配到跟她有些書信來往
[00:02:33.000 --> 00:02:35.800]  寫的內容其實我也不記得是什麼東西
[00:02:35.800 --> 00:02:39.000]  不過我只依稀記得
[00:02:39.000 --> 00:02:41.600]  在寫這些書信的時候
[00:02:41.600 --> 00:02:44.800]  我只曾經跟她對方說過一樣東西
[00:02:44.800 --> 00:02:49.300]  就是我希望每次你寫信回覆我的時候
[00:02:49.300 --> 00:02:52.300]  我希望你貼一些特別的郵票
[00:02:52.300 --> 00:02:56.600]  好使我可以將這些郵票儲起來
[00:02:56.600 --> 00:03:00.600]  因為我自己本身都有集郵的嗜好
[00:03:00.600 --> 00:03:06.100]  所以期間收到很多不同類型的郵票
[00:03:06.100 --> 00:03:07.800]  她寄來給我
[00:03:07.800 --> 00:03:13.300]  我記得那時候無論我自己的英語有多爛也好
[00:03:13.300 --> 00:03:16.300]  當時是中一的時間
