
[00:00:00.000 --> 00:00:05.560]  好 多謝大家的邀請
[00:00:05.560 --> 00:00:08.520]  這個這麼漂亮的禮堂
[00:00:08.520 --> 00:00:11.000]  還有這麼好的絲斑
[00:00:11.000 --> 00:00:15.440]  在香港其實已經是很稀有的一件事
[00:00:15.440 --> 00:00:18.120]  一來香港地價高 建不到這麼大的禮堂
[00:00:18.120 --> 00:00:19.200]  很少教會
[00:00:19.200 --> 00:00:23.440]  二來絲斑 特別這麼專業的絲斑
[00:00:23.440 --> 00:00:26.320]  在香港是瀕臨絕種的品種
[00:00:26.320 --> 00:00:32.360]  所以我們這些「老餅」很高興可以來聽聽你們的絲斑獻唱
[00:00:32.360 --> 00:00:36.280]  我們是忠臣多倫多的總幹事
[00:00:36.280 --> 00:00:37.840]  我們有些培訓課程的東西
[00:00:37.840 --> 00:00:39.200]  不過這裡不是廣告
[00:00:39.200 --> 00:00:42.440]  所以如果你想知道忠臣多倫多在做什麼
[00:00:42.440 --> 00:00:44.960]  你Google CGST Toronto
[00:00:44.960 --> 00:00:48.360]  去我們的網頁 就會看到
[00:00:48.360 --> 00:00:50.480]  我們今天就去一個經文
[00:00:50.480 --> 00:00:55.400]  就是哥羅西書一章十五到夜三節
[00:00:55.400 --> 00:00:57.400]  我們先把經文打出來
[00:00:57.400 --> 00:01:01.360]  我們不如一起去重讀
[00:01:01.360 --> 00:01:06.400]  哥羅西書一章十五到夜三節
[00:01:06.400 --> 00:01:08.960]  我們一起讀完這幾節的經文
[00:01:08.960 --> 00:01:14.240]  「愛子是那不能看見之神的像
[00:01:14.240 --> 00:01:18.920]  是守生的 在一切被做的以先
[00:01:18.920 --> 00:01:22.760]  因為萬有都是靠他做的
[00:01:22.760 --> 00:01:26.200]  無論是天上的 地上的
[00:01:26.200 --> 00:01:29.680]  能看見的 不能看見的
[00:01:29.680 --> 00:01:35.560]  或是有為的 主治的 執政的 掌權的
[00:01:35.560 --> 00:01:41.640]  一概都是藉著他做的 又是為他做的
[00:01:41.640 --> 00:01:46.960]  他在萬有之先 萬有也靠他而立
[00:01:46.960 --> 00:01:50.600]  他也是教會全體之首
[00:01:50.600 --> 00:01:56.160]  他是原始 是從死裡首先復生的
[00:01:56.160 --> 00:02:00.600]  使他可以在凡事上居首位
[00:02:00.600 --> 00:02:07.320]  因為父喜歡叫一切的豐盛在他裡面居住
[00:02:07.320 --> 00:02:12.040]  既然藉著他在十字架上所流的血
[00:02:12.040 --> 00:02:14.320]  成就了和平
[00:02:14.320 --> 00:02:20.840]  便藉著他叫萬有就是地上的 天上的
[00:02:20.840 --> 00:02:24.560]  都與自己和好了
[00:02:24.560 --> 00:02:27.880]  你們從前與神隔絕
[00:02:27.880 --> 00:02:32.040]  因著惡行心裡與他為敵
[00:02:32.040 --> 00:02:37.040]  但如今他藉著基督的肉身受死
[00:02:37.040 --> 00:02:40.200]  叫你們與自己和好
[00:02:40.200 --> 00:02:46.040]  都成了聖潔 沒有瑕疵 無可責備
[00:02:46.040 --> 00:02:49.560]  把你們引到自己面前
[00:02:49.560 --> 00:02:54.400]  只要你們在所信的道上恆心
[00:02:54.400 --> 00:02:57.920]  根基穩固 堅定不移
[00:02:57.920 --> 00:03:03.040]  不至被引到失去福音的盼望
[00:03:03.040 --> 00:03:06.880]  這福音就是你們所聽過的
[00:03:06.880 --> 00:03:11.240]  也是傳於普天下萬人聽的
[00:03:11.240 --> 00:03:15.280]  我保羅也作了這福音的
[00:03:15.280 --> 00:03:18.200]  我們稍後再做禱告
[00:03:18.200 --> 00:03:23.240]  主耶穌 我們知道祢是在所有受造之物的首位
[00:03:23.240 --> 00:03:25.600]  祢是掌管天地的主
[00:03:25.600 --> 00:03:28.800]  我們求祢今天當聽到的時候
[00:03:28.800 --> 00:03:30.800]  能夠見到祢的榮耀
[00:03:30.800 --> 00:03:33.360]  我們心裡就不度鼓勵
[00:03:33.360 --> 00:03:37.000]  祝福聽到的時間 禱告奉耶穌基督的名
[00:03:37.000 --> 00:03:40.080]  我們今天來了哥羅西書
[00:03:40.080 --> 00:03:42.800]  這段經文是根據你們教會的編排
[00:03:42.800 --> 00:03:44.800]  我也不太清楚你們的編排
[00:03:44.800 --> 00:03:46.800]  總之你們給了我哥羅西書
[00:03:46.800 --> 00:03:49.760]  和大家默想一下這段經文給的訊息
[00:03:49.760 --> 00:03:53.760]  這段經文我想對我們現代人來說
[00:03:53.760 --> 00:03:56.960]  可能讀起來不但有些甩咳
[00:03:56.960 --> 00:03:58.960]  而且有些陌生
[00:03:58.960 --> 00:04:02.960]  說到基督是在世首生
[00:04:02.960 --> 00:04:06.960]  我們今天第一個生出來的
[00:04:06.960 --> 00:04:08.960]  可能沒什麼特別重要
[00:04:08.960 --> 00:04:10.960]  跟古代社會不同
[00:04:10.960 --> 00:04:12.960]  第一生是很重要的
[00:04:12.960 --> 00:04:16.960]  承宗繼代都是第一生
[00:04:16.960 --> 00:04:20.960]  再說到無論天上地上的漢奸不能漢奸
[00:04:20.960 --> 00:04:22.960]  有權為統治執政掌權的
[00:04:22.960 --> 00:04:27.960]  我們很少去想見得到或見不到的東西
[00:04:27.960 --> 00:04:31.960]  所以我們第一次讀這段經文
[00:04:31.960 --> 00:04:35.960]  可能進入不到情緒
[00:04:35.960 --> 00:04:41.960]  為什麼保羅忽然要在哥羅西書開始的時候
[00:04:41.960 --> 00:04:47.960]  寫一段這樣的說話呢?
[00:04:47.960 --> 00:04:49.960]  首先我們要明白這首
[00:04:49.960 --> 00:04:51.960]  根據色經學者的研究
[00:04:51.960 --> 00:04:53.960]  大部分的色經學者都同意
[00:04:53.960 --> 00:04:59.960]  這首大概是一首詩歌
[00:04:59.960 --> 00:05:01.960]  十五到二十節
[00:05:01.960 --> 00:05:03.960]  很可能是一首詩歌
[00:05:03.960 --> 00:05:07.960]  可能十五到二十節的經文
[00:05:07.960 --> 00:05:12.960]  在早期的教會會在會眾唱出來
[00:05:12.960 --> 00:05:16.960]  好像你剛才唱的那些歌
[00:05:16.960 --> 00:05:17.960]  如果從這個角度
[00:05:17.960 --> 00:05:20.960]  你就開始明白他寫的方法
[00:05:20.960 --> 00:05:21.960]  你剛才唱的那首歌
[00:05:21.960 --> 00:05:24.960]  萬福源頭都寫得很工整
[00:05:24.960 --> 00:05:26.960]  因為是一首歌的歌詞
[00:05:26.960 --> 00:05:29.960]  所以有某一種工整的格式
[00:05:29.960 --> 00:05:32.960]  所以這段經文
[00:05:32.960 --> 00:05:34.960]  十五到二十節
[00:05:34.960 --> 00:05:37.960]  其實都有一些特別的phrasing
[00:05:37.960 --> 00:05:38.960]  他寫起來
[00:05:38.960 --> 00:05:40.960]  其實你讀希臘原文
[00:05:40.960 --> 00:05:43.960]  有一種好像在讀詩的感覺
[00:05:43.960 --> 00:05:46.960]  有一些對稱
[00:05:46.960 --> 00:05:48.960]  不過我不是教新約的
[00:05:48.960 --> 00:05:49.960]  不是教希臘文的
[00:05:49.960 --> 00:05:51.960]  所以詳細分析
[00:05:51.960 --> 00:05:54.960]  就留給新約老師跟你們說
[00:05:54.960 --> 00:05:57.960]  無論如何 保羅是選擇在
[00:05:57.960 --> 00:06:01.960]  哥羅西的這封信裏面
[00:06:01.960 --> 00:06:02.960]  一開始的時候
[00:06:02.960 --> 00:06:05.960]  用一首讚美的詩歌
