
[00:00:00.000 --> 00:00:10.000]  從荒謬到永恆,傳道書的人生哲學,專題二,定命的荒謬。
[00:00:10.000 --> 00:00:15.000]  溫偉耀博士主講,英國牛津大學哲學博士。
[00:00:15.000 --> 00:00:26.000]  傳道書提到,有時我們人生做一些重重複複,沒什麼意思的事,會變成覺得很荒謬。
[00:00:26.000 --> 00:00:38.000]  傳道書也提到有第二種人生的荒謬,就是原來人生有很多都是整定的。
[00:00:38.000 --> 00:00:46.000]  人世間有很多我們的遭遇,我們的人生很多都是整定的。
[00:00:46.000 --> 00:00:55.000]  如果一切很多東西都是整定的時候,表示我們作為一個人,我們對我們的命運沒辦法控制,
[00:00:55.000 --> 00:01:00.000]  人生是不是變得很無奈呢?
[00:01:00.000 --> 00:01:10.000]  其實傳道者在傳道書第三章提出這個問題,我覺得也提出得相當深刻。
[00:01:10.000 --> 00:01:20.000]  在傳道書第三章,它就說凡事都有定期,天下萬物都有定時。
[00:01:20.000 --> 00:01:30.000]  然後從第二節一直到第八節,這幾節裡面,傳道者就有一種詩歌的方式,
[00:01:30.000 --> 00:01:37.000]  就說了有十四對,就是二十八次有時這個字。
[00:01:37.000 --> 00:01:43.000]  這段話相當有詩意,內容也相當豐富。
[00:01:43.000 --> 00:01:52.000]  我覺得應該和大家花一點時間去研究一下這十四對人生的定數是怎樣。
[00:01:52.000 --> 00:02:04.000]  首先從第二節一直講下去,一開始就說到我們人生的大限是有時,生有時,死也有時。
[00:02:04.000 --> 00:02:13.000]  人的出生是定了,人的死亡也是定了,人的大限是定數。
[00:02:13.000 --> 00:02:23.000]  然後說到有幾樣人的活動都是定了,到時到後就要發生,你都沒辦法控制。
[00:02:23.000 --> 00:02:35.000]  它說到災中有時,拔出有時,災中是說到農耕的生活,災中插秧插禾,殺種。
[00:02:35.000 --> 00:02:46.000]  然後到時到後,你發覺你又將東西拔出來,你殺下去,想它生長,到時你嫌它煩,就在地上一大堆根拔出來。
[00:02:46.000 --> 00:03:00.000]  香港人就可能不是很拔,去到外國,加拿大就要種東西,拔地,弄到腰都痛了,早知道就不要種那麼多,要拔出來。
[00:03:00.000 --> 00:03:17.000]  另外,殺戮有時,醫治有時。我們這個社會裡面,有醫生由早到晚拼命去救人,這個社會裡面有些人由早到晚想辦法去弄人,怎樣去動他。
[00:03:17.000 --> 00:03:28.000]  這個世界就是這樣,拆毀有時,建造有時。我們這個社會裡面,我們看到屋不斷建,屋又不斷拆。
[00:03:28.000 --> 00:03:40.000]  人的活動就是這樣,有人連夜趕科場,有人辭官歸官,有人湧去那裡,有人在那裡,哎呀,千萬不要,快點走。
[00:03:40.000 --> 00:03:53.000]  人生就是這樣,有左有右,有起有跛,然後他講到人的感情都是這樣。哭有時,笑有時,這是個人的感情。
[00:03:53.000 --> 00:04:04.000]  我們發覺我們人生哭泣的時候,也有歡笑的時候。歡笑的時候,我們知道我們也會有哭泣的時候。
[00:04:04.000 --> 00:04:16.000]  在群體,跟著他講到哀動有時,跳舞有時。中東的希伯來人,他們開心的時候,就跳舞,希伯來人很喜歡這樣跳舞。
[00:04:16.000 --> 00:04:26.000]  是代表他們一群人很快樂慶祝的時候,然後一群人碰見痛苦的時候,一起來哀動。
