
[00:00:00.000 --> 00:00:14.000]  每一年對教會來說最重要的節日不是聖誕節,是復活節
[00:00:14.000 --> 00:00:24.000]  為什麼呢?你問,因為聖誕節其實教會不知道應該在哪一天慶祝
[00:00:24.000 --> 00:00:35.000]  你說不是12月25日嗎?很多聖經學者都嘗試去回答這個問題
[00:00:35.000 --> 00:00:49.000]  有人說12月?伯利恆很冷,那些牧羊人大概不會在野地看守羊群
[00:00:49.000 --> 00:01:04.000]  怎麼會看到天使報信呢?是啊,其實教會定12月25日慶祝耶穌降生
[00:01:04.000 --> 00:01:15.000]  你知道是什麼原因嗎?我看到大家都很年輕,今年回歸20年了
[00:01:15.000 --> 00:01:25.000]  1997年之前我們以前有個公眾假期叫做英女皇壽辰
[00:01:25.000 --> 00:01:34.000]  我看到97年之後出生的不知道我在說什麼,因為以前香港是英國殖民地
[00:01:34.000 --> 00:01:44.000]  我們說得俗一點,是老婆婆生日,東主有喜,那就放假一天
[00:01:44.000 --> 00:01:53.000]  但其實我們都知道那天不是真正伊麗莎白二世出生的日子
[00:01:53.000 --> 00:02:01.000]  是國家定了那天,在6月,天氣好,英國經常下雨
[00:02:01.000 --> 00:02:09.000]  如果你找一個又陰又濕的日子慶祝女皇生日,大家都沒有心機
[00:02:09.000 --> 00:02:16.000]  教會選擇12月25日慶祝基督降生
[00:02:16.000 --> 00:02:29.000]  是因為那一天本來在羅馬帝國是慶祝太陽神阿波羅的日子
[00:02:29.000 --> 00:02:39.000]  羅馬是奉太陽神為他們國家的神明,保佑他們
[00:02:39.000 --> 00:02:49.000]  但是你知道教會歷史上第一個全個國家都信耶穌的是羅馬
[00:02:49.000 --> 00:02:59.000]  君士丹丁這位羅馬的君王發夢,他問人他看到的是什麼
[00:02:59.000 --> 00:03:06.000]  有人告訴他這是耶穌基督的記號,他就信了耶穌
[00:03:06.000 --> 00:03:15.000]  本來他是逼迫教會的,結果整個羅馬帝國都變成基督徒
[00:03:15.000 --> 00:03:25.000]  當然有真有假,有些人為了奉承國王,假裝也相信了
[00:03:25.000 --> 00:03:34.000]  但是很多都是真心的,教會就定了以後不拜太陽神阿波羅了
[00:03:34.000 --> 00:03:38.000]  以後敬拜耶穌基督
[00:03:38.000 --> 00:03:46.000]  為什麼要用12月25日來拜阿波羅太陽神呢?
[00:03:46.000 --> 00:03:59.000]  也有一個故事,羅馬計算曆法認為12月25日是全年最短的一天
[00:03:59.000 --> 00:04:06.000]  之後日間越來越長,夜間就越來越短
[00:04:06.000 --> 00:04:16.000]  所以那是太陽神阿波羅開始征服整個宇宙的第一天
[00:04:16.000 --> 00:04:19.000]  今天你也知道,計錯數了
[00:04:19.000 --> 00:04:28.000]  最短的那天是12月22日,家裡做冬的
[00:04:28.000 --> 00:04:36.000]  冬至那天是四季裡最短的一天
[00:04:36.000 --> 00:04:41.000]  你不可以怪古代的天文學者
[00:04:41.000 --> 00:04:48.000]  他們真的沒有那麼多望遠鏡,沒有那麼多精密的計算方法
[00:04:48.000 --> 00:04:54.000]  計錯數,由22日退後了三天
[00:04:54.000 --> 00:05:04.000]  結果成為了羅馬帝國教會慶祝聖誕的日子
[00:05:04.000 --> 00:05:14.000]  如果你熟悉教會歷史,你知道最古老的教會是希臘文東方教會
[00:05:14.000 --> 00:05:25.000]  張福音第一次帶來中國,在唐朝正冠年間稱為景教
[00:05:25.000 --> 00:05:32.000]  就是東方教會,敘利亞教會,到今天還在這裡
[00:05:32.000 --> 00:05:40.000]  東方教會慶祝聖誕是用一個不同的日子
[00:05:40.000 --> 00:05:49.000]  不過都是猜測的,因為沒有人知道耶穌是幾年幾月幾日出生
[00:05:49.000 --> 00:05:58.000]  只能定一個英女皇壽辰的官方日子去慶祝聖誕
[00:05:58.000 --> 00:06:04.000]  復活節就不同了,復活節為什麼可以那麼準確知道?
[00:06:04.000 --> 00:06:14.000]  兩個原因,第一,七日的頭一日,猶太人第六日是守安息日
[00:06:14.000 --> 00:06:22.000]  安息日結束了,婦女去到墳墓,發覺石頭挪開
[00:06:22.000 --> 00:06:27.000]  於是回去告訴使徒,彼得和約翰不信
[00:06:27.000 --> 00:06:33.000]  跑去見到真是沒有了耶穌的屍體
[00:06:33.000 --> 00:06:39.000]  約翰呼應說他們就信了,你不要讀錯聖經
[00:06:39.000 --> 00:06:45.000]  不是說他們信耶穌復活,是信那些女人沒有發呃風
[00:06:45.000 --> 00:06:50.000]  真是不見了,你讀一下聖經,是這樣記載的
[00:06:50.000 --> 00:06:52.000]  所以耶穌是哪一天復活的?
[00:06:52.000 --> 00:07:01.000]  從頭一日開始就很清楚,星期日,七日的頭一日
[00:07:02.000 --> 00:07:07.000]  哪一個星期日?又很清楚
[00:07:07.000 --> 00:07:13.000]  因為耶穌是在逾越節的時候釘十字架
[00:07:13.000 --> 00:07:19.000]  逾越節的預備日,祂死在十字架上
[00:07:19.000 --> 00:07:26.000]  猶太人就要求彼拉多將祂的屍體從十字架上拿下來
[00:07:26.000 --> 00:07:30.000]  過節不要掛死屍在上面
[00:07:30.000 --> 00:07:43.000]  所以教會紀念耶穌復活就從第一年開始就已經很準確
[00:07:43.000 --> 00:07:50.000]  當然逾越節不是用羅馬的曆法計算
[00:07:50.000 --> 00:07:54.000]  是用我們今天所說的農曆
[00:07:54.000 --> 00:08:06.000]  所以每年的復活節日子好像每年過春節年初一會有不同的日期
[00:08:06.000 --> 00:08:10.000]  今年是四月中的時間
[00:08:10.000 --> 00:08:19.000]  教會準備復活節用的時間是長過準備聖誕節
[00:08:19.000 --> 00:08:22.000]  希伯倫堂很有福
[00:08:22.000 --> 00:08:34.000]  你們在主日崇拜都按照教會的年曆來舉行不同的節日
[00:08:34.000 --> 00:08:37.000]  你一定記得章、臨、期
[00:08:37.000 --> 00:08:39.000]  記不記得那五支蠟燭?
[00:08:39.000 --> 00:08:44.000]  中間那支是聖誕日才點的
[00:08:44.000 --> 00:08:52.000]  附近四支就是聖誕前四個主日
[00:08:52.000 --> 00:09:01.000]  在崇拜開始的時候就按照次序、按照顏色去點那四支蠟燭
[00:09:01.000 --> 00:09:05.000]  即是何時開始預備聖誕節?
[00:09:05.000 --> 00:09:10.000]  就是聖誕前四個主日
[00:09:10.000 --> 00:09:14.000]  復活節就更加長了
[00:09:14.000 --> 00:09:21.000]  教會決定用剛才我們讀的最後一段聖經
[00:09:21.000 --> 00:09:27.000]  馬太福音第四章記載的是耶穌受試探
[00:09:27.000 --> 00:09:36.000]  耶穌受試探是在他在曠野禁食四十天之後
[00:09:36.000 --> 00:09:45.000]  教會就用四十天禁食去預備耶穌基督的復活
[00:09:45.000 --> 00:09:54.000]  這四十天禁食就是幫助信徒去反省、安靜
[00:09:54.000 --> 00:09:56.000]  所以不要只顧著吃東西
[00:09:56.000 --> 00:10:00.000]  吃東西很快的,我煮個公仔麵三分鐘就搞定
[00:10:00.000 --> 00:10:02.000]  以前沒有公仔麵的
[00:10:02.000 --> 00:10:06.000]  以前煮一餐飯搞很久的
[00:10:06.000 --> 00:10:10.000]  一天吃三餐就不用做別的東西了
[00:10:10.000 --> 00:10:15.000]  所以禁食的目的不是減肥
[00:10:15.000 --> 00:10:19.000]  禁食的目的是可以專心
[00:10:19.000 --> 00:10:25.000]  如果你身體不舒服,吃簡單的飲食是可以的
[00:10:25.000 --> 00:10:29.000]  但是目的是專心
[00:10:29.000 --> 00:10:35.000]  教會這四十天禁食不包括星期日的
[00:10:35.000 --> 00:10:40.000]  主日是慶祝耶穌基督復活的日子
[00:10:40.000 --> 00:10:42.000]  不需要禁食
