
[00:00:00.000 --> 00:00:05.000]  路加第十四章25到33節
[00:00:05.000 --> 00:00:10.000]  是一段結構非常之嚴謹
[00:00:10.000 --> 00:00:15.000]  思想也是很深刻的一段經文
[00:00:15.000 --> 00:00:22.000]  第25節是一個引言
[00:00:22.000 --> 00:00:26.000]  然後那個訊息的中心
[00:00:26.000 --> 00:00:31.000]  就是在第26節
[00:00:31.000 --> 00:00:36.000]  就是講到作門徒的代價
[00:00:36.000 --> 00:00:38.000]  然後這個中心
[00:00:38.000 --> 00:00:41.000]  接著就有一個結論
[00:00:41.000 --> 00:00:44.000]  這個結論在第27節
[00:00:44.000 --> 00:00:46.000]  耶穌基督一定覺得
[00:00:46.000 --> 00:00:48.000]  他這樣講了
[00:00:48.000 --> 00:00:52.000]  門徒是未能夠明白的
[00:00:52.000 --> 00:00:58.000]  於是他就引用了兩個的比喻
[00:00:58.000 --> 00:01:02.000]  我們可以說是一個雙重比喻
[00:01:02.000 --> 00:01:09.000]  來去解釋他所講的那個訊息中心
[00:01:09.000 --> 00:01:12.000]  一個蓋留的比喻
[00:01:12.000 --> 00:01:14.000]  就是28到30節
[00:01:14.000 --> 00:01:17.000]  然後那個意思完全相同的
[00:01:17.000 --> 00:01:19.000]  就是這個打仗的比喻
[00:01:19.000 --> 00:01:23.000]  31到32節
[00:01:23.000 --> 00:01:26.000]  講完了這兩個比喻
[00:01:26.000 --> 00:01:29.000]  他就有一個總結論
[00:01:29.000 --> 00:01:32.000]  這個總結論就在33節
[00:01:32.000 --> 00:01:36.000]  所以是非常之結構嚴謹
[00:01:36.000 --> 00:01:40.000]  但是那個思想是很深刻的
[00:01:40.000 --> 00:01:45.000]  這段聖經和《馬太福音》第十章37、38節
[00:01:45.000 --> 00:01:47.000]  是完全一樣的
[00:01:47.000 --> 00:01:53.000]  所以我們都可以參考這兩節聖經來解釋這一段
[00:01:53.000 --> 00:01:57.000]  我們先看一看那個引言
[00:01:57.000 --> 00:02:00.000]  第25節
[00:02:00.000 --> 00:02:06.000]  這裡說有極多的人和耶穌同行
[00:02:06.000 --> 00:02:08.000]  他轉過來
[00:02:08.000 --> 00:02:12.000]  就對他們講了下面那段話
[00:02:12.000 --> 00:02:16.000]  我們試著了解一下這個引言是怎麼寫的
[00:02:16.000 --> 00:02:20.000]  然後我們看看他對我們的意思是什麼
[00:02:20.000 --> 00:02:24.000]  同行走去哪裡呢?
[00:02:24.000 --> 00:02:28.000]  走去耶路撒冷
[00:02:28.000 --> 00:02:32.000]  誰和他同行呢?
[00:02:32.000 --> 00:02:35.000]  有極多的人
[00:02:35.000 --> 00:02:37.000]  他們為了什麼與他同行呢?
[00:02:37.000 --> 00:02:40.000]  這個是整個問題的關鍵
[00:02:40.000 --> 00:02:44.000]  他以為耶穌去耶路撒冷
[00:02:44.000 --> 00:02:48.000]  是要得權並得榮耀
[00:02:48.000 --> 00:02:52.000]  他們不知道耶穌是面向耶路撒冷
[00:02:52.000 --> 00:02:58.000]  事實上就是要去背負他的十字架
[00:02:58.000 --> 00:03:05.000]  耶穌往耶路撒冷的路是一條十字架的路
[00:03:05.000 --> 00:03:09.000]  而門徒以為他往耶路撒冷的路
[00:03:09.000 --> 00:03:15.000]  是一條榮耀和能力的路
[00:03:15.000 --> 00:03:18.000]  這個開頭一段的說話
[00:03:18.000 --> 00:03:21.000]  他對我們產生了什麼的意見呢?
[00:03:21.000 --> 00:03:26.000]  或者我們問到底當日耶穌對門徒講這番話
[00:03:26.000 --> 00:03:27.000]  他的目的是哪裡呢?
[00:03:27.000 --> 00:03:32.000]  門徒聽到之後會有什麼反應呢?
[00:03:32.000 --> 00:03:35.000]  有很多人
