
[00:00:00.000 --> 00:00:04.000]  請大家跟我一起打開路加福音第十七章
[00:00:04.000 --> 00:00:12.000]  路加福音第十七章
[00:00:12.000 --> 00:00:17.000]  第五節到第十節
[00:00:17.000 --> 00:00:21.000]  新約聖經路加福音
[00:00:21.000 --> 00:00:23.000]  十七章
[00:00:23.000 --> 00:00:27.000]  第五節到第十節
[00:00:28.000 --> 00:00:33.000]  找到我們又是一起同聲讀出神的話
[00:00:34.000 --> 00:00:39.000]  使徒對主說:求主加增我們的信心
[00:00:39.000 --> 00:00:44.000]  主說:你們若有信心著一粒芥菜種
[00:00:44.000 --> 00:00:47.000]  就是對這棵桑樹說:
[00:00:47.000 --> 00:00:50.000]  你要拔起甘來栽在海裡
[00:00:50.000 --> 00:00:53.000]  他也必聽從你們
[00:00:53.000 --> 00:00:57.000]  你們誰有僕人耕地或是放羊
[00:00:57.000 --> 00:01:00.000]  從田裡回來就對他說:
[00:01:00.000 --> 00:01:03.000]  你快來坐下吃飯
[00:01:03.000 --> 00:01:07.000]  豈不對他說:你給我預備晚飯
[00:01:07.000 --> 00:01:10.000]  速上帶子侍候我
[00:01:10.000 --> 00:01:14.000]  等我吃喝完了你才可以吃喝
[00:01:14.000 --> 00:01:17.000]  僕人照所吩咐的去作
[00:01:17.000 --> 00:01:21.000]  主人還謝謝他
[00:01:21.000 --> 00:01:25.000]  這樣你們作完了一切所吩咐的
[00:01:25.000 --> 00:01:29.000]  只當說:我們是無用的僕人
[00:01:29.000 --> 00:01:34.000]  所作的本是我們應訓作的
[00:01:34.000 --> 00:01:40.000]  不知道你讀完耶穌這一段的教訓
[00:01:40.000 --> 00:01:44.000]  又會不會皺眉頭呢?
[00:01:44.000 --> 00:01:49.000]  這樣的?耶穌是這樣教的嗎?
[00:01:49.000 --> 00:01:54.000]  這麼無情的?這麼冷血的?
[00:01:54.000 --> 00:01:57.000]  這樣對僕人的?
[00:01:57.000 --> 00:02:02.000]  我們要首先清楚知道
[00:02:02.000 --> 00:02:07.000]  這一段耶穌所說的教導
[00:02:07.000 --> 00:02:15.000]  和主人怎樣對待僕人無關
[00:02:15.000 --> 00:02:21.000]  在任何主人僕人的關係上
[00:02:21.000 --> 00:02:25.000]  教導主人如何對僕人的經文
[00:02:25.000 --> 00:02:28.000]  不在福音書,你知道的
[00:02:28.000 --> 00:02:32.000]  在哪裡?保羅的書信
[00:02:32.000 --> 00:02:35.000]  彼得的教導
[00:02:35.000 --> 00:02:38.000]  在書信的部分
[00:02:38.000 --> 00:02:44.000]  新約聖經是有清清楚楚教導
[00:02:44.000 --> 00:02:48.000]  什麼?你們作主人的要怎樣?
[00:02:48.000 --> 00:02:52.000]  公公平平的對待僕人
[00:02:52.000 --> 00:02:59.000]  因為你們在天上同有一位主
[00:02:59.000 --> 00:03:04.000]  聖經是教我們怎樣對待僕人的
[00:03:04.000 --> 00:03:06.000]  不是不教的
[00:03:06.000 --> 00:03:08.000]  不是跟著潮流
[00:03:08.000 --> 00:03:11.000]  政府定最低薪金多少
[00:03:11.000 --> 00:03:13.000]  我就給多少
[00:03:13.000 --> 00:03:15.000]  不是的
[00:03:15.000 --> 00:03:20.000]  聖經的提醒真是一針見血
[00:03:20.000 --> 00:03:25.000]  他說我們同有一位主在天上
[00:03:25.000 --> 00:03:30.000]  即是說在天上的主的面前
[00:03:30.000 --> 00:03:37.000]  地上的主人和僕人都是僕人
[00:03:37.000 --> 00:03:39.000]  同有一位主
[00:03:39.000 --> 00:03:44.000]  從這個出發點就引申到
[00:03:44.000 --> 00:03:46.000]  怎樣對待僕人?
[00:03:46.000 --> 00:03:49.000]  這不是耶穌這一處的教導
[00:03:49.000 --> 00:03:51.000]  所以如果你看完之後
[00:03:51.000 --> 00:03:54.000]  你說耶穌教我們怎樣對待僕人
[00:03:54.000 --> 00:03:57.000]  你就大錯特錯了
[00:03:57.000 --> 00:04:00.000]  你觸錯用神了
[00:04:00.000 --> 00:04:04.000]  你聽不明白耶穌在說什麼
[00:04:04.000 --> 00:04:08.000]  耶穌其實已經問了三個問題
[00:04:08.000 --> 00:04:11.000]  剛才讀的時候,你有沒有留意到?
[00:04:11.000 --> 00:04:14.000]  我們讀聖經是平平無奇的
[00:04:14.000 --> 00:04:16.000]  但如果問問題
[00:04:16.000 --> 00:04:21.000]  應該問到最後聲線要提高一點
[00:04:21.000 --> 00:04:23.000]  朗誦的時候
[00:04:23.000 --> 00:04:25.000]  你會說耶穌第一句說
[00:04:25.000 --> 00:04:28.000]  第七節,你們誰有僕人耕地
[00:04:28.000 --> 00:04:30.000]  或者有僕人放羊
[00:04:30.000 --> 00:04:32.000]  在田裡回來
[00:04:32.000 --> 00:04:33.000]  你會跟他說
[00:04:33.000 --> 00:04:36.000]  快點來,坐下吃晚飯吧
[00:04:36.000 --> 00:04:38.000]  這個"啊"是問題
[00:04:38.000 --> 00:04:40.000]  這是第一個問題
[00:04:40.000 --> 00:04:43.000]  然後第二個問題是第八節
[00:04:43.000 --> 00:04:45.000]  還是你會跟他說
[00:04:45.000 --> 00:04:48.000]  你幫我預備晚飯
[00:04:48.000 --> 00:04:49.000]  蓄上帶子
[00:04:49.000 --> 00:04:50.000]  侍候我
[00:04:50.000 --> 00:04:53.000]  等我吃完,喝完
[00:04:53.000 --> 00:04:57.000]  你才吃喝,是不是?
[00:04:57.000 --> 00:04:59.000]  是不是有個問題在這裡?
[00:04:59.000 --> 00:05:00.000]  有個語氣在這裡
[00:05:00.000 --> 00:05:02.000]  你讀聖經的時候你要留意
[00:05:02.000 --> 00:05:05.000]  第三個問題在第九節
[00:05:05.000 --> 00:05:10.000]  那僕人照著所吩咐的去做
[00:05:10.000 --> 00:05:15.000]  主人會不會多謝他?
[00:05:15.000 --> 00:05:17.000]  三個都是問題
[00:05:17.000 --> 00:05:19.000]  這三個問題
[00:05:19.000 --> 00:05:22.000]  我們明白
[00:05:22.000 --> 00:05:25.000]  是明知故問的
[00:05:25.000 --> 00:05:27.000]  懂不懂這四個字?
[00:05:27.000 --> 00:05:28.000]  用英文來說
[00:05:28.000 --> 00:05:32.000]  是Rhetorical Questions
[00:05:32.000 --> 00:05:33.000]  深一點
[00:05:33.000 --> 00:05:35.000]  不能串的,不要亂串
[00:05:35.000 --> 00:05:37.000]  R-H-E
[00:05:37.000 --> 00:05:39.000]  有個H在前面
[00:05:39.000 --> 00:05:40.000]  就是說
[00:05:40.000 --> 00:05:42.000]  其實這三個問題
[00:05:42.000 --> 00:05:46.000]  都不是真正的問題
[00:05:46.000 --> 00:05:48.000]  其實這三個問題
[00:05:48.000 --> 00:05:52.000]  答案是很明顯的
[00:05:52.000 --> 00:05:54.000]  人人都知道的
[00:05:54.000 --> 00:05:56.000]  其實這三個問題
[00:05:56.000 --> 00:06:00.000]  是耶穌問出來的目的
[00:06:00.000 --> 00:06:05.000]  是讓聽道的人一起回答的
[00:06:05.000 --> 00:06:06.000]  你試一下
[00:06:06.000 --> 00:06:07.000]  我扮耶穌
[00:06:07.000 --> 00:06:10.000]  你們扮聽道的人
[00:06:10.000 --> 00:06:11.000]  耶穌說這些的時候
[00:06:11.000 --> 00:06:16.000]  你們誰有賓妹去買菜
[00:06:16.000 --> 00:06:19.000]  去做事,去洗地,去洗廁所
