
[00:00:00.000 --> 00:00:13.000]  大家晚安,今時今日很多時候我們覺得很必然的東西可能都不是必然的
[00:00:13.000 --> 00:00:28.000]  例如有一次是麥當努,麥當努有一個女子,她喝咖啡,咖啡被熱,她胸高麥當努
[00:00:28.000 --> 00:00:36.000]  就說咖啡是熱,當然咖啡不是應該熱的嗎,我們買的時候是說熱的熱咖啡
[00:00:36.000 --> 00:00:54.000]  就因為這樣,所以有很多公司開始寫一些label,他們的產品寫一些我們可能覺得不需要寫的都寫了下去,為了保護自己
[00:00:54.000 --> 00:01:12.000]  例如番茄,番茄寫什麼呢,番茄就說要好像番茄一樣用的番茄,很奇怪的,番茄不是要用像番茄一樣用的嗎,但又要這樣寫
[00:01:12.000 --> 00:01:31.000]  還有一些凍的食物,那裡寫未吃之前請解凍,或者是聖誕節的布丁,那裡寫布丁heat up了之後是熱的
[00:01:31.000 --> 00:01:50.000]  還有燈飾,燈飾說是室內和室外使用,我們聽到之後感覺上很奇怪的,我不知道,為了保障自己,很多時候他們要寫多了他們需要寫的東西
[00:01:50.000 --> 00:02:09.000]  我不知道神今天會不會被人刀控,可以說是歧視,為什麼要是一個猶太人呢,甚至是性別歧視,為什麼要是一個男人呢
[00:02:09.000 --> 00:02:30.000]  不過最低限度有一個東西我們知道應該是可以的,為什麼呢,因為他的資訊是可靠的,經文說,彌賽亞在伯利恆生出來
[00:02:30.000 --> 00:02:46.000]  那當然耶穌在伯利恆生出來,不過我們今天就要看這種經文,是不是這麼必然呢,每年我們都會唱這首歌,小城伯利恆
[00:02:46.000 --> 00:03:06.000]  我們唱這首歌的原因是因為馬太福音二章五到六節提到這個經文,一會我們都會解釋這個經文,而馬太福音實在是用著維加書五章二到四節那裡說的
[00:03:06.000 --> 00:03:26.000]  所以他是應用維加書的,那我們就回去看看維加書怎麼說,這件事先,這裡就說到當大衛王約旦,什麼阿哈斯,希西加在位的時候
[00:03:26.000 --> 00:03:42.000]  這個什麼時候呢,他們幾個的時候我們知道的,第一個約旦七四二到七三五度,主前七百三十多那些,第二個是主前七百三十多去到七百一十多,這個阿哈斯
[00:03:42.000 --> 00:04:05.000]  希西加,主前七百一十多去到主前六百八十多,我們有一個概念,這個是什麼時候的預言,好,還有第二樣東西就是這個預言如果我們要明白那個預言,我們要追上去第四章
[00:04:05.000 --> 00:04:25.000]  因為整段經文不是五章二節一開始就出現的,實在是在四章出現的,這裡寫什麼呢,這裡很清楚的,沒後的日子,說,殿的山必建立,超越珠山
[00:04:25.000 --> 00:04:46.000]  那何時發生過這樣東西呢,還有,萬民都要留歸這山,必有許多各的民前往,歷史上有何時試過耶和華的山是超越珠山,實在是耶和華的山,這裡說的是耶路撒冷
[00:04:46.000 --> 00:05:05.000]  耶路撒冷在當時的山不是最高的山,當然,純粹做一個思想的東西,很多古文的人,古代的人都覺得自己的山是最高的,這個和真正的高度沒什麼關係
[00:05:05.000 --> 00:05:20.000]  但是這個是沒後的時日,所以是說有一天將來的日子會來,很多人會歸到耶路撒冷那裡
[00:05:20.000 --> 00:05:44.000]  那最近如果要找一個歷史事件和這個符合的,就要說到希西加,希西加就慶祝了一個余節,就邀請了北角剩下來的居民,還有整個猶大的居民去耶路撒冷慶祝余節
[00:05:44.000 --> 00:05:58.000]  如果真的要找一個歷史事件,就要是那件事件,但是不只是這裡,如果純粹是回歸到耶路撒冷慶祝余節,還有的
