
[00:00:00.000 --> 00:00:06.280]  我們看回幾年社會的事件
[00:00:06.280 --> 00:00:08.960]  你可以說社會的事件
[00:00:08.960 --> 00:00:11.640]  疫症移民潮衝擊著不同的教會
[00:00:11.640 --> 00:00:15.440]  而過去不同的教會有不同的現象
[00:00:15.440 --> 00:00:19.840]  流失你可以說是一個最大的現象
[00:00:19.840 --> 00:00:24.520]  大部分的教會流失起碼有三成、四成
[00:00:24.520 --> 00:00:28.040]  有些流失到六成、七成
[00:00:28.040 --> 00:00:33.600]  經濟方面就是因為人的流失
[00:00:33.600 --> 00:00:35.920]  而且都是那些精英的流失
[00:00:35.920 --> 00:00:38.400]  流失最多的是什麼人呢?
[00:00:38.400 --> 00:00:44.880]  組長、執事、師勤、師班指揮
[00:00:44.880 --> 00:00:49.160]  這些我們叫做教會裡面的Cream
[00:00:49.160 --> 00:00:51.840]  那些人流失最多
[00:00:51.840 --> 00:00:53.720]  特別是有小孩的那些
[00:00:53.720 --> 00:00:57.480]  中學小學生的家長流失最多
[00:00:57.480 --> 00:00:59.480]  而帶來的結果
[00:00:59.480 --> 00:01:02.280]  很多教會不只是人少了
[00:01:02.280 --> 00:01:04.560]  連奉獻都少了
[00:01:04.560 --> 00:01:08.600]  有些人問我你們教會又怎樣呢?
[00:01:08.600 --> 00:01:09.960]  其實我都擔心的
[00:01:09.960 --> 00:01:13.120]  因為開設了這麼大的一個教會
[00:01:13.120 --> 00:01:16.040]  我初初比較擔心
[00:01:16.040 --> 00:01:19.160]  教會應該就沒問題了
[00:01:19.160 --> 00:01:20.560]  因為已經供完了
[00:01:20.560 --> 00:01:24.000]  整座十九層的都不需要供樓了
[00:01:24.000 --> 00:01:28.320]  但問題是開支都相當大
[00:01:28.320 --> 00:01:31.800]  預算是一千萬的赤字
[00:01:31.800 --> 00:01:34.000]  大家覺得多不多?
[00:01:34.000 --> 00:01:36.920]  教會一千萬赤字
[00:01:36.920 --> 00:01:38.240]  多不多?
[00:01:38.240 --> 00:01:40.720]  你不會很多的
[00:01:40.720 --> 00:01:42.560]  你赤得多久
[00:01:42.560 --> 00:01:44.360]  赤赤的就沒有了
[00:01:44.360 --> 00:01:46.200]  我都擔心的
[00:01:46.200 --> 00:01:48.960]  今年年會開了之後
[00:01:48.960 --> 00:01:50.400]  我又比較放心
