
[00:00:00.000 --> 00:00:02.800]  大家知道我不是讀數學的
[00:00:02.800 --> 00:00:03.800]  其實我的數學很差的
[00:00:03.800 --> 00:00:07.800]  不過我都聽過幾何級數和戰術級數兩個名字
[00:00:07.800 --> 00:00:10.800]  在在一些比我更加熟悉的
[00:00:10.800 --> 00:00:13.800]  先說一個聽回來的故事
[00:00:13.800 --> 00:00:19.300]  據說以前在印度有個皇帝想學下棋
[00:00:19.300 --> 00:00:24.800]  有學問的八一公教他下印度象棋
[00:00:24.800 --> 00:00:26.800]  其實象棋可能是印度傳來中國的
[00:00:26.800 --> 00:00:30.800]  他很開心想獎賜給他
[00:00:30.800 --> 00:00:32.800]  八一公說不要了皇上
[00:00:32.800 --> 00:00:36.800]  如果你想賜給我你很大支出的
[00:00:36.800 --> 00:00:38.800]  不怕我皇家那麼多東西
[00:00:38.800 --> 00:00:41.800]  我是皇帝甚麼都不給你 你說吧
[00:00:41.800 --> 00:00:44.800]  他說既然你一定要我這樣提出的要求
[00:00:44.800 --> 00:00:48.800]  總之一個地方橫八個格打直八個格
[00:00:48.800 --> 00:00:49.800]  你自己可以做實驗
[00:00:49.800 --> 00:00:51.800]  你找張紙
[00:00:51.800 --> 00:00:53.800]  八乘八六十四個格
[00:00:53.800 --> 00:00:55.800]  橫八個打直八個
[00:00:55.800 --> 00:00:58.800]  第一格四十粒谷
[00:00:58.800 --> 00:01:01.800]  第二格打直兩粒谷
[00:01:01.800 --> 00:01:03.800]  第三格打直四粒谷
[00:01:03.800 --> 00:01:05.800]  二二如四
[00:01:05.800 --> 00:01:07.800]  第四格打直十六粒谷
[00:01:07.800 --> 00:01:09.800]  四乘四是十六
[00:01:09.800 --> 00:01:12.800]  一路打直滿六十四個就可以了
[00:01:12.800 --> 00:01:14.800]  皇帝想想不是很多
[00:01:14.800 --> 00:01:17.800]  一個兩個最多一萬幾千
[00:01:17.800 --> 00:01:22.800]  當然我們剛才說有個算術級數
[00:01:22.800 --> 00:01:23.800]  有個幾何級數
[00:01:23.800 --> 00:01:25.800]  如果在數學上覺得很膚淺
[00:01:25.800 --> 00:01:27.800]  我所認識的東西是差不多的
[00:01:27.800 --> 00:01:30.800]  算術級數就是八八六十四個格
[00:01:30.800 --> 00:01:31.800]  第一格打直一粒
[00:01:31.800 --> 00:01:32.800]  第二格打直兩粒
[00:01:32.800 --> 00:01:34.800]  第三格打直三粒
