
[00:00:00.000 --> 00:00:06.000]  在今天 我都很想透過整理裡面一個
[00:00:06.000 --> 00:00:12.400]  全球一半人以上都認識他的這個人物
[00:00:12.400 --> 00:00:16.800]  來看一看一個登峰造極的信心
[00:00:16.800 --> 00:00:20.480]  到底這個信心是一個怎樣的信心
[00:00:20.480 --> 00:00:28.000]  為什麼在過去 我們久不久是因為這個環境的轉變
[00:00:28.000 --> 00:00:32.000]  是因為特別事情的發生
[00:00:32.000 --> 00:00:37.000]  我們的信心就好像一個寒暑表
[00:00:37.000 --> 00:00:40.000]  環境好的時候我們就高一點
[00:00:40.000 --> 00:00:43.000]  環境不好我們就低一點
[00:00:43.000 --> 00:00:45.000]  包括我自己在那裡
[00:00:45.000 --> 00:00:52.000]  然後接著 神到底想我們將我們的眼目定精在什麼上面
[00:00:52.000 --> 00:00:57.000]  來從這些人物的身上來學習一些東西呢
[00:00:57.000 --> 00:01:03.000]  我們一起試一試看一看這個人物
[00:01:03.000 --> 00:01:07.000]  這個人物是什麼人呢 就是阿伯拉罕
[00:01:07.000 --> 00:01:09.000]  我想問一問大家
[00:01:09.000 --> 00:01:17.000]  有多少人認定阿伯拉罕跟你有關係的
[00:01:17.000 --> 00:01:21.000]  可不可以舉手 有什麼關係
[00:01:21.000 --> 00:01:25.000]  他是我們的什麼人 信心之父
[00:01:25.000 --> 00:01:32.000]  其實阿伯拉罕是全球一半人以上都稱他為父的一個人
[00:01:32.000 --> 00:01:37.000]  以色列人稱他為他們整個民族之父
[00:01:37.000 --> 00:01:42.000]  阿拉伯人也都同樣稱他們為他們的父
[00:01:42.000 --> 00:01:45.000]  是民族之父 血肉之父
[00:01:45.000 --> 00:01:50.000]  所有的回教徒也都稱他為父
[00:01:50.000 --> 00:01:57.000]  所有基督徒 天主徒 東正教徒 甚至摩門教徒 耶和華見證人
[00:01:57.000 --> 00:02:01.000]  都稱他為信心之父 很奇怪
[00:02:01.000 --> 00:02:05.000]  是因為這樣 當你來統計一下
[00:02:05.000 --> 00:02:08.000]  這麼多的人加起來有多少人口呢
[00:02:08.000 --> 00:02:12.000]  可以說是全世界超過一半的人口
[00:02:12.000 --> 00:02:15.000]  是稱阿伯拉罕是他們的父
[00:02:15.000 --> 00:02:21.000]  但是阿伯拉罕的身上 我們卻看到他像我們一樣
[00:02:21.000 --> 00:02:24.000]  是有血有肉的一個人物
[00:02:24.000 --> 00:02:28.000]  到底他是一個怎樣有血有肉的人物呢
[00:02:28.000 --> 00:02:32.000]  按照《創世紀》的記載
[00:02:32.000 --> 00:02:37.000]  他一共有七次的試探或者試煉
[00:02:37.000 --> 00:02:44.000]  七次的試探試煉當中 有三次是失敗的
[00:02:44.000 --> 00:02:49.000]  第一次的失敗就是當他去到埃及的時候
[00:02:49.000 --> 00:02:55.000]  他怕法老看中了他的太太 因為她很漂亮
[00:02:55.000 --> 00:03:01.000]  我也覺得奇怪 那時六十多歲了
[00:03:01.000 --> 00:03:07.000]  法老看見太太漂亮 怕法老殺了她
[00:03:07.000 --> 00:03:10.000]  就拿了太太做他的太太
[00:03:10.000 --> 00:03:17.000]  解經家就說 有可能因為埃及人比較黑一點
[00:03:17.000 --> 00:03:23.000]  而阿伯拉罕的太太可能是比較白一點
[00:03:23.000 --> 00:03:27.000]  所以看上來 基本上他們分不出年齡
[00:03:27.000 --> 00:03:34.000]  只是看到也有可能 撒拉是保養得很好的
[00:03:34.000 --> 00:03:39.000]  所以皮膚可能是非常幼嫩 非常滑
[00:03:39.000 --> 00:03:44.000]  看上來六十多歲的人好像三、四十歲
[00:03:44.000 --> 00:03:47.000]  是因為這樣 阿伯拉罕就跟他的太太說
[00:03:47.000 --> 00:03:53.000]  你去到埃及的時候 你記得不要說你是我太太
[00:03:53.000 --> 00:03:56.000]  你要告訴別人你是我的妹妹就行了
[00:03:56.000 --> 00:04:01.000]  其實嚴格來說 阿伯拉罕沒有說謊的
[00:04:01.000 --> 00:04:10.000]  的確是 因為撒拉是阿伯拉罕同父異母的
[00:04:10.000 --> 00:04:13.000]  一個這樣的妹妹
[00:04:13.000 --> 00:04:17.000]  所以他稱她為妹妹不是絕對錯的東西
[00:04:17.000 --> 00:04:21.000]  不過他只不過是在隱瞞一個更加重要的關係
[00:04:21.000 --> 00:04:22.000]  這個重要的關係是什麼呢?
[00:04:22.000 --> 00:04:24.000]  她實際上也是他的太太
[00:04:24.000 --> 00:04:28.000]  你要記得 她不是現在的香港
[00:04:28.000 --> 00:04:33.000]  這個是四千多年前的中東的地帶
[00:04:33.000 --> 00:04:38.000]  所以你要記得那個年代和現在是很不同的
[00:04:38.000 --> 00:04:44.000]  是因為這樣 她說了謊 這是她的妹妹
[00:04:44.000 --> 00:04:46.000]  這是第一次的失敗
[00:04:46.000 --> 00:04:52.000]  而第二次的失敗 同樣都是說謊
[00:04:52.000 --> 00:04:55.000]  就是對伊利米勒
[00:04:55.000 --> 00:04:59.000]  對伊利米勒她說的謊言完全是一樣的
[00:04:59.000 --> 00:05:02.000]  那時候年紀就更加大了
[00:05:02.000 --> 00:05:05.000]  又是怕伊利米勒拿她的太太做自己的太太
[00:05:05.000 --> 00:05:10.000]  然後就要殺了她 拿了她的太太來做太太
[00:05:10.000 --> 00:05:17.000]  基拉爾王也都可能更加相信是菲利士的王
[00:05:17.000 --> 00:05:23.000]  就怕菲利士的王拿了他的太太做妻子 然後要殺了她
[00:05:23.000 --> 00:05:26.000]  所以又叫他太太說同樣的謊言
[00:05:26.000 --> 00:05:29.000]  但是我告訴大家 兩個的謊言看起來
[00:05:29.000 --> 00:05:32.000]  我們覺得 哇 神怎麼來對他呢?
[00:05:32.000 --> 00:05:38.000]  你覺得很奇怪的 兩次的謊言本身是百分之百神的恩典
[00:05:38.000 --> 00:05:44.000]  埃及法老被騙了之後 反而給了那些東西都沒有拿回
[00:05:44.000 --> 00:05:46.000]  以至阿富汗反而發了達
[00:05:46.000 --> 00:05:50.000]  這個是第一個我們是沒有辦法想象得到的
[00:05:50.000 --> 00:05:56.000]  而伊利米勒還是給禮物送她走
[00:05:56.000 --> 00:06:01.000]  拜託你以後不要再回來了 就是用這樣的方法
[00:06:01.000 --> 00:06:05.000]  所以兩次的謊言應該是招殺身之禍的
[00:06:05.000 --> 00:06:10.000]  一樣這樣的東西 而反而阿富汗他因為這樣而得益
[00:06:10.000 --> 00:06:14.000]  而他的太太就原封不動送回給他
[00:06:14.000 --> 00:06:19.000]  我回看的時候 解經家都相信
[00:06:19.000 --> 00:06:23.000]  完完全全就是因為神在他身上給他的應許
[00:06:23.000 --> 00:06:27.000]  你和撒拉撒一定有後裔
[00:06:27.000 --> 00:06:33.000]  而這個後裔要成為一個大國 君王要從他而出
[00:06:33.000 --> 00:06:35.000]  這個是非常清楚的
[00:06:35.000 --> 00:06:40.000]  而後來 跟著第三個他失敗的一個試煉
[00:06:40.000 --> 00:06:47.000]  就是等到80多歲
[00:06:47.000 --> 00:06:50.000]  他的太太都70多歲了
[00:06:50.000 --> 00:06:55.000]  我不知道大家是否相信70多歲的老婆婆還可以生孩子
[00:06:55.000 --> 00:07:00.000]  有多少人相信這樣的舉手 70多歲還相信
[00:07:00.000 --> 00:07:05.000]  有沒有見過 70多歲可能都有
[00:07:05.000 --> 00:07:11.000]  我看新聞 看到最高紀錄
[00:07:11.000 --> 00:07:16.000]  在現在這個世界最高紀錄是60多歲
[00:07:16.000 --> 00:07:18.000]  60多歲生孩子
[00:07:18.000 --> 00:07:22.000]  我不知道大家有沒有看過這份報紙 60多歲
[00:07:22.000 --> 00:07:27.000]  60多歲這個紀錄到現在為止都是一個最高紀錄 在目前
[00:07:27.000 --> 00:07:31.000]  但是一個70多歲的人能不能生孩子呢
[00:07:31.000 --> 00:07:37.000]  他自己也是完全沒有信心 他太太沒有信心
[00:07:37.000 --> 00:07:39.000]  是因為這樣 阿富汗開始的時候
[00:07:39.000 --> 00:07:43.000]  就找了一個人來契他做自己的兒子
[00:07:43.000 --> 00:07:45.000]  就是這個阿拉伯人
[00:07:45.000 --> 00:07:49.000]  契了之後就說當這個大馬式人就是自己的兒子
[00:07:49.000 --> 00:07:52.000]  但是神告訴他 這個人必不成為你的兒子
[00:07:52.000 --> 00:07:55.000]  然後到了80多歲仍然沒有
[00:07:55.000 --> 00:07:59.000]  所以他的太太就說不如我給你一個侍女
[00:07:59.000 --> 00:08:02.000]  第三次試探 當給這個侍女就說
