
[00:00:00.000 --> 00:00:02.640]  多謝朱牧師的介紹
[00:00:02.640 --> 00:00:07.200]  也給我有機會在當中分享神話語
[00:00:07.200 --> 00:00:11.280]  高興聽到你們有新堂搬進去
[00:00:11.280 --> 00:00:14.000]  因為我四月份都要搬屋
[00:00:14.000 --> 00:00:19.600]  切身處地我也很緊張看搬進新堂會怎樣
[00:00:19.600 --> 00:00:22.720]  但我很相信神不單給你一個很漂亮
[00:00:22.720 --> 00:00:27.360]  在街尾之處的一個硬件
[00:00:27.360 --> 00:00:33.520]  我更加祈求神給你一個屬天的、屬靈的軟件
[00:00:33.520 --> 00:00:36.240]  能夠善用這個新的建築物
[00:00:36.240 --> 00:00:40.960]  能夠在這個地區以至整個加拿大為主作見證
[00:00:40.960 --> 00:00:43.520]  我相信神在前面會很大祝福你們
[00:00:43.520 --> 00:00:46.000]  今天跟大家分享的經文很簡單
[00:00:46.000 --> 00:00:48.320]  剛才大家讀過幾節
[00:00:48.320 --> 00:00:51.440]  馬可徽第四章35至41節
[00:00:51.440 --> 00:00:53.840]  幾節經文讀過我就不想重複了
[00:00:53.840 --> 00:00:55.920]  但剛才大家讀的時候
[00:00:55.920 --> 00:00:59.360]  你會不會體會到在那幾節經文裡面充滿了動感
[00:00:59.360 --> 00:01:01.040]  充滿了動感
[00:01:01.040 --> 00:01:02.400]  我本身是男性
[00:01:02.400 --> 00:01:04.960]  我喜歡看電影都是action movie
[00:01:04.960 --> 00:01:08.560]  但這個經文真的充滿了動感
[00:01:08.560 --> 00:01:11.200]  大風大浪就像這幅圖畫一樣
[00:01:11.200 --> 00:01:15.760]  這幅圖畫可以某程度來說是形容人生的風浪
[00:01:15.760 --> 00:01:18.240]  我問你人生有沒有風浪
[00:01:18.240 --> 00:01:19.760]  有啊
[00:01:19.760 --> 00:01:21.360]  特別我們當中年長的那些
[00:01:21.360 --> 00:01:23.120]  小時候的經歷少一些
[00:01:23.120 --> 00:01:24.800]  年紀大的人
[00:01:24.800 --> 00:01:26.400]  人生走過不少風浪
