
[00:00:00.000 --> 00:00:07.440]  如果有人問我上個禮拜的退休會你覺得怎樣
[00:00:07.440 --> 00:00:10.240]  我就會講以下的故事
[00:00:10.240 --> 00:00:15.840]  我們廣東人有一個很出名的文人叫倫文序
[00:00:15.840 --> 00:00:17.840]  有幾個人聽過倫文序
[00:00:17.840 --> 00:00:21.760]  都是你年紀大多數都聽過
[00:00:21.760 --> 00:00:24.560]  倫文序是明朝人
[00:00:24.560 --> 00:00:30.720]  他不單止有思想文字
[00:00:30.720 --> 00:00:32.720]  才華出眾
[00:00:32.720 --> 00:00:34.720]  還寫了一首好詩
[00:00:34.720 --> 00:00:36.720]  有神童之稱
[00:00:36.720 --> 00:00:38.720]  不過家庭家貧
[00:00:38.720 --> 00:00:41.920]  他就要靠賣菜養他媽媽
[00:00:41.920 --> 00:00:45.440]  有一天他送菜去到園外的家
[00:00:45.440 --> 00:00:47.440]  園外很有錢
[00:00:47.440 --> 00:00:49.440]  買了一幅名畫
[00:00:49.440 --> 00:00:52.720]  是蘇東坡畫的叫做八鳥圖
[00:00:52.720 --> 00:00:54.720]  他看到這幅畫
[00:00:54.720 --> 00:00:59.280]  如果有一首詩配這幅畫
[00:00:59.280 --> 00:01:01.280]  那就一流了
[00:01:01.280 --> 00:01:03.280]  趁著童子來到
[00:01:03.280 --> 00:01:05.280]  不如叫他提一首詩
[00:01:05.280 --> 00:01:08.800]  寫一首詩在這幅名畫上
[00:01:08.800 --> 00:01:10.800]  於是倫文序
[00:01:10.800 --> 00:01:12.800]  你可不可以提一首詩
[00:01:12.800 --> 00:01:14.800]  倫文序說可以
[00:01:14.800 --> 00:01:18.240]  於是園外請了三十多個秀才
[00:01:18.240 --> 00:01:21.600]  來看倫文序如何提這首詩
[00:01:21.600 --> 00:01:23.600]  在這幅八鳥圖上
[00:01:23.600 --> 00:01:26.720]  倫文序首先寫第一句
[00:01:26.720 --> 00:01:29.600]  天山一隻又一隻
[00:01:29.600 --> 00:01:33.600]  那些秀才看到
[00:01:33.600 --> 00:01:35.600]  那是詩來的
[00:01:35.600 --> 00:01:37.600]  天山一隻又一隻
[00:01:37.600 --> 00:01:39.600]  街邊的小孩都懂得寫
