
[00:00:00.000 --> 00:00:10.000]  現在我來到最後的第六次《看魔體後書》的經文
[00:00:10.000 --> 00:00:13.000]  在今天的經文我們剛才所讀的有兩段
[00:00:13.000 --> 00:00:16.000]  有些弟兄姐妹會特別發覺好像很零碎
[00:00:16.000 --> 00:00:18.000]  第一章裏面的四節
[00:00:18.000 --> 00:00:21.000]  跟著第四章最後那段成經
[00:00:21.000 --> 00:00:22.000]  講到很多的人名
[00:00:22.000 --> 00:00:24.000]  很多零零星星的事情
[00:00:24.000 --> 00:00:26.000]  究竟有些什麼意思呢
[00:00:26.000 --> 00:00:31.000]  今天我給這個題目是後現代的主體陳述
[00:00:31.000 --> 00:00:35.000]  生命就是如此這般的美
[00:00:35.000 --> 00:00:38.000]  有些人會說你講什麼
[00:00:38.000 --> 00:00:42.000]  我曾經試下用兩個不同的範疇
[00:00:42.000 --> 00:00:48.000]  兩個不同的文化思潮來理解《看魔體後書》的信息
[00:00:48.000 --> 00:00:51.000]  上一次用過現代
[00:00:51.000 --> 00:00:53.000]  我們這次用後現代
[00:00:53.000 --> 00:00:55.000]  Modern and Postmodern
[00:00:55.000 --> 00:00:58.000]  大家不要誤會我用這些字眼的時候
[00:00:58.000 --> 00:01:00.000]  就是志在時髦
[00:01:00.000 --> 00:01:01.000]  講一些新潮的東西
[00:01:01.000 --> 00:01:02.000]  不是
[00:01:02.000 --> 00:01:07.000]  我只是想指出聖經神自己的說話是超乎時代
[00:01:07.000 --> 00:01:11.000]  它有現代性那種宏大的理想
[00:01:11.000 --> 00:01:15.000]  也有後現代那種個別的關懷
[00:01:15.000 --> 00:01:19.000]  在人類的歷史文明裏面
[00:01:19.000 --> 00:01:23.000]  可能這兩個是截然不同的文化衝擊的對比
[00:01:23.000 --> 00:01:28.000]  有些人說90年代開始進入後現代的世界
[00:01:28.000 --> 00:01:30.000]  在90年代以前的二三百年
[00:01:30.000 --> 00:01:34.000]  人類歷史尤其是西方發展了一個現代性的文化
[00:01:34.000 --> 00:01:37.000]  現代性的文化裏面有科技
[00:01:37.000 --> 00:01:39.000]  有各樣的理想
[00:01:39.000 --> 00:01:42.000]  最典型的就好像馬克思所講的
[00:01:42.000 --> 00:01:45.000]  希望將來有一個宏大的世界
[00:01:45.000 --> 00:01:47.000]  這個世界裏面再沒有貧富懸殊
[00:01:47.000 --> 00:01:50.000]  可以各盡所能薄水楚水
[00:01:50.000 --> 00:01:52.000]  多麼美麗的一個世界
[00:01:52.000 --> 00:01:54.000]  我們可以像美國
[00:01:54.000 --> 00:01:56.000]  希望像自由神像那樣
[00:01:56.000 --> 00:01:58.000]  有民主自由平等
[00:01:58.000 --> 00:02:00.000]  說了百多年
[00:02:00.000 --> 00:02:03.000]  到頭來好像一場夢一樣
[00:02:03.000 --> 00:02:05.000]  夢幻破滅
[00:02:05.000 --> 00:02:09.000]  進入了90年代一個全球化資本主義的時代
[00:02:09.000 --> 00:02:14.000]  人得到的並不是更多的美麗的共同的理想
[00:02:14.000 --> 00:02:16.000]  而是更多的戰爭
[00:02:16.000 --> 00:02:17.000]  更多的混亂
[00:02:17.000 --> 00:02:19.000]  更多的失落
[00:02:19.000 --> 00:02:22.000]  人類開始進入一個後現代的反動的時代
[00:02:22.000 --> 00:02:27.000]  後現代的思潮已經不再相信有宏大的美夢
[00:02:27.000 --> 00:02:31.000]  我們曾經都會留意到
[00:02:31.000 --> 00:02:32.000]  我們的小朋友
[00:02:32.000 --> 00:02:33.000]  我們的小朋友
[00:02:33.000 --> 00:02:36.000]  90年代長大這一班我們所看的
