
[00:00:00.000 --> 00:00:16.000]  在教會的主日崇拜裏面,其實讀聖經比講道還要重。
[00:00:16.000 --> 00:00:22.000]  改教運動的歷史,馬丁路德曾經被人問,
[00:00:22.000 --> 00:00:34.000]  去哪一間教會才是真教會?當時大部份的教會都是羅馬天主教的教會。
[00:00:34.000 --> 00:00:40.000]  馬丁路德說,你去那間教會,你留心兩件事。
[00:00:40.000 --> 00:00:48.000]  第一,是它暖氣夠不夠,還是光不光猛,還是裝修。
[00:00:48.000 --> 00:00:54.000]  都不是人好不好人,而是在那個教會裏面,
[00:00:54.000 --> 00:01:05.000]  有沒有清清楚楚將聖經宣讀出。
[00:01:05.000 --> 00:01:09.000]  第二,就是那個教會有沒有認認真真,
[00:01:09.000 --> 00:01:14.000]  施行聖禮,聖餐、水禮。
[00:01:14.000 --> 00:01:21.000]  你留心,馬丁路德沒有教弟兄姊妹去找好的講道。
[00:01:21.000 --> 00:01:24.000]  聽不聽到這句說話的分別?
[00:01:24.000 --> 00:01:30.000]  不是說哪一間教會講道最精彩的就去,是不是?
[00:01:30.000 --> 00:01:39.000]  讀聖經,神的說話清清楚楚宣講出來,讀出來。
[00:01:39.000 --> 00:01:43.000]  再講清楚一點,讀就夠難。
[00:01:43.000 --> 00:01:49.000]  當時那些羅馬天主教會訓練出來的神父,
[00:01:49.000 --> 00:01:51.000]  可能很倫俊都未定,
[00:01:51.000 --> 00:01:56.000]  但那個不是重點,今天基督教教會訓練出來的講道,
[00:01:56.000 --> 00:01:58.000]  都可以很倫俊的。
[00:01:58.000 --> 00:02:01.000]  人就是很倫俊的。
[00:02:01.000 --> 00:02:09.000]  是神的道有沒有清清楚楚讀出來。
[00:02:09.000 --> 00:02:13.000]  不只是針對讀聖經的人口齒是否靈,
[00:02:13.000 --> 00:02:16.000]  剛才我們都有份讀,我們都讀得很清楚。
[00:02:16.000 --> 00:02:28.000]  不止,所以教會按著每一個主人天才和的經文去讀。
[00:02:28.000 --> 00:02:33.000]  有些時候我們很喜歡,今天讀到我的金句了,
[00:02:33.000 --> 00:02:38.000]  你很開心,不知道為什麼今天要讀這段呢?
[00:02:38.000 --> 00:02:43.000]  你很不明白,無厘頭的,無端端讀一段都不知道講什麼的。
