
[00:00:00.000 --> 00:00:04.600]  從創造的角度來看傳道書 作為一個引介
[00:00:04.600 --> 00:00:11.140]  還有我們說了第一大段 第一章第二章
[00:00:11.140 --> 00:00:16.560]  我們說到那裡說是作者的經歷
[00:00:16.560 --> 00:00:21.580]  他親身經歷 經歷到原來人生是虛空的
[00:00:21.580 --> 00:00:24.480]  幾方面 大家記不記得
[00:00:24.480 --> 00:00:28.740]  他不能夠明白 不能夠滿足
[00:00:28.740 --> 00:00:33.900]  沒有意義和不能夠掌握
[00:00:33.900 --> 00:00:35.800]  原因我們上一次說了
[00:00:35.800 --> 00:00:39.000]  就是因為造物主說了算
[00:00:39.000 --> 00:00:41.240]  變成不是我們定的
[00:00:41.240 --> 00:00:44.320]  他喜歡怎麼做就怎麼做
[00:00:44.320 --> 00:00:49.940]  這是說創造主的真正就是這樣
[00:00:49.940 --> 00:00:52.960]  因為全部都是由他那裡來的
[00:00:52.960 --> 00:00:58.960]  我們今天 我計算過一次要說三章聖經
[00:00:58.960 --> 00:01:02.960]  今天就說第二和第三大段
[00:01:02.960 --> 00:01:06.220]  第三章和第四章 第五章
[00:01:06.220 --> 00:01:09.860]  這兩章加上上次那章 其實三大段
[00:01:09.860 --> 00:01:15.860]  都是說從創造的角度來去
[00:01:15.860 --> 00:01:20.060]  其實他是交代為什麼會是虛空的
[00:01:20.060 --> 00:01:22.800]  上次我們說了第一個原因是因為創造者
[00:01:22.800 --> 00:01:27.280]  因為造物主 所有東西都是由他那裡來的
[00:01:27.280 --> 00:01:31.280]  這次第二大段 第三章
[00:01:31.280 --> 00:01:35.600]  就是說因為創造的設計
[00:01:35.600 --> 00:01:38.100]  這個命令本身是這樣的
[00:01:38.100 --> 00:01:40.940]  這一章聖經其實很重要
[00:01:40.940 --> 00:01:46.140]  如果你要我選擇 只有這一章聖經最清楚交代
[00:01:46.140 --> 00:01:49.140]  創造所謂的物質秩序
[00:01:49.140 --> 00:01:51.440]  這一章說得最清楚
[00:01:51.440 --> 00:01:55.240]  不過可惜這一章出了名很難解釋
[00:01:55.240 --> 00:01:59.240]  所以我們今天要看一下第三章
[00:01:59.240 --> 00:02:03.640]  可能大家都很熟悉的
[00:02:03.640 --> 00:02:10.240]  一開始說有定時 有14倍的定時
[00:02:10.240 --> 00:02:12.040]  生有時 死有時
[00:02:12.040 --> 00:02:14.140]  我們已經說過了
[00:02:14.140 --> 00:02:17.240]  其實上一次我們說的引言
[00:02:17.240 --> 00:02:24.040]  就是說這個是對比和有時間的轉變
[00:02:24.040 --> 00:02:27.140]  這個就是虛空
[00:02:27.140 --> 00:02:30.840]  如果大家記得 我不詳細說這裡了
[00:02:30.840 --> 00:02:34.040]  他是說人生有好有不好
[00:02:34.040 --> 00:02:37.740]  像我們說創世紀第一章有光有暗 有對比
[00:02:37.740 --> 00:02:39.640]  也有時空的轉變
[00:02:39.640 --> 00:02:43.540]  所以我們就算有福 就會有變有禍
[00:02:43.540 --> 00:02:45.140]  所以我們不喜歡這樣
[00:02:45.140 --> 00:02:48.940]  這也是虛空的其中一點
[00:02:48.940 --> 00:02:51.740]  如果你看我的筆記
[00:02:51.740 --> 00:02:54.040]  其實那裡交代了
[00:02:54.040 --> 00:02:57.140]  接著有兩段很重要的
[00:02:57.140 --> 00:02:59.540]  一至八節就是交代
[00:02:59.540 --> 00:03:02.740]  凡事都有定期 天下萬物都有定時
[00:03:02.740 --> 00:03:04.540]  就數了很多定時
[00:03:04.540 --> 00:03:06.540]  就說了人生就是這樣
[00:03:06.540 --> 00:03:12.540]  要留意這些不是說大自然的
[00:03:12.540 --> 00:03:15.140]  例如季節的轉變
[00:03:15.140 --> 00:03:17.140]  不是說春天有時夏天有時
[00:03:17.140 --> 00:03:20.940]  不是那些 那些是我們猜到或者理解到的
[00:03:20.940 --> 00:03:25.940]  現在他說的這些都是人生的際遇
[00:03:25.940 --> 00:03:27.240]  或者他們從事的東西
[00:03:27.240 --> 00:03:29.240]  這些是掌握不到的
[00:03:29.240 --> 00:03:32.240]  這些所謂定時的不好處就是這樣
[00:03:32.240 --> 00:03:33.940]  不是你說的
[00:03:33.940 --> 00:03:35.940]  如果現在要說
[00:03:35.940 --> 00:03:39.940]  應該是說股市上有時下有時
[00:03:39.940 --> 00:03:44.940]  或者說我們創業有時 清盤有時
[00:03:44.940 --> 00:03:47.540]  是我們未必預計到的
[00:03:47.540 --> 00:03:50.940]  這些全部都是說不是大自然的東西
[00:03:50.940 --> 00:03:55.140]  是人生所從事的或者他所遇到的際遇
[00:03:55.140 --> 00:03:58.940]  這些東西是神有它的定時
[00:03:58.940 --> 00:04:00.740]  不在我們的手中
[00:04:00.740 --> 00:04:04.940]  那麼他接著其實他用了六個
[00:04:04.940 --> 00:04:08.740]  我也有說六個作為
[00:04:08.740 --> 00:04:11.940]  接著看我的筆記
[00:04:11.940 --> 00:04:15.340]  九至十一節和十二至十五節這兩段
[00:04:15.340 --> 00:04:21.740]  都是有一個人的作為
[00:04:21.740 --> 00:04:23.740]  有兩個神的作為
[00:04:23.740 --> 00:04:29.340]  還有有三個比的
[00:04:29.340 --> 00:04:31.740]  上一次大家記得我們的結論
[00:04:31.740 --> 00:04:32.940]  也是有三個比的
[00:04:32.940 --> 00:04:33.740]  這個有三個比
[00:04:33.740 --> 00:04:35.940]  神比三樣東西在這個設計裏面
[00:04:35.940 --> 00:04:37.540]  他要交代
[00:04:37.540 --> 00:04:41.540]  其實他最清楚交代為何會虛空
[00:04:41.540 --> 00:04:45.540]  第一個就是這個定時
[00:04:45.540 --> 00:04:47.740]  第一段九至十一節
[00:04:47.740 --> 00:04:51.140]  就是說他對人的影響是怎樣
[00:04:51.140 --> 00:04:53.140]  我們看第九節
[00:04:53.140 --> 00:04:55.140]  就是說什麼都有定時
[00:04:55.140 --> 00:04:56.940]  然後他說這樣看來
[00:04:56.940 --> 00:04:57.940]  作事的人
[00:04:57.940 --> 00:05:00.140]  這個第一個是人的作為
[00:05:00.140 --> 00:05:03.140]  人所從事做的事
[00:05:03.140 --> 00:05:06.340]  在他勞碌上有什麼益處呢
[00:05:06.340 --> 00:05:09.340]  這個就是我們引言也有說過
[00:05:09.340 --> 00:05:12.140]  益處就是沒得賺
[00:05:12.140 --> 00:05:14.940]  所以這個定時的結果是怎樣呢
[00:05:14.940 --> 00:05:19.140]  人就覺得是一盤蝕本生意
[00:05:19.140 --> 00:05:20.540]  你多好都好
[00:05:20.540 --> 00:05:22.340]  他隨時可以轉做不好的
[00:05:22.340 --> 00:05:25.140]  所以這個是我們的回應
[00:05:25.140 --> 00:05:26.940]  我們會覺得是這樣的
[00:05:26.940 --> 00:05:31.740]  就是評價就是沒益處
[00:05:31.740 --> 00:05:34.140]  人的作事
[00:05:34.140 --> 00:05:35.940]  就是人從事的事
[00:05:35.940 --> 00:05:37.940]  包括他所遇到的際遇
[00:05:37.940 --> 00:05:39.540]  都是沒益處的
[00:05:39.540 --> 00:05:42.340]  這個就是虛空的那件事
[00:05:42.340 --> 00:05:45.540]  第十節他接著說
[00:05:45.540 --> 00:05:48.340]  意義是什麼呢
[00:05:48.340 --> 00:05:51.740]  我們人的評價就是沒益處
[00:05:51.740 --> 00:05:53.140]  這個定時
[00:05:53.140 --> 00:05:54.740]  但他的意義是什麼呢
[00:05:54.740 --> 00:05:57.940]  就是我見神叫世人勞苦
