
[00:00:00.000 --> 00:00:07.440]  今天我們先聽上帝的道義 再和三位討教
[00:00:07.440 --> 00:00:10.000]  讓我們聽到這些先同心禱告
[00:00:10.000 --> 00:00:14.840]  主佩服神多謝你 讓我們能夠再次回到
[00:00:14.840 --> 00:00:18.400]  在諸葛崇拜的裡面 一起的仰望在主理的面前
[00:00:18.400 --> 00:00:21.240]  一起的等候 一起的學習
[00:00:21.240 --> 00:00:25.840]  讓我們能夠明白 認識你是一位怎樣的主 怎樣的神
[00:00:25.840 --> 00:00:29.680]  因為是一位值得我們去信靠信服
[00:00:29.680 --> 00:00:33.960]  並且你是願意怎樣 允許我們回到
[00:00:33.960 --> 00:00:36.320]  我們一起走人生的道路
[00:00:36.320 --> 00:00:39.720]  我們再次獻上感恩 能夠有一位上主
[00:00:39.720 --> 00:00:43.120]  我們祈求你讓我們在聽你的道理的時候
[00:00:43.120 --> 00:00:46.080]  能夠準確掌握上帝你的心意
[00:00:46.080 --> 00:00:48.600]  並且能夠讓我們能夠去明瞭
[00:00:48.600 --> 00:00:51.240]  上帝你怎樣在這個世上的裡面
[00:00:51.240 --> 00:00:54.960]  能夠使用我們去作主你的眼光
[00:00:54.960 --> 00:00:57.920]  好 祝你願意同在 祝你能成為公平高雄
[00:00:57.920 --> 00:00:59.400]  我們親愛的父神感謝你
[00:00:59.400 --> 00:01:02.520]  給我們再次能夠打開你的話語
[00:01:02.520 --> 00:01:04.560]  讓我們明白主理的教訓
[00:01:04.560 --> 00:01:06.480]  我們再次獻上感謝
[00:01:06.480 --> 00:01:10.280]  求你的幫助 讓我們能夠再次在今天
[00:01:10.280 --> 00:01:13.880]  能夠明白你是怎麼樣的主 怎麼樣的一位神
[00:01:13.880 --> 00:01:18.560]  使我們能夠一起的在上帝你的真理當中
[00:01:18.560 --> 00:01:21.080]  能夠隨著你的說明帶領我們
[00:01:21.080 --> 00:01:24.040]  能夠走一條合神你的心意的道路
[00:01:24.040 --> 00:01:26.400]  也能夠在今天這個時代
[00:01:26.400 --> 00:01:30.880]  讓我們能夠招聚更多的屬主理的人
[00:01:30.880 --> 00:01:33.920]  一起邁向一條永恆的路
[00:01:33.920 --> 00:01:37.880]  求你的幫助 讓我們對你更深的認識
[00:01:37.880 --> 00:01:40.480]  我們祝福你 封主耶穌的名詞
[00:01:40.480 --> 00:01:41.400]  阿們
[00:01:41.400 --> 00:01:47.640]  在上個禮拜我們已經看完了
[00:01:47.640 --> 00:01:50.440]  聖經裡面 直著試圖行轉
[00:01:50.440 --> 00:01:55.560]  我們怎麼面對一些直接對我們的信仰的挑戰
[00:01:55.560 --> 00:01:58.400]  在上個禮拜我們看了《透過石頭行卷》
[00:01:58.400 --> 00:02:03.560]  看到了怎麼對我們的直接的衝擊
[00:02:03.560 --> 00:02:06.520]  今天我們會轉一轉來去看一下
[00:02:06.520 --> 00:02:09.960]  怎麼去面對一些是間接地
[00:02:09.960 --> 00:02:12.360]  去對於我們的基督信仰的挑戰
[00:02:12.360 --> 00:02:15.560]  從今天開始我們轉一個看
[00:02:15.560 --> 00:02:18.360]  對我們基督信仰怎麼會間接的衝擊
[00:02:18.360 --> 00:02:23.200]  我甚至可以說 間接的挑戰其實來得更加的頻密
[00:02:23.200 --> 00:02:25.000]  而且更加致命
[00:02:25.000 --> 00:02:30.480]  這次衝擊應該更加頻繁 更加致命
[00:02:30.480 --> 00:02:32.200]  所以接下來這一堂的信息
[00:02:32.200 --> 00:02:34.800]  我希望能夠大家有更好的掌握
[00:02:34.800 --> 00:02:38.280]  對本堂的信息 我希望大家有更好的掌握
[00:02:38.280 --> 00:02:39.480]  我有一個目的的
[00:02:39.480 --> 00:02:40.280]  我有一個目的
[00:02:40.280 --> 00:02:42.240]  希望藉著這段聖經的提醒
[00:02:42.240 --> 00:02:44.920]  這個聖經的提醒
[00:02:44.920 --> 00:02:48.840]  提升我們大興姊妹對這些攻擊
[00:02:48.840 --> 00:02:51.840]  從間接而來的攻擊
[00:02:51.840 --> 00:02:53.760]  是能夠有更敏銳的祝國
[00:02:53.760 --> 00:02:55.800]  對這種間接的攻擊
[00:02:55.800 --> 00:02:58.320]  有一個更加敏銳的祝國
[00:02:58.320 --> 00:03:01.320]  因為如果沒有這種更敏銳的屬靈祝國的話
[00:03:01.320 --> 00:03:03.920]  如果沒有這個敏銳的屬靈祝國的話
[00:03:03.920 --> 00:03:05.960]  我們會更容易掉進去一個
[00:03:05.960 --> 00:03:09.960]  我們以為自己是一個已經清意的狀態
[00:03:09.960 --> 00:03:14.360]  我們以為已經清意的狀態
[00:03:14.360 --> 00:03:17.920]  但實質上原來我們是如同一個不信的人一樣
[00:03:17.920 --> 00:03:20.760]  其實我們如同一個不信的人一樣
[00:03:20.760 --> 00:03:23.200]  甚至我們好像清水煮蛙一樣
[00:03:23.200 --> 00:03:27.960]  好像清水煮 溫水煮蛙一樣
[00:03:27.960 --> 00:03:29.280]  溫水煮蛙
[00:03:29.280 --> 00:03:31.240]  煮到你死了都不知道
[00:03:31.240 --> 00:03:32.400]  死了都不知道
[00:03:32.400 --> 00:03:33.800]  因為死得太舒服
[00:03:33.800 --> 00:03:35.360]  因為死得太舒服
[00:03:35.360 --> 00:03:38.960]  今天我們去看究竟保羅怎麼去面對
[00:03:38.960 --> 00:03:40.760]  保羅怎麼去面對
[00:03:40.760 --> 00:03:43.960]  今天我們會承接第24章的經文
[00:03:43.960 --> 00:03:45.800]  我們承接第24章的經文
[00:03:45.800 --> 00:03:48.120]  從第22節開始去看
[00:03:48.120 --> 00:03:49.560]  從22節開始看
[00:03:49.560 --> 00:03:51.320]  22節講些什麼呢
[00:03:51.320 --> 00:03:52.360]  22節講什麼呢
[00:03:52.360 --> 00:03:53.800]  上一文我們已經講過
[00:03:53.800 --> 00:03:54.760]  上一文已經講過
[00:03:54.760 --> 00:03:59.160]  菲律師是叫了保羅去新論保羅
[00:03:59.160 --> 00:04:02.520]  他在過去12天在耶路撒冷做過的事
[00:04:02.520 --> 00:04:08.720]  菲律師知道保羅在過去12天在耶路撒冷做的事
[00:04:08.720 --> 00:04:11.520]  22節講菲律師他已經詳細
[00:04:11.520 --> 00:04:14.400]  原來他本身詳細已經知道發生過什麼事了
[00:04:14.400 --> 00:04:16.800]  原來他本身強行知道發生什麼事
[00:04:16.800 --> 00:04:19.000]  甚至他知道這道
[00:04:19.000 --> 00:04:22.080]  就是保羅他信的這個基督的道理是什麼
[00:04:22.080 --> 00:04:25.640]  甚至知道保羅所信的基督的道理
[00:04:25.640 --> 00:04:29.520]  聖經在這裡說他千不地這樣向大眾講
[00:04:29.520 --> 00:04:31.200]  所以他知悟地說
[00:04:31.200 --> 00:04:32.800]  等埋千夫長
[00:04:32.800 --> 00:04:35.640]  就是由耶路撒冷女婿也下來之後
[00:04:35.640 --> 00:04:38.160]  我才能結案陳詞
[00:04:38.160 --> 00:04:40.880]  等千夫長下來以後
[00:04:40.880 --> 00:04:42.160]  我才結案陳詞
[00:04:42.160 --> 00:04:43.920]  如果大家心水清的話
[00:04:43.920 --> 00:04:45.400]  如果大家都很明白的話
[00:04:45.400 --> 00:04:47.000]  上個主人我說
[00:04:47.000 --> 00:04:47.760]  咦?
[00:04:47.760 --> 00:04:49.560]  《司徒行傳》和《路加福音》
[00:04:49.560 --> 00:04:51.880]  其實都是寫給一個叫做
[00:04:51.880 --> 00:04:56.520]  Felphelius的一個人
[00:04:56.520 --> 00:05:00.040]  在第一章裡面已經講過了
