
[00:00:00.000 --> 00:00:06.560]  剛才也提到現在已經是第十三堂
[00:00:06.560 --> 00:00:08.060]  時間過得很快
[00:00:08.060 --> 00:00:13.640]  12月4日就是我們最後一堂
[00:00:13.640 --> 00:00:16.280]  今年跟大家說了14堂
[00:00:16.280 --> 00:00:18.980]  明年Leo和我都約了
[00:00:18.980 --> 00:00:22.580]  會跟大家說的題目叫做「鑒古思今」
[00:00:22.580 --> 00:00:25.980]  會選擇聖經裡12個人物
[00:00:25.980 --> 00:00:29.820]  跟大家分享12堂聖經人物的信息
[00:00:29.820 --> 00:00:38.500]  我都很期待明年跟大家一起探討這12個人物
[00:00:38.500 --> 00:00:43.460]  這一堂題目叫做「人生的光明和黑暗」
[00:00:43.460 --> 00:00:46.000]  經文不多只有四節
[00:00:46.000 --> 00:00:47.700]  讀給大家聽
[00:00:47.700 --> 00:00:53.740]  在傳道書第四一章七至十節
[00:00:53.740 --> 00:01:11.660]  聖經說:「光本是皆美的,眼見日光也是可悅的,人活多年就當快樂多年,然而也當想到黑暗的日子,因為這日子必多,所以來的都是虛空。
[00:01:11.660 --> 00:01:26.060]  少年人啊!你在幼年時當快樂,在幼年的日子使你的心歡暢,恨你心所怨恨的,恨你眼所愛恨的,卻要知道為這一切的事,神必審問你。
[00:01:26.060 --> 00:01:36.740]  所以你當從心中除掉仇煩,從肉體刻去邪惡,因為一生的開端和幼年之時,都是虛空的。」
[00:01:36.740 --> 00:01:49.220]  傳道書提醒我們基督徒的人生不是只有將來而無現在的
[00:01:49.220 --> 00:01:53.260]  我們今生過得好,來生也過得好
[00:01:53.260 --> 00:01:57.940]  傳道書教我們如何看人生、如何過人生
[00:01:57.940 --> 00:02:03.220]  第十三章提到差不多到最後了
[00:02:03.220 --> 00:02:10.780]  最後一章是總義和忠告,講完整本傳道書
[00:02:10.780 --> 00:02:18.460]  提醒大家,當我們看傳道書時,裡面有很多道理
[00:02:18.460 --> 00:02:21.940]  我希望給大家很多反思的問題
[00:02:21.940 --> 00:02:27.980]  所以我又不要求,因為剛才我看了十三章的總結,有很多內容
[00:02:27.980 --> 00:02:31.500]  我不打算大家背下來記下來
[00:02:31.500 --> 00:02:39.020]  希望所思考的東西能夠幫助我們做人,做得更加合乎神的心意
[00:02:39.020 --> 00:02:43.500]  剛才也提到生命的見證問題
[00:02:43.500 --> 00:02:46.940]  所以基督徒在世有責任要做見證
[00:02:46.940 --> 00:02:51.340]  所以這段書教我們如何看人生、如何過人生
[00:02:51.340 --> 00:02:56.940]  提到人生的光明和黑暗
[00:02:56.940 --> 00:02:59.820]  我會解釋什麼是光明和黑暗
[00:02:59.820 --> 00:03:07.380]  我先提一提,我不知道在座的弟兄如何
[00:03:07.380 --> 00:03:10.900]  人們常說弟兄和姐妹很不同
[00:03:10.900 --> 00:03:14.020]  男女思考的方法很不同
[00:03:14.020 --> 00:03:18.980]  我常常都這樣,我看重時間
[00:03:18.980 --> 00:03:23.300]  我覺得錢財是新禮物,時間是新命
[00:03:23.300 --> 00:03:30.380]  所以我不是很注重去加價
[00:03:30.380 --> 00:03:36.700]  但我發現不是每個姐妹,我家的姐妹很專業
[00:03:36.700 --> 00:03:40.900]  她很懂得加價,這是她的長處
[00:03:40.900 --> 00:03:46.620]  所以我常說我買東西不懂,買貴貨又不懂看時間
[00:03:46.620 --> 00:03:51.740]  又不懂看店舖,所以我心裡有很大挫敗感
[00:03:51.740 --> 00:03:54.300]  有一次她叫我去買東西
[00:03:54.300 --> 00:03:58.940]  我記得是買方包,一條條的方包
[00:03:58.940 --> 00:04:01.380]  她說你幫我買些麵包回來
[00:04:01.380 --> 00:04:05.060]  我說好啊,我就去最近的超市買
[00:04:05.060 --> 00:04:09.100]  但我去到發現人頭湧湧,很多人
[00:04:09.100 --> 00:04:10.420]  為什麼這麼多人呢?
[00:04:10.420 --> 00:04:13.420]  原來剛剛那間店舖開了沒多久
[00:04:13.420 --> 00:04:17.420]  週年紀念,所以有個慶祝的街坊
[00:04:17.420 --> 00:04:20.980]  很多減價,差不多到處都是紅色的牌
[00:04:20.980 --> 00:04:24.180]  我看到的時候突然一個人聰明了點
[00:04:24.180 --> 00:04:27.100]  想起老婆教訓我這麼多次的東西
[00:04:27.100 --> 00:04:28.780]  就是不懂買便宜的東西
[00:04:28.780 --> 00:04:32.940]  所以那次進去超市,拼命瘋狂地買購物
[00:04:32.940 --> 00:04:34.780]  看到又便宜又便宜的東西
[00:04:34.780 --> 00:04:40.500]  買一送一,大支豉油送小豉油
[00:04:40.500 --> 00:04:44.180]  看到這些東西我就一直買
[00:04:44.180 --> 00:04:46.780]  買了一籃東西回去,很開心
[00:04:46.780 --> 00:04:48.300]  我也覺得自己很威風
[00:04:48.300 --> 00:04:51.980]  拿著幾袋東西回去,一進門就讓給我老婆看
[00:04:51.980 --> 00:04:54.900]  老婆,減價啊,好便宜好便宜啊
[00:04:54.900 --> 00:04:56.100]  就跟她介紹了
[00:04:56.100 --> 00:04:59.140]  這個買一送一的,這個買一送二的
[00:04:59.140 --> 00:05:00.580]  這個買大送小的
[00:05:00.580 --> 00:05:03.420]  嘩,多厲害啊,像買豬肉搭豬骨一樣
[00:05:03.420 --> 00:05:06.500]  越說越開心,說得口目環釋
[00:05:06.500 --> 00:05:09.540]  老婆看著看著,看著我買的東西
[00:05:09.540 --> 00:05:11.420]  摸來摸去,移來移去
[00:05:11.420 --> 00:05:17.020]  然後她看著我,她說我要那條麵包呢
[00:05:17.020 --> 00:05:20.180]  我忘記了開心的頭
[00:05:20.180 --> 00:05:23.500]  我老婆就說了一句
[00:05:23.500 --> 00:05:25.460]  她說買便宜的東西是對的
[00:05:25.460 --> 00:05:28.140]  不過有些重要的東西就不要不買
[00:05:28.140 --> 00:05:31.820]  好像我那條麵包,麻煩你回去買吧
[00:05:31.820 --> 00:05:34.300]  我發現有時候人生就是這樣
[00:05:34.300 --> 00:05:37.420]  很多時候太開心了,太精彩了
[00:05:37.420 --> 00:05:41.220]  在這裡享受人生,走來走去
[00:05:41.220 --> 00:05:44.020]  現在我聽很多電影前輩說
[00:05:44.020 --> 00:05:46.940]  要去旅行啊,便宜啊,沒什麼人的
[00:05:46.940 --> 00:05:48.460]  巴士不是很多人的
[00:05:48.460 --> 00:05:50.020]  船又不是很多人的
[00:05:50.020 --> 00:05:52.660]  要去就去吧,遲些就多人了
[00:05:52.660 --> 00:05:55.580]  個個都拼命去旅遊
[00:05:55.580 --> 00:05:58.020]  報復式的消費
[00:05:58.020 --> 00:06:00.620]  人生當中很多東西是可以有的
[00:06:00.620 --> 00:06:03.740]  我不反對弟兄妹妹去旅遊啊
[00:06:03.740 --> 00:06:06.940]  享受人生啊,欣賞風景啊
[00:06:06.940 --> 00:06:08.380]  這些東西沒問題的
[00:06:08.380 --> 00:06:11.140]  但有些東西是不可以沒有的
[00:06:11.140 --> 00:06:13.860]  有些東西我們不記得不要緊
[00:06:13.860 --> 00:06:16.220]  有些東西就不要忘記
[00:06:16.220 --> 00:06:18.780]  今天我們說到光明與黑暗
[00:06:18.780 --> 00:06:20.980]  就是提到人生的兩方面
[00:06:20.980 --> 00:06:24.380]  我們不可以忘記,我們不應該忘記
[00:06:24.380 --> 00:06:27.540]  我們不可以沒有,我們不可以沒有
[00:06:27.540 --> 00:06:30.780]  這四節聖經都可以分成三部分
[00:06:30.780 --> 00:06:33.420]  第一第七節到第八節
[00:06:33.420 --> 00:06:36.180]  說到光明和黑暗
[00:06:36.180 --> 00:06:40.180]  第九節提到歡暢和悔改
[00:06:40.180 --> 00:06:43.540]  第十節說到受煩和邪惡
[00:06:43.540 --> 00:06:46.300]  我們先看光明和黑暗
[00:06:46.300 --> 00:06:51.380]  什麼叫光什麼叫暗呢
[00:06:51.380 --> 00:06:54.820]  如果你看約伯記第三章第十節
[00:06:54.820 --> 00:06:59.340]  說受患難的人為何有光似給他呢
[00:06:59.340 --> 00:07:04.300]  身中受苦的人為何有生命似給他呢
[00:07:04.300 --> 00:07:10.060]  你知道猶太人的文字上有一種平衡體
[00:07:10.060 --> 00:07:13.100]  有些叫同義平衡反義平衡
[00:07:13.100 --> 00:07:16.060]  這裡有一個叫同義平衡
[00:07:16.060 --> 00:07:17.980]  光就對生命
[00:07:17.980 --> 00:07:20.460]  受患難為何有光給他呢
[00:07:20.460 --> 00:07:24.060]  身中受苦的人為何有生命給他呢
[00:07:24.060 --> 00:07:27.860]  患難就對受苦,光就對生命
[00:07:27.860 --> 00:07:31.660]  意思就是告訴我們光是代表生命
[00:07:31.660 --> 00:07:34.540]  是一句同義平衡句
[00:07:34.540 --> 00:07:36.860]  如果你看黑暗
[00:07:36.860 --> 00:07:40.100]  你又看約伯記十七章十三節
[00:07:40.100 --> 00:07:43.780]  我若盼望陰間為我的房屋
[00:07:43.780 --> 00:07:46.180]  下塔在黑暗中
[00:07:46.180 --> 00:07:49.380]  房屋和下塔就是對比
[00:07:49.380 --> 00:07:53.940]  陰間和黑暗也是同義詞
[00:07:53.940 --> 00:07:59.340]  第七節說到光是皆美
[00:07:59.340 --> 00:08:02.060]  意思就是生命是皆美
[00:08:02.060 --> 00:08:04.260]  眼見日光都是可悅的
[00:08:04.260 --> 00:08:07.940]  你未死是好事
[00:08:07.940 --> 00:08:10.180]  有生命是好事
[00:08:10.180 --> 00:08:11.340]  是可悅的
[00:08:11.340 --> 00:08:13.020]  是皆美的
[00:08:13.020 --> 00:08:14.460]  第八節就說到
[00:08:14.460 --> 00:08:16.660]  人活多年
[00:08:16.660 --> 00:08:18.620]  因為光是生命
