
[00:00:00.000 --> 00:00:03.080]  在我們今天這個社會裏面 我們很喜歡玩一個遊戲
[00:00:03.080 --> 00:00:06.920]  其實這個遊戲是一個殘忍遊戲 是非常殘忍的
[00:00:06.920 --> 00:00:09.480]  這個遊戲名叫「扣帽子」
[00:00:09.480 --> 00:00:13.320]  我們很喜歡見到某些人的時候 我們就給他帽子戴
[00:00:13.320 --> 00:00:16.120]  這個屬什麼 這個屬什麼 然後我們就拒絕他
[00:00:16.120 --> 00:00:19.460]  我剛剛在香港回來幾個星期
[00:00:19.460 --> 00:00:24.840]  離開了香港兩年左右 就發覺香港改變很大很大
[00:00:24.840 --> 00:00:27.640]  大到你覺得好像有些陌生的感覺
[00:00:27.900 --> 00:00:30.980]  其中給人一個很大的感覺就是
[00:00:30.980 --> 00:00:33.280]  香港的社會越來越撕裂
[00:00:33.280 --> 00:00:35.840]  越來越不和諧
[00:00:35.840 --> 00:00:39.680]  很久之前就有一個這樣的故事
[00:00:39.680 --> 00:00:45.820]  這個故事是和一個在北京大學的教授叫孔慶東有關係的 孔慶東教授
[00:00:45.820 --> 00:00:49.920]  事源是一個在中國來香港的遊客
[00:00:49.920 --> 00:00:52.480]  就帶著一個小孩子坐地鐵
[00:00:52.480 --> 00:00:56.580]  這個小孩子就在車廂裏面因為肚餓
[00:00:56.820 --> 00:00:58.360]  就拿了一個公仔麵來吃了
[00:00:58.360 --> 00:01:00.920]  有一個香港人就坐在旁邊
[00:01:00.920 --> 00:01:02.460]  就勸他
[00:01:02.460 --> 00:01:05.020]  說這個車廂之內是不准飲食的
[00:01:05.020 --> 00:01:08.600]  你完了之後你才去吃吧
[00:01:08.600 --> 00:01:10.400]  當時呢
[00:01:10.400 --> 00:01:12.960]  那個媽媽
[00:01:12.960 --> 00:01:14.660]  那條氣很不順
[00:01:14.660 --> 00:01:16.020]  於是就
[00:01:16.020 --> 00:01:17.820]  帶來罵戰了
[00:01:17.820 --> 00:01:21.920]  不只是罵戰 車廂裏面有些是中國來的 有些香港來的
[00:01:21.920 --> 00:01:23.960]  彼此在罵戰了
[00:01:24.420 --> 00:01:28.260]  這件事就被北大的教授孔慶東知道了
[00:01:28.260 --> 00:01:33.120]  就開始在他的微信裏面大罵香港人
[00:01:33.120 --> 00:01:34.660]  說香港人是奴才
[00:01:34.660 --> 00:01:36.460]  是姓王的
[00:01:36.460 --> 00:01:39.020]  即是三惡王的王
[00:01:39.020 --> 00:01:44.140]  以為他所有不懂普通話的中國人都是姓王的
[00:01:44.140 --> 00:01:45.920]  當記者問他
[00:01:45.920 --> 00:01:49.520]  為什麼香港是比北京的乾淨呢
[00:01:49.520 --> 00:01:51.060]  和有秩序呢
[00:01:51.060 --> 00:01:52.340]  他的答法就是
[00:01:52.840 --> 00:01:56.640]  香港人之所以乾淨和守秩序不是因為他們的質素高
[00:01:56.640 --> 00:01:58.940]  而是因為他們是有奴才的本性
[00:01:58.940 --> 00:01:59.960]  是被拍伐
[00:01:59.960 --> 00:02:01.760]  是被授紮
[00:02:01.760 --> 00:02:03.300]  這些是狗的本性
[00:02:03.300 --> 00:02:07.640]  這些是一些很挑釁性的行為和言論
[00:02:07.640 --> 00:02:08.400]  就引起
[00:02:08.400 --> 00:02:10.200]  當時很多香港人反擊
[00:02:10.200 --> 00:02:12.500]  就在中聯辦那裏抗議
[00:02:12.500 --> 00:02:17.120]  又要求北京大學解僱這個所謂孔慶東教授
[00:02:17.120 --> 00:02:17.920]  一時之間
[00:02:17.920 --> 00:02:20.200]  雙方就大罵罵戰了
[00:02:20.200 --> 00:02:22.740]  或者我們會覺得
[00:02:23.420 --> 00:02:26.740]  或者孔教授這個人比較出位
[00:02:26.740 --> 00:02:28.780]  但奇怪的地方就是
[00:02:28.780 --> 00:02:33.240]  在言論裏面有60%的網友
[00:02:33.240 --> 00:02:36.060]  表示讚同和支持孔教授的看法
[00:02:36.060 --> 00:02:38.100]  其實這件事是
[00:02:38.100 --> 00:02:39.640]  不只是個人
[00:02:39.640 --> 00:02:44.240]  我想有一個更深層次的影響在裏面
[00:02:44.240 --> 00:02:45.780]  這是一個什麼影響呢
[00:02:45.780 --> 00:02:48.600]  就是我剛才所說的扣帽子
[00:02:48.600 --> 00:02:52.440]  不少的香港人
[00:02:52.660 --> 00:02:54.440]  有一種
[00:02:54.440 --> 00:02:56.240]  很奇怪的想法
[00:02:56.240 --> 00:02:59.560]  尤其是對在國內的人有一種很奇怪的想法
