
[00:00:00.000 --> 00:00:04.480]  各位影子妹 午安
[00:00:04.480 --> 00:00:06.480]  多謝Mimi的介紹
[00:00:06.480 --> 00:00:08.480]  她剛才提到
[00:00:08.480 --> 00:00:10.480]  我在香港有八年
[00:00:10.480 --> 00:00:12.480]  然後今年是安息年
[00:00:12.480 --> 00:00:22.480]  很感恩在去年七月到今年八月底
[00:00:22.480 --> 00:00:24.480]  有兩個月可以說是假期
[00:00:24.480 --> 00:00:26.480]  然後十二個月的安息年
[00:00:26.480 --> 00:00:30.480]  在這十四個月裡
[00:00:30.480 --> 00:00:40.480]  其實要做的工作比不在安息年好像更多
[00:00:40.480 --> 00:00:44.480]  不過對我來說也不是那麼重要
[00:00:44.480 --> 00:00:50.480]  因為安息年只是一個風景的轉換
[00:00:50.480 --> 00:00:54.480]  正如勞勞列根夫人曾經說
[00:00:54.480 --> 00:00:56.480]  當然不能形容在我身上
[00:00:56.480 --> 00:00:58.480]  她說她老公沒有假期
[00:00:58.480 --> 00:01:06.480]  只是風景的轉換
[00:01:06.480 --> 00:01:16.480]  當然我不是能夠在那方面
[00:01:16.480 --> 00:01:18.480]  但也很感恩
[00:01:18.480 --> 00:01:25.480]  在這十四個月裡有很多不同的講學機會
[00:01:25.480 --> 00:01:28.480]  也有很多機會來港島
[00:01:28.480 --> 00:01:32.480]  無論是專題 夏令會 主日崇拜的港島
[00:01:32.480 --> 00:01:36.480]  當然我沒有正式的來過
[00:01:36.480 --> 00:01:38.480]  不過大概是一百八十次
[00:01:38.480 --> 00:01:41.480]  也是感恩的
[00:01:41.480 --> 00:01:43.480]  不過這一百八十次的港島
[00:01:43.480 --> 00:01:47.480]  其實我可以數得出
[00:01:47.480 --> 00:01:51.480]  有多少次是港章沒有在眾恩堂說過的
[00:01:51.480 --> 00:01:59.480]  現在的港島都是用
[00:01:59.480 --> 00:02:01.480]  以前眾恩堂說過的港章
[00:02:01.480 --> 00:02:05.480]  當然全部的港章的大綱是一樣的
[00:02:05.480 --> 00:02:09.480]  但是裡面的例子
[00:02:09.480 --> 00:02:12.480]  甚至裡面的一些勸勉的方式
[00:02:12.480 --> 00:02:16.480]  甚至表達的方式有些不同
[00:02:16.480 --> 00:02:20.480]  所以可以說是舊也可以說是新
[00:02:20.480 --> 00:02:24.480]  也很感恩的
[00:02:24.480 --> 00:02:30.480]  特別是最近六月三十日
[00:02:30.480 --> 00:02:35.480]  我和太太從德國回來
[00:02:35.480 --> 00:02:38.480]  因為五月五日至六月三十日
[00:02:38.480 --> 00:02:40.480]  有大概八個星期的時間
[00:02:40.480 --> 00:02:44.480]  在瑞典三個城市和挪威三個城市
[00:02:44.480 --> 00:02:48.480]  有些侍奉 有些體驗
[00:02:48.480 --> 00:02:50.480]  當然也有些遊覽
[00:02:50.480 --> 00:02:54.480]  也去了丹麥哥本哈根之後
[00:02:54.480 --> 00:02:56.480]  就去德國的北部
[00:02:56.480 --> 00:02:58.480]  德國的北部有兩個星期
[00:02:58.480 --> 00:03:02.480]  兩個星期有十四個城市
[00:03:02.480 --> 00:03:06.480]  正如你們也知道
[00:03:06.480 --> 00:03:08.480]  通常我去完一些地方
[00:03:08.480 --> 00:03:10.480]  就有很多遊忠
[00:03:10.480 --> 00:03:12.480]  今天也有些
[00:03:12.480 --> 00:03:16.480]  希望大家也當作是一個經歷
[00:03:16.480 --> 00:03:22.480]  未必是表示我要在大家面前說什麼
[00:03:22.480 --> 00:03:28.480]  不過在過往十三個月裡
[00:03:28.480 --> 00:03:30.480]  當然說過很多遍
[00:03:30.480 --> 00:03:32.480]  但我相信最深刻的
[00:03:32.480 --> 00:03:34.480]  除了在這裡
[00:03:34.480 --> 00:03:40.480]  還有這次的四次講道之外
[00:03:40.480 --> 00:03:45.480]  可能會在四月底至五月初
[00:03:45.480 --> 00:03:48.480]  有機會在大溫哥華的陪寧會
[00:03:48.480 --> 00:03:50.480]  和弟兄姊妹一起分享
[00:03:50.480 --> 00:03:53.480]  貼上內地家前書四篇的訊息
[00:03:53.480 --> 00:03:55.480]  當然深刻的原因是
[00:03:55.480 --> 00:03:58.480]  在溫哥華也生活了28年
[00:03:58.480 --> 00:04:00.480]  在這28年裡
[00:04:00.480 --> 00:04:05.480]  有機會在溫哥華的教育同工裡
[00:04:05.480 --> 00:04:08.480]  大家一起有很多交通
[00:04:08.480 --> 00:04:10.480]  有機會再被邀請回來
[00:04:10.480 --> 00:04:12.480]  或者第一次被邀請回來
[00:04:12.480 --> 00:04:17.480]  來到大溫的所有的橫教會裡
[00:04:17.480 --> 00:04:19.480]  來分享
[00:04:19.480 --> 00:04:22.480]  對我來說是一個很特別的體會
[00:04:22.480 --> 00:04:25.480]  也覺得是神給我特別的恩典
[00:04:25.480 --> 00:04:31.480]  也在裡面和大家一起思想
[00:04:31.480 --> 00:04:33.480]  貼上羅尼加前書的訊息
[00:04:33.480 --> 00:04:36.480]  不過在大家當中
[00:04:36.480 --> 00:04:40.480]  甚至在未講貼上羅尼加前書之前
[00:04:40.480 --> 00:04:42.480]  已經將後轉下集
[00:04:42.480 --> 00:04:47.480]  逐集和大家講了兩章
[00:04:47.480 --> 00:04:52.480]  就是和大家一起思想貼上羅尼加後書第一第二章
[00:04:52.480 --> 00:04:58.480]  今天和大家一起看貼上羅尼加後書第三章
[00:04:58.480 --> 00:05:00.480]  最後一章的訊息
