
[00:00:00.000 --> 00:00:05.500]  各位大型傳媒各位朋友你們好
[00:00:05.500 --> 00:00:08.600]  今天是2023年1月1日
[00:00:08.600 --> 00:00:12.700]  在大年之初首先恭喜大家新年快樂
[00:00:12.700 --> 00:00:16.500]  接下來這一年新心靈都非常健康
[00:00:16.500 --> 00:00:20.100]  趁著這個年初一的日子
[00:00:20.100 --> 00:00:22.700]  想跟大家思想一個題目
[00:00:22.700 --> 00:00:24.900]  回顧與回應
[00:00:24.900 --> 00:00:32.100]  經文是《雅各書》第四章十三至十七節
[00:00:32.100 --> 00:00:34.500]  在中文有一個字非常有趣
[00:00:34.500 --> 00:00:37.500]  就是這個「中」字 終結的「中」字
[00:00:37.500 --> 00:00:39.800]  原來這個字是一個很古老的字
[00:00:39.800 --> 00:00:42.900]  早在甲骨文的時代已經有了
[00:00:42.900 --> 00:00:46.600]  最初甲骨文這個字是怎麼寫的呢?
[00:00:46.600 --> 00:00:49.400]  就是好像有一個尖角
[00:00:49.400 --> 00:00:52.700]  尖角的兩端有一塊東西
[00:00:52.700 --> 00:00:55.100]  根據《說文解字》所說
[00:00:55.100 --> 00:00:59.000]  這個是將承端終結之形
[00:00:59.000 --> 00:01:04.200]  以前沒有文字的時候就是承中打結記事
[00:01:04.200 --> 00:01:08.600]  當承沒打成一結的時候就表示這個就是終結了
[00:01:08.600 --> 00:01:11.100]  但是也有些文字學家就解釋說
[00:01:11.100 --> 00:01:14.000]  那兩塊東西是敲響了樂器
[00:01:14.000 --> 00:01:16.100]  在音樂終結的時候
[00:01:16.100 --> 00:01:18.400]  亨然一聲然後歸於死寂
[00:01:18.400 --> 00:01:20.000]  這個就是「中」了
[00:01:20.000 --> 00:01:21.400]  無論如何
[00:01:21.400 --> 00:01:24.800]  「中」這個字在中國文字是極有詩意的
[00:01:24.800 --> 00:01:28.100]  無論是結成記事
[00:01:28.100 --> 00:01:30.100]  下面的下垂之結
[00:01:30.100 --> 00:01:32.300]  又或者是音樂的終結
[00:01:32.300 --> 00:01:36.000]  兩者都有一種說不出的莊嚴
[00:01:36.000 --> 00:01:40.200]  事實上終結是一件既莊嚴又神秘
[00:01:40.200 --> 00:01:42.400]  也帶有傷感的事
[00:01:42.400 --> 00:01:47.000]  我就想起杜甫所寫一首詩叫《國庭》
[00:01:47.000 --> 00:01:51.700]  就將這個「中」這幅圖畫描繪得非常淒厲
[00:01:51.700 --> 00:01:53.300]  真確
[00:01:53.300 --> 00:01:56.600]  睡夢陰陽 吹短景
[00:01:56.600 --> 00:01:59.800]  天涯相說齊寒宵
[00:01:59.800 --> 00:02:02.900]  吾更古國聲碑藏
[00:02:02.900 --> 00:02:06.100]  三合星何影動搖
[00:02:06.100 --> 00:02:08.800]  野哭幾家問戰乏
[00:02:08.800 --> 00:02:11.700]  而歌掃處起如潮
[00:02:11.700 --> 00:02:14.800]  臥龍躍馬 中皇土
[00:02:14.800 --> 00:02:18.700]  人時音書萬夕描
[00:02:18.700 --> 00:02:22.100]  所謂睡夢陰陽 吹短景
[00:02:22.100 --> 00:02:24.300]  就是指年終的時候
[00:02:24.300 --> 00:02:26.800]  特別覺得時間過得很快
[00:02:26.800 --> 00:02:28.300]  降陰吹冰
[00:02:28.300 --> 00:02:32.000]  嘩 又一年來得快 去得快
[00:02:32.000 --> 00:02:34.500]  天涯就是指天的終結
[00:02:34.500 --> 00:02:37.300]  天邊的雪在天涯的寒夜
[00:02:37.300 --> 00:02:38.800]  也是終止了
[00:02:38.800 --> 00:02:43.100]  因為只是天涯相說齊寒宵
[00:02:43.100 --> 00:02:46.100]  但是這些都不是最淒慘的
[00:02:46.100 --> 00:02:49.300]  夜之中 午更時分
[00:02:49.300 --> 00:02:52.200]  軍中的戰鼓之聲又起了
[00:02:52.200 --> 00:02:55.000]  配上三合急流的水聲
[00:02:55.000 --> 00:02:56.800]  特別來得悲壯
[00:02:56.800 --> 00:02:58.200]  但是最悲慘的
[00:02:58.200 --> 00:03:00.200]  所謂戰乏之聲一到
[00:03:00.200 --> 00:03:02.200]  人的生命就終結了
[00:03:02.200 --> 00:03:05.300]  無論你是臥龍先生 諸葛亮
[00:03:05.300 --> 00:03:08.100]  或者是躍馬稱帝的公孫術
[00:03:08.100 --> 00:03:12.600]  雖是英雄浩劫 還不是忠於王土
[00:03:12.600 --> 00:03:16.500]  真是所謂臥龍躍馬 忠王土
[00:03:16.500 --> 00:03:19.500]  人是陰書萬籍年
[00:03:19.500 --> 00:03:23.100]  這首詩就好像一個喪鐘敲響了
[00:03:23.100 --> 00:03:26.200]  鐘一聲 全盤歸於死寂
[00:03:26.200 --> 00:03:29.100]  又淒慘又神秘又壯麗
[00:03:29.100 --> 00:03:32.900]  這個就是中國文字「鐘」這個意境
[00:03:32.900 --> 00:03:35.100]  但相反來看聖經
[00:03:35.100 --> 00:03:37.300]  希臘文這個字叫做Temus
[00:03:37.300 --> 00:03:40.300]  就完全不同的意境出現了
[00:03:40.300 --> 00:03:43.600]  這個字在新教聖經出現過42次之多
[00:03:43.600 --> 00:03:46.600]  其中不少是指世界的末日
[00:03:46.600 --> 00:03:48.800]  馬達福音24章6至14節
[00:03:48.800 --> 00:03:50.400]  馬達福音13章13節
[00:03:50.400 --> 00:03:52.600]  路加福音21章9節
[00:03:52.600 --> 00:03:54.500]  有學者統計
[00:03:54.500 --> 00:03:57.000]  聖經每7節聖經就有一個提到
[00:03:57.000 --> 00:04:00.300]  這個世界的終結和耶穌的再臨
[00:04:00.300 --> 00:04:01.900]  對基督徒來說
[00:04:01.900 --> 00:04:04.800]  Temus就不像中國人所說的鐘
[00:04:04.800 --> 00:04:07.400]  沒有盼望沒有前途
[00:04:07.400 --> 00:04:10.800]  隨著世界之末就是新天新地
[00:04:10.800 --> 00:04:14.400]  隨著救人之終就是新人之始
[00:04:14.400 --> 00:04:17.400]  隨著死亡就是復活和永生
[00:04:17.400 --> 00:04:20.700]  這個字不是帶給人傷感和悲哀
[00:04:20.700 --> 00:04:24.000]  而是活潑的盼望和生命力
[00:04:24.000 --> 00:04:27.800]  保羅在哥林多後書第4章16節就這樣說
[00:04:27.800 --> 00:04:29.600]  所以我們不喪膽
[00:04:29.600 --> 00:04:31.100]  外體雖然毀壞
[00:04:31.100 --> 00:04:33.500]  內心卻一天生死一天
[00:04:33.500 --> 00:04:36.600]  我們這知憎知輕的苦楚
[00:04:36.600 --> 00:04:41.200]  要為我們成就極重無比永遠的榮耀
[00:04:41.200 --> 00:04:44.000]  原來我們不是顧念所見的
[00:04:44.000 --> 00:04:46.200]  乃是顧念所不見的
