
[00:00:00.000 --> 00:00:04.280]  好 多謝大家 多謝 各位早晨
[00:00:04.280 --> 00:00:05.000]  (早晨)
[00:00:05.000 --> 00:00:07.000]  Sam叔是我的發言人
[00:00:07.000 --> 00:00:08.420]  (笑)
[00:00:08.420 --> 00:00:10.000]  也是我的好鄰居
[00:00:10.000 --> 00:00:14.320]  所以我們訓練中心都是搬在福林隔壁的
[00:00:14.320 --> 00:00:16.320]  我們在對面街
[00:00:16.320 --> 00:00:22.020]  其實我今天特別帶了四個三藩市來的朋友
[00:00:22.020 --> 00:00:25.380]  我叫他們一定留在香港一個星期也好
[00:00:25.380 --> 00:00:27.380]  怎樣也要來一次這個地方
[00:00:27.380 --> 00:00:30.780]  為甚麼呢 因為帶回美國一個很重要的回憶
[00:00:30.780 --> 00:00:32.780]  就是一間教會
[00:00:32.780 --> 00:00:34.780]  就是他們住在人的中間
[00:00:34.780 --> 00:00:36.780]  在平民
[00:00:36.780 --> 00:00:38.780]  很有代表性的香港地方
[00:00:38.780 --> 00:00:41.780]  這裡有我相信有學歷很高的人
[00:00:41.780 --> 00:00:43.780]  也有勞動階層
[00:00:43.780 --> 00:00:45.780]  是甚麼人都有
[00:00:45.780 --> 00:00:47.780]  證明耶穌是可以影響甚麼人都可以的
[00:00:47.780 --> 00:00:49.780]  這個是很重要的
[00:00:49.780 --> 00:00:51.780]  所以希望你享受到
[00:00:51.780 --> 00:00:53.780]  這個是不容易的
[00:00:53.780 --> 00:00:57.780]  因為香港本身很多地方都是分了不同的租金
[00:00:57.780 --> 00:00:59.780]  不同的地價
[00:00:59.780 --> 00:01:01.780]  所以去某些地方
[00:01:01.780 --> 00:01:05.780]  可以說是一些比較富裕階層的教會
[00:01:05.780 --> 00:01:07.780]  某些地方在屋邨
[00:01:07.780 --> 00:01:09.780]  你見到很多都是基層
[00:01:09.780 --> 00:01:11.780]  但如果你看到在市區
[00:01:11.780 --> 00:01:13.780]  一個地方裏面
[00:01:13.780 --> 00:01:15.780]  是各種類型的人
[00:01:15.780 --> 00:01:17.780]  都在那裏敬拜上帝
[00:01:17.780 --> 00:01:19.780]  很少見到的
[00:01:19.780 --> 00:01:21.780]  所以你一定要來這裏看一看就是這個意思
[00:01:21.780 --> 00:01:23.780]  當然裏面的訊息很重要
[00:01:23.780 --> 00:01:25.780]  就是你在這裏看到
[00:01:25.780 --> 00:01:27.780]  那個崇拜敬拜的心情
[00:01:27.780 --> 00:01:29.780]  很真實
[00:01:29.780 --> 00:01:31.780]  這裏不是說很多儀式
[00:01:31.780 --> 00:01:35.780]  但真正最重要的就是心靈的敬拜
[00:01:35.780 --> 00:01:37.780]  所以我希望今天大家
[00:01:37.780 --> 00:01:39.780]  看聖經想的時候
[00:01:39.780 --> 00:01:41.780]  其實每一段聖經影響
[00:01:41.780 --> 00:01:43.780]  都是一生
[00:01:43.780 --> 00:01:45.780]  我昨天走的時候在升降機口
[00:01:45.780 --> 00:01:47.780]  我講這個題目的
[00:01:47.780 --> 00:01:49.780]  有位姐妹跟我說
[00:01:49.780 --> 00:01:51.780]  其實很久以前
[00:01:51.780 --> 00:01:55.780]  有位朋友在她的至親去世那天
[00:01:55.780 --> 00:01:57.780]  就給了她一條YouTube
[00:01:57.780 --> 00:01:59.780]  轉到手機裏她可以看
[00:01:59.780 --> 00:02:01.780]  她沒有看也沒有聽到
[00:02:01.780 --> 00:02:03.780]  直到最近
[00:02:03.780 --> 00:02:05.780]  她開始有點不開心
[00:02:05.780 --> 00:02:07.780]  想起她去世的至親
[00:02:07.780 --> 00:02:09.780]  怎知道
[00:02:09.780 --> 00:02:11.780]  她想起
[00:02:11.780 --> 00:02:13.780]  那位朋友發過我一個講座
[00:02:13.780 --> 00:02:15.780]  在YouTube 我相信是溫哥華
[00:02:15.780 --> 00:02:17.780]  她一按著手機
[00:02:17.780 --> 00:02:19.780]  第一句就在講
[00:02:19.780 --> 00:02:21.780]  這次的講座是講給
[00:02:21.780 --> 00:02:23.780]  已經剛剛失去了至親的人聽
[00:02:23.780 --> 00:02:25.780]  很不開心的人聽
[00:02:25.780 --> 00:02:27.780]  嚇了她一跳
[00:02:27.780 --> 00:02:29.780]  接著內容
[00:02:29.780 --> 00:02:31.780]  聽完之後她很舒服
[00:02:31.780 --> 00:02:33.780]  是不是巧合呢
[00:02:33.780 --> 00:02:35.780]  巧合是經常有的
[00:02:35.780 --> 00:02:37.780]  你打開電台
[00:02:37.780 --> 00:02:39.780]  隨時都會說
[00:02:39.780 --> 00:02:41.780]  我相信你是一個很美麗的女孩
[00:02:41.780 --> 00:02:43.780]  你都覺得是
[00:02:43.780 --> 00:02:45.780]  都覺得是
[00:02:45.780 --> 00:02:47.780]  覺得是很巧合
[00:02:47.780 --> 00:02:49.780]  不好意思音叔
[00:02:49.780 --> 00:02:51.780]  很巧合
[00:02:51.780 --> 00:02:53.780]  是吧
[00:02:53.780 --> 00:02:55.780]  但有些巧合
[00:02:55.780 --> 00:02:57.780]  是你自己承認的
[00:02:57.780 --> 00:02:59.780]  如果你說自己很醜
[00:02:59.780 --> 00:03:01.780]  那你自己又承認
[00:03:01.780 --> 00:03:03.780]  那就沒得說
[00:03:03.780 --> 00:03:05.780]  但有些巧合就不是
[00:03:05.780 --> 00:03:07.780]  而是你的心
[00:03:07.780 --> 00:03:09.780]  最需要的那件事
[00:03:09.780 --> 00:03:11.780]  影響了你的結果
[00:03:11.780 --> 00:03:13.780]  結果
[00:03:13.780 --> 00:03:15.780]  是令你的心情不同了
[00:03:15.780 --> 00:03:17.780]  那種就不是巧合
[00:03:17.780 --> 00:03:19.780]  那種是效果
[00:03:19.780 --> 00:03:21.780]  所以今天我們看看
[00:03:21.780 --> 00:03:23.780]  今天聖經講
[00:03:23.780 --> 00:03:25.780]  我相信大家在
[00:03:25.780 --> 00:03:27.780]  今天的周刊裡面都有
[00:03:27.780 --> 00:03:29.780]  很長
[00:03:29.780 --> 00:03:31.780]  不過其實重點
[00:03:31.780 --> 00:03:33.780]  是很直接的
[00:03:33.780 --> 00:03:35.780]  如果你今天的心情進來
[00:03:35.780 --> 00:03:37.780]  有一點點
[00:03:37.780 --> 00:03:39.780]  不開心
[00:03:39.780 --> 00:03:41.780]  可能不是關於開心事
[00:03:41.780 --> 00:03:43.780]  也可能
[00:03:43.780 --> 00:03:45.780]  你的心情突然想起
[00:03:45.780 --> 00:03:47.780]  你最想有個人今天跟你一起來
