
[00:00:00.000 --> 00:00:04.760]  各位網友大家好 歡迎收看《大紀元》的節目
[00:00:04.760 --> 00:00:09.220]  我是主持人王宗盛 今次是關於教會的問題
[00:00:09.220 --> 00:00:15.380]  我們是關於教會的問題 今天是關於教會的問題
[00:00:15.380 --> 00:00:20.260]  我們是關於教會的問題 今天是關於教會的問題
[00:00:20.260 --> 00:00:24.880]  我們是關於教會的問題 今天是關於教會的問題
[00:00:24.880 --> 00:00:35.280]  從萬邦選出來成為一體 同尊為一姓名 同蒙恩愛久長
[00:00:35.280 --> 00:00:42.600]  一個這麼珍貴的群體 卻不是一個沒有困難的群體
[00:00:42.600 --> 00:00:52.760]  它是受盡了艱難 旁人嘲笑譏評 內憎分裂了它的身體
[00:00:52.760 --> 00:01:06.840]  異端叛道離經 聖徒警醒心照問 黑夜到底多長?
[00:01:06.840 --> 00:01:14.520]  我不知道專政在這兩個月 或者在這四、五年之間
[00:01:14.520 --> 00:01:22.400]  有沒有事情發生過?有沒有討論進行過?
[00:01:22.400 --> 00:01:26.680]  有沒有撕裂進行中?
[00:01:26.680 --> 00:01:32.840]  或者問得更直接一點 在你自己的家裡
[00:01:32.840 --> 00:01:39.360]  大家之間的關係有沒有起了什麼變化?
[00:01:39.360 --> 00:01:44.180]  有時候是夫妻都不能夠談話
[00:01:44.180 --> 00:01:51.780]  父子之間、親子之間的關係都起了很嚴重的隔膜
[00:01:51.780 --> 00:02:00.820]  不過我觀察 一般教會最多的就是一向都平安無事
[00:02:00.820 --> 00:02:06.780]  親愛的弟兄姊妹 我不知道專政的情況是怎麼樣
[00:02:06.780 --> 00:02:09.340]  但是我作為主的僕人
[00:02:09.340 --> 00:02:17.380]  我是覺得應該是為著主的家來守望
[00:02:17.380 --> 00:02:25.420]  來看一下現在的處境 來瞻望前面可能出現的
[00:02:25.420 --> 00:02:28.180]  我最擔心的是什麼呢?
[00:02:28.180 --> 00:02:38.660]  我最擔心的就是碎片已經好像內傷一樣進入神的家裡面
[00:02:38.660 --> 00:02:44.260]  大家雖然表面是平靜無風無浪
[00:02:44.260 --> 00:02:50.180]  但是內心已經是碎成千千萬萬塊
[00:02:50.180 --> 00:03:00.060]  也都可能將有一天 內裡面的不同是浮在上面
[00:03:00.060 --> 00:03:04.420]  造成一個巨大的分裂
[00:03:04.420 --> 00:03:07.980]  照我所知道香港很多的堂會
[00:03:07.980 --> 00:03:12.180]  其實是默默地面對著這一切
[00:03:12.180 --> 00:03:15.980]  但是總沒有一個的聲音
[00:03:15.980 --> 00:03:20.820]  沒有人站起來說我們作為神的兒女
[00:03:20.820 --> 00:03:28.460]  我們不需要啞忍著 否認著一些的困難
[00:03:28.460 --> 00:03:35.420]  我們也都不需要是在事後來不及的時候
[00:03:35.420 --> 00:03:39.260]  才為著自己的家來探惜
[00:03:39.260 --> 00:03:43.980]  親愛的兄弟姐妹 其實我今天來和你分享信息
[00:03:43.980 --> 00:03:46.460]  我就想自己最近寫過一篇文章
[00:03:46.460 --> 00:03:49.180]  就是在這個對立、紛亂的情況下
[00:03:49.180 --> 00:03:51.940]  怎樣來宣講上帝的話語
[00:03:51.940 --> 00:03:55.420]  寫文章容易 來到現場
[00:03:55.420 --> 00:04:01.140]  我發覺自己都是有些不知所措
[00:04:01.140 --> 00:04:06.860]  但是感謝主給我最近來思考這個啟示錄的時候
[00:04:06.860 --> 00:04:09.780]  我覺得我們無論在什麼處境
[00:04:09.780 --> 00:04:14.780]  我們教會要像回教會
[00:04:14.780 --> 00:04:17.860]  你覺得教會應該是怎樣的?
[00:04:17.860 --> 00:04:20.860]  其實你和我對教會的想像
[00:04:20.860 --> 00:04:28.180]  可能是背離了耶穌基督對他教會的規劃
[00:04:28.180 --> 00:04:31.940]  耶穌基督的教會到底應該是做什麼的?
[00:04:31.940 --> 00:04:37.140]  我們大家都懂得答 一定是傳福音
[00:04:37.140 --> 00:04:40.460]  一定是做和平之子
[00:04:40.460 --> 00:04:42.940]  但是再追下去的時候
[00:04:42.940 --> 00:04:45.940]  我們發覺有時候我們根本是連地
[00:04:45.940 --> 00:04:49.540]  雙腳都未觸及那個地面
[00:04:49.540 --> 00:04:54.220]  我們一直是做一個避世離地的一個群體
[00:04:54.220 --> 00:04:57.740]  然後自己鼓勵自己說我們做得真是好
[00:04:57.740 --> 00:05:02.140]  因為世界上有任何的事情都和我們這個屬靈的家
[00:05:02.140 --> 00:05:05.380]  是半點關係都沒有的
[00:05:05.380 --> 00:05:07.860]  如果教會真是這樣的話
[00:05:07.860 --> 00:05:10.740]  那似乎教會應該早些被提
[00:05:10.740 --> 00:05:13.380]  如果教會是要著地的話
[00:05:13.380 --> 00:05:15.220]  那教會又怎樣著地呢?
[00:05:15.220 --> 00:05:19.540]  對不起 我們真是不敢 也都不懂
[00:05:19.540 --> 00:05:21.980]  但是在這一切的困難裡面
[00:05:21.980 --> 00:05:25.500]  當我們再回來思考神的話語的時候
[00:05:25.500 --> 00:05:28.780]  再瞻仰這一位我們剛才所歌頌的話
[00:05:28.780 --> 00:05:33.300]  「他已被尊崇 他名稱為王」
[00:05:33.300 --> 00:05:35.580]  稱為至尊的王
[00:05:35.580 --> 00:05:39.820]  我們說的全部都是對的
[00:05:39.820 --> 00:05:44.980]  但是這些東西如果要去拆那個禮物的包裹的時候
[00:05:44.980 --> 00:05:47.540]  如果要去將它落地的時候
[00:05:47.540 --> 00:05:49.740]  到底是怎樣呢?
[00:05:49.740 --> 00:05:51.180]  在啟示錄那裡
[00:05:51.180 --> 00:05:53.860]  是讓我們看到這一位的耶穌基督
[00:05:53.860 --> 00:05:56.420]  他既是這個曾被殺的羔羊
[00:05:56.420 --> 00:06:01.140]  同時也是那一位勇猛的猶大的獅子
[00:06:01.140 --> 00:06:05.820]  到底我們在耶穌基督的這兩方面認識的是甚麼呢?
[00:06:05.820 --> 00:06:09.180]  這兩方面是在這個揭開七印的時候
