
[00:00:00.000 --> 00:00:05.640]  今天和大家一起分享的經文
[00:00:05.640 --> 00:00:07.640]  或者一起思考的經文
[00:00:07.640 --> 00:00:13.360]  就是出自於《馬太福音》第六章第一至第四節
[00:00:13.360 --> 00:00:15.520]  也是登山部分
[00:00:15.520 --> 00:00:18.440]  我們可以進入第二個部分
[00:00:18.440 --> 00:00:22.320]  也是耶穌進入一個主要討論的題目
[00:00:22.320 --> 00:00:24.560]  的一連串的開首
[00:00:24.560 --> 00:00:28.440]  就是談論到有關於在猶太人當中
[00:00:28.440 --> 00:00:32.560]  三個重要的宗教活動的其中一件事
[00:00:32.560 --> 00:00:34.560]  就是論施捨
[00:00:34.560 --> 00:00:39.320]  讓我們在聆聽這段經文之前
[00:00:39.320 --> 00:00:42.200]  不如我們再一次打開這段經文讀一次
[00:00:42.200 --> 00:00:45.640]  很想我們能夠首先熟悉經文的內容
[00:00:45.640 --> 00:00:52.000]  讓我們一起打開《馬太福音》第六章第一至第四節
[00:00:52.000 --> 00:00:53.880]  你們要小心
[00:00:53.880 --> 00:00:58.320]  不可將善行行在人的面前
[00:00:58.320 --> 00:01:01.280]  故意叫他們看見
[00:01:01.280 --> 00:01:07.680]  若是這樣就不能得你們天賦的賞賜了
[00:01:07.680 --> 00:01:10.960]  所以你施捨的時候
[00:01:10.960 --> 00:01:14.000]  不可在你面前吹號
[00:01:14.000 --> 00:01:17.680]  將那假冒為善的人
[00:01:17.680 --> 00:01:21.600]  在會堂裡和街道上所行的
[00:01:21.600 --> 00:01:25.040]  故意要得人的榮耀
[00:01:25.040 --> 00:01:27.680]  我實在告訴你們
[00:01:27.680 --> 00:01:31.360]  他們已經得了他們的賞賜
[00:01:31.360 --> 00:01:33.520]  你施捨的時候
[00:01:33.520 --> 00:01:37.760]  不要叫左手知道右手所做的
[00:01:37.760 --> 00:01:42.160]  要叫你施捨的是行在暗中
[00:01:42.160 --> 00:01:45.200]  你負在暗中察看
[00:01:45.200 --> 00:01:48.400]  必然報答你
[00:01:48.400 --> 00:01:53.000]  若我們將《馬太福音》
[00:01:53.000 --> 00:01:58.960]  按照道德教化的宗旨來解釋的話
[00:01:58.960 --> 00:02:03.600]  其實很多人會很容易將《馬太福音》解釋完
[00:02:03.600 --> 00:02:10.040]  好像我們平時道德教導的課題
[00:02:10.040 --> 00:02:11.800]  但如果我們這樣做
[00:02:11.800 --> 00:02:14.280]  同時也會很容易
[00:02:14.280 --> 00:02:17.640]  讓我們失去了原本耶穌基督
[00:02:17.640 --> 00:02:20.280]  在這篇講章裡
[00:02:20.280 --> 00:02:24.120]  原本所應講的內容要旨
[00:02:24.120 --> 00:02:27.840]  今天我們所看的《馬太福音》第六章
[00:02:27.840 --> 00:02:29.520]  第一至第四節
[00:02:29.520 --> 00:02:32.160]  就是一個最好的例子
[00:02:32.160 --> 00:02:34.960]  因為很多時候不少的傳道人
[00:02:34.960 --> 00:02:37.080]  甚至牧師
[00:02:37.080 --> 00:02:39.240]  侍奉了主很多年的
[00:02:39.240 --> 00:02:41.600]  他們都很喜歡將這段經文
[00:02:41.600 --> 00:02:43.840]  冠上一個標題
[00:02:43.840 --> 00:02:47.320]  也都在和合本的聖經譯本上用了
[00:02:47.320 --> 00:02:49.960]  就叫做《論施捨》
[00:02:49.960 --> 00:02:52.400]  甚至他們利用這段經文
[00:02:52.400 --> 00:02:55.000]  來教導今天的信徒
[00:02:55.000 --> 00:02:56.680]  怎樣藉著這段聖經
[00:02:56.680 --> 00:03:00.840]  我們學會做一個低調的慈善家
[00:03:00.840 --> 00:03:03.280]  或者說我還沒到這麼高級
[00:03:03.280 --> 00:03:05.760]  還沒到慈善家這麼重要
[00:03:05.760 --> 00:03:07.480]  所以有些牧者就說
[00:03:07.480 --> 00:03:08.880]  不做慈善家
[00:03:08.880 --> 00:03:11.520]  你都要至少學會
[00:03:11.520 --> 00:03:12.920]  幫你去施捨
[00:03:12.920 --> 00:03:15.400]  不要張揚
[00:03:15.400 --> 00:03:18.920]  究竟耶穌說這番話
[00:03:18.920 --> 00:03:21.360]  在這段講道裡面
[00:03:21.360 --> 00:03:25.160]  是不是真的為了這個目的而去說呢?
[00:03:25.160 --> 00:03:28.360]  而馬太福音的作者馬太
[00:03:28.360 --> 00:03:30.400]  當他記錄第六章
[00:03:30.400 --> 00:03:33.000]  第一至第四節的經文的時候
[00:03:33.000 --> 00:03:35.800]  也都是不是好像這些傳道人
[00:03:35.800 --> 00:03:40.800]  他們原本以為寫這段聖經的目的呢?
[00:03:40.800 --> 00:03:44.120]  今天我們就來探究一下這個問題
[00:03:44.120 --> 00:03:46.440]  也都在這個探究的過程當中
[00:03:46.440 --> 00:03:47.680]  我們會發現到
[00:03:47.680 --> 00:03:50.920]  原來耶穌要說的主旨
[00:03:50.920 --> 00:03:54.920]  是更深過這個所談論到的所謂
[00:03:54.920 --> 00:03:57.760]  論施捨的題目
[00:03:57.760 --> 00:04:01.160]  今天所以和大家一起去說這段經文的
[00:04:01.160 --> 00:04:03.360]  我要給了一個題目
[00:04:03.360 --> 00:04:07.600]  叫做我的屬靈生命向著水
[00:04:07.600 --> 00:04:12.200]  Who am I spiritual life pondering
[00:04:12.200 --> 00:04:14.520]  我們會透過馬太福音第六章
[00:04:14.520 --> 00:04:18.040]  第一至第四節一起去思想這段經文
[00:04:18.040 --> 00:04:20.480]  我們會分為兩個部分一起去看的
[00:04:20.480 --> 00:04:22.600]  第一個部分我們會去看的
[00:04:22.600 --> 00:04:25.960]  就是第六章的第一節
[00:04:25.960 --> 00:04:27.400]  為了方便大家
[00:04:27.400 --> 00:04:30.680]  我將這部分給了一個副題
[00:04:30.680 --> 00:04:34.280]  叫做要得誰加許呢?
[00:04:34.280 --> 00:04:37.080]  Whose acknowledgement?
[00:04:37.080 --> 00:04:40.040]  我們再去讀多一次這段經文好嗎?
[00:04:40.040 --> 00:04:41.840]  第六章的第一節
[00:04:41.840 --> 00:04:44.760]  讓我們去看一下這段經文說些什麼
[00:04:44.760 --> 00:04:46.440]  這段經文是這麼說的
[00:04:46.440 --> 00:04:48.680]  你們要小心
[00:04:48.680 --> 00:04:52.840]  不可將善行行在人的面前
[00:04:52.840 --> 00:04:56.040]  故意叫他們看見
[00:04:56.040 --> 00:05:03.400]  若是這樣就不能得你們天賦的賞賜了
[00:05:03.400 --> 00:05:04.680]  在一開始的時候
[00:05:04.680 --> 00:05:06.240]  我已經說過給大家知道
[00:05:06.240 --> 00:05:10.520]  猶太人有三大宗教活動
[00:05:10.520 --> 00:05:14.800]  在他們平日的生活中經常發現的
[00:05:14.800 --> 00:05:17.000]  第一個就是施捨
[00:05:17.000 --> 00:05:19.440]  第二就是禱告
[00:05:19.440 --> 00:05:21.560]  第三就是禁食
[00:05:21.560 --> 00:05:24.880]  而這三個題目就在接下來的第六章中
[00:05:24.880 --> 00:05:27.320]  開始介紹給我們看
[00:05:27.320 --> 00:05:29.920]  而我們首先要明白的就是
[00:05:29.920 --> 00:05:36.560]  原來論施捨、禱告和禁食三個題目
[00:05:36.560 --> 00:05:42.080]  雖然看起來好像三個完全沒有關係的題目
[00:05:42.080 --> 00:05:45.120]  其實在他的要旨上
[00:05:45.120 --> 00:05:47.640]  互相的緊扣
[00:05:47.640 --> 00:05:53.840]  這也是正式耶穌要在他向著這群門徒教導
[00:05:53.840 --> 00:05:56.800]  去預備猜他們出去傳道的時候
[00:05:56.800 --> 00:06:00.720]  一個很重要的討論的部分
[00:06:00.720 --> 00:06:04.960]  因為當他經過了這三個題目去討論的時候
[00:06:04.960 --> 00:06:09.840]  所有這些門徒應該他們已經有一個更深的了解
[00:06:09.840 --> 00:06:13.840]  帶著一個什麼樣的心態或者心智
[00:06:13.840 --> 00:06:18.240]  在他們將來的侍奉的路程上
[00:06:18.240 --> 00:06:20.920]  怎樣一路與上帝同行
[00:06:20.920 --> 00:06:23.920]  我們看回剛才第六章的第一節
[00:06:23.920 --> 00:06:27.600]  第六章第一節是在希臘文裡面
[00:06:27.600 --> 00:06:32.440]  以一種命令式或者勸導式的一個說話
[00:06:32.440 --> 00:06:37.680]  向當時的群眾作出一連串的講論
[00:06:37.680 --> 00:06:42.200]  所以在這段聖經裡面就很特別地去介紹到
[00:06:42.200 --> 00:06:45.320]  他說你們要小心
[00:06:45.320 --> 00:06:48.760]  這個是一個很大的警醒
[00:06:48.760 --> 00:06:52.920]  是一個很重要作為一個好像一個導師
[00:06:52.920 --> 00:06:57.120]  向他的學生一個很清楚的提醒
[00:06:57.120 --> 00:07:00.400]  這件事是非常之重要的
[00:07:00.400 --> 00:07:01.480]  是什麼呢?
[00:07:01.480 --> 00:07:06.680]  不可將善行行在人的面前
[00:07:06.680 --> 00:07:08.200]  為什麼呢?
[00:07:08.200 --> 00:07:09.880]  我們如果就這樣讀下去
[00:07:09.880 --> 00:07:11.600]  我們覺得很奇怪
[00:07:11.600 --> 00:07:14.120]  做善行被人不知道為什麼
[00:07:14.120 --> 00:07:16.520]  不知道那別人怎麼知道我做了善行
[00:07:16.520 --> 00:07:18.280]  如果我不做給他知道
[00:07:18.280 --> 00:07:20.280]  他又怎麼來得到去拿這些
[00:07:20.280 --> 00:07:23.400]  我向他作出的善行
[00:07:23.400 --> 00:07:25.040]  我們看一下在這裡
[00:07:25.040 --> 00:07:27.520]  耶穌當講完這句話
[00:07:27.520 --> 00:07:31.440]  原來他提出了有一些人有個原因
[00:07:31.440 --> 00:07:33.120]  去做善行的
[00:07:33.120 --> 00:07:38.360]  原來有些人去做善行是故意叫他們看見
[00:07:38.360 --> 00:07:39.720]  什麼叫他們?
[00:07:39.720 --> 00:07:44.280]  是叫其他的人去看到
[00:07:44.280 --> 00:07:48.040]  耶穌這樣說其實是很清楚界定到
[00:07:48.040 --> 00:07:50.920]  原來耶穌叫人去行善
[00:07:50.920 --> 00:07:54.120]  不要讓人看得到他行善
[00:07:54.120 --> 00:07:57.880]  因為這樣會造成一個局面
[00:07:57.880 --> 00:07:58.880]  這是什麼局面呢?
