
[00:00:00.000 --> 00:00:02.000]  (字幕:王毅)
[00:00:03.000 --> 00:00:04.520]  各位姐妹平安
[00:00:04.520 --> 00:00:07.520]  家裏參加聚會的平安
[00:00:07.520 --> 00:00:10.520]  今天我們來到這個啟示錄
[00:00:10.520 --> 00:00:12.520]  是第20章
[00:00:12.520 --> 00:00:17.640]  啟示錄一直是邁向一個高潮
[00:00:17.640 --> 00:00:21.800]  那麼來到這個20章
[00:00:21.800 --> 00:00:28.600]  就有一個很令人著迷的一個題目
[00:00:28.600 --> 00:00:31.360]  就是這個一千年
[00:00:31.840 --> 00:00:33.840]  那一千年到底是怎樣
[00:00:33.840 --> 00:00:40.680]  也都大家可能聽過不同的千禧年的論點
[00:00:40.680 --> 00:00:43.800]  其實都是頗為複雜的
[00:00:43.800 --> 00:00:47.600]  不過我不想一開始的時候
[00:00:47.600 --> 00:00:50.160]  令到大家頭暈眼花
[00:00:50.160 --> 00:00:54.720]  寧願回到啟示錄
[00:00:54.720 --> 00:00:57.400]  它整個的題材裏面
[00:00:57.400 --> 00:01:01.320]  最重要的就是一個意象的題材
[00:01:01.920 --> 00:01:05.720]  一直在看幾個不同的意象
[00:01:05.720 --> 00:01:08.120]  基本上在20章裏面
[00:01:08.120 --> 00:01:11.920]  有四個的我看見我看見我看見
[00:01:11.920 --> 00:01:14.640]  不過第三第四個特別是第三個
[00:01:14.640 --> 00:01:16.400]  是只有一句我看見而已
[00:01:16.400 --> 00:01:18.800]  接著就有第四樣的看見
[00:01:18.800 --> 00:01:23.240]  所以我基本上將這個變成是三個的看見
[00:01:23.240 --> 00:01:24.520]  來講的
[00:01:24.520 --> 00:01:27.880]  第一個看見的是什麼呢
[00:01:28.520 --> 00:01:33.320]  就是看見這個撒旦的被捆綁
[00:01:33.320 --> 00:01:36.120]  第一節至到第三節
[00:01:36.120 --> 00:01:39.880]  就是看見一幕相當之暴力的
[00:01:39.880 --> 00:01:43.040]  提天上的一位的天使
[00:01:43.040 --> 00:01:46.520]  他拿著這個無底坑的鎖匙
[00:01:46.520 --> 00:01:49.120]  和一條的大鎖鏈
[00:01:49.120 --> 00:01:51.360]  一抓就抓住
[00:01:51.360 --> 00:01:53.440]  那一條的蛇
[00:01:53.440 --> 00:01:55.040]  那一條的龍
[00:01:55.040 --> 00:01:56.800]  那一個的魔鬼
[00:01:56.800 --> 00:01:58.480]  那一個的撒旦
[00:01:58.840 --> 00:02:00.040]  將他捆綁
[00:02:00.040 --> 00:02:05.080]  那這些都是很有力的一種的行動來的
[00:02:05.080 --> 00:02:08.520]  扔在這個無底坑裏面
[00:02:08.520 --> 00:02:11.280]  將這個無底坑關起來
[00:02:11.280 --> 00:02:15.760]  然後用印封住那個出口
[00:02:15.760 --> 00:02:21.680]  使得這個教會的
[00:02:21.680 --> 00:02:25.320]  這個基督的受敵
[00:02:26.280 --> 00:02:31.400]  不能夠再在這個列國上面做他那份工作
[00:02:31.400 --> 00:02:33.280]  做什麼工作呢
[00:02:33.280 --> 00:02:38.480]  就是做這個迷惑列國的工作
[00:02:38.480 --> 00:02:43.280]  那這裏我相信是整本聖經
[00:02:43.280 --> 00:02:46.280]  可能是對魔鬼
[00:02:46.280 --> 00:02:51.080]  就是一個相當之全面的描述
[00:02:51.080 --> 00:02:53.280]  幾個不同的名稱
[00:02:54.400 --> 00:02:57.800]  龍在啟示錄裏面才出現的
[00:02:57.800 --> 00:02:59.320]  大家都記得
[00:02:59.320 --> 00:03:04.080]  一直在說這個敵對者的力量
[00:03:04.080 --> 00:03:05.880]  那個破壞性
[00:03:05.880 --> 00:03:09.840]  古蛇大家一想就想到這個《藏世紀》第三章
[00:03:09.840 --> 00:03:10.480]  我相信
[00:03:10.480 --> 00:03:12.960]  都是傷害人
[00:03:12.960 --> 00:03:14.080]  引誘人
[00:03:14.080 --> 00:03:18.560]  而這個控訴者是他其中一樣
[00:03:18.560 --> 00:03:20.520]  然後撒旦
[00:03:20.520 --> 00:03:23.800]  這個就是希伯來文的直接的音譯
[00:03:24.320 --> 00:03:26.320]  就是那個對頭
[00:03:26.320 --> 00:03:27.320]  死對頭
[00:03:27.320 --> 00:03:33.040]  這個惡者他被捆綁一千年
[00:03:33.040 --> 00:03:35.440]  一聽見都開心
[00:03:35.440 --> 00:03:37.760]  知道他的能力
[00:03:37.760 --> 00:03:39.760]  他的行動
[00:03:39.760 --> 00:03:41.680]  是會受到約束的
[00:03:41.680 --> 00:03:43.480]  是會受到限制的
[00:03:43.480 --> 00:03:46.720]  我想我們大家
[00:03:46.720 --> 00:03:49.120]  在這個惡者的工作的時候
[00:03:49.120 --> 00:03:50.480]  真的不要忘記
[00:03:50.480 --> 00:03:53.840]  他所做的就是引人走錯路
[00:03:54.840 --> 00:03:57.680]  有得來迷惑人就迷惑人
[00:03:57.680 --> 00:04:00.040]  怎樣迷惑呢
[00:04:00.040 --> 00:04:07.840]  主耶穌說他是雪方的人的父親
[00:04:07.840 --> 00:04:10.840]  是專門說謊的
[00:04:10.840 --> 00:04:15.040]  也說他是殺人的
[00:04:15.040 --> 00:04:17.040]  是謀殺者
[00:04:17.040 --> 00:04:20.320]  從主耶穌自己面對的事情
[00:04:20.320 --> 00:04:23.040]  我們可以知道這個惡者
[00:04:23.040 --> 00:04:24.720]  他慣用的技倆是什麼
[00:04:24.720 --> 00:04:27.920]  大家記得那個試探
[00:04:27.920 --> 00:04:30.720]  主耶穌說人活著不是單靠食物
[00:04:30.720 --> 00:04:33.920]  主耶穌說不可試探主你的神
[00:04:33.920 --> 00:04:35.720]  主耶穌說
[00:04:35.720 --> 00:04:38.920]  是只要單單敬拜他、侍奉他
[00:04:38.920 --> 00:04:43.320]  主耶穌是拒絕了這個誘惑人的
[00:04:43.320 --> 00:04:44.840]  這個誘惑人的誘惑
[00:04:44.840 --> 00:04:46.120]  什麼來誘惑呢
[00:04:46.120 --> 00:04:48.320]  不外乎是物慾
[00:04:49.040 --> 00:04:50.440]  不外乎是情慾
[00:04:50.440 --> 00:04:53.840]  也不外乎是權勢
[00:04:53.840 --> 00:04:58.240]  這個對於我們跟從基督的人來說
[00:04:58.240 --> 00:05:00.840]  是一個很重要的提醒
[00:05:00.840 --> 00:05:04.440]  而列國就是外邦的人
[00:05:04.440 --> 00:05:06.640]  不斷的受迷惑
[00:05:06.640 --> 00:05:11.040]  都是受到他這一類的作為的迷惑
[00:05:11.040 --> 00:05:13.440]  但是我們看到的
[00:05:13.440 --> 00:05:16.040]  就是第一個的異象
[00:05:16.040 --> 00:05:18.240]  就是他受捆綁一千年
