
[00:00:00.000 --> 00:00:06.000]  我希望你看到我笑 收起口罩
[00:00:06.000 --> 00:00:11.240]  多謝你 我和我太太初到貴境了 在結婚之後
[00:00:11.240 --> 00:00:14.360]  今天也是我第一次結婚之後講的
[00:00:14.360 --> 00:00:19.200]  關於婚姻愛情的 所以要講好一點
[00:00:19.200 --> 00:00:22.000]  時間就容許我講一個小時
[00:00:22.000 --> 00:00:26.360]  不過很多謝前面新來的兩位好朋友
[00:00:26.360 --> 00:00:29.400]  他們今早聽我講到現在
[00:00:29.400 --> 00:00:33.800]  今早我在聖山一堂講這個顏關的聚會
[00:00:33.800 --> 00:00:37.000]  其實我剛才看到在代禱事項裏面
[00:00:37.000 --> 00:00:41.600]  很多夫妻都經歷一個很大的考驗 就是其中一個病了
[00:00:41.600 --> 00:00:46.200]  另一個人成為他的助力 有多少呢
[00:00:46.200 --> 00:00:48.800]  今早我們講了很久這個問題
[00:00:48.800 --> 00:00:50.800]  其實今天是一個很有情的今天
[00:00:50.800 --> 00:00:54.600]  三十多年前 我在特殊學校做社工的時候
[00:00:54.600 --> 00:01:00.200]  有一位智商比較低的同學
[00:01:00.200 --> 00:01:03.000]  今天就是他的安息禮拜
[00:01:03.000 --> 00:01:07.600]  很可惜我去不到 他的家人請我講慰勉
[00:01:07.600 --> 00:01:10.200]  因為我答應了聖山一堂講顏關
[00:01:10.200 --> 00:01:13.600]  同時也是上午十點至十二點
[00:01:13.600 --> 00:01:16.600]  但我托了一位傳道人代我講
[00:01:16.600 --> 00:01:20.400]  但我心情其實一直都是很想這個同學
[00:01:20.400 --> 00:01:24.800]  為什麼呢 就是因為他死了之後
[00:01:24.800 --> 00:01:28.400]  他的媽媽 他的哥哥在電話跟我說
[00:01:28.400 --> 00:01:33.000]  我們從來都不知道我們的兒子
[00:01:33.000 --> 00:01:35.400]  原來是一個很快樂的十分仔
[00:01:35.400 --> 00:01:39.400]  他從來都不知道 原來這個同學死了之後
[00:01:39.400 --> 00:01:44.400]  他的媽媽就在他的抽屜裏面找到很多照片
[00:01:44.400 --> 00:01:47.400]  是他在外面上班的地方
[00:01:47.400 --> 00:01:50.400]  跟很多朋友笑哈哈地拍的照片
[00:01:50.400 --> 00:01:53.400]  但他這個樣子在家裏是沒有出現過的
[00:01:53.400 --> 00:01:56.400]  我一生的遺憾就是我們的兒子
[00:01:56.400 --> 00:01:58.400]  在這麼開心的時間裏面
[00:01:58.400 --> 00:02:01.400]  我們是不知道的 我們是沒有見過的
[00:02:01.400 --> 00:02:03.400]  原來我的兒子是這麼開心在外面的
[00:02:03.400 --> 00:02:07.400]  這句話令我很快樂心醒
[00:02:07.400 --> 00:02:11.400]  你老公老婆在外面不是很開心嗎
[00:02:11.400 --> 00:02:15.400]  你到現在都不知道
[00:02:15.400 --> 00:02:17.400]  他很沒變的
[00:02:17.400 --> 00:02:20.400]  可能今天要從頭再想愛是什麼
[00:02:20.400 --> 00:02:22.400]  所以今天內容很好
[00:02:22.400 --> 00:02:24.400]  我想過愛有七個like
[00:02:24.400 --> 00:02:27.400]  如果你看聖經 愛是什麼真的有七個
[00:02:27.400 --> 00:02:30.400]  但今天就不是這麼嚴肅講
[00:02:30.400 --> 00:02:33.400]  但也很嚴肅看 你有沒有經驗過這些東西
[00:02:33.400 --> 00:02:35.400]  如果你有經驗的話
[00:02:35.400 --> 00:02:40.400]  我想你這個婚姻 結婚是真的很精彩
[00:02:40.400 --> 00:02:43.400]  未遲 未遲 現在開始再試下
[00:02:43.400 --> 00:02:45.400]  我分三部份講
[00:02:45.400 --> 00:02:48.400]  一部份是講愛有七個like
[00:02:48.400 --> 00:02:55.400]  第二就是愛情可不可以改變人婚姻裏面最難的那件事
[00:02:55.400 --> 00:02:57.400]  一會兒我講最難的是什麼
[00:02:57.400 --> 00:02:59.400]  我想用證據講出來給你聽
[00:02:59.400 --> 00:03:01.400]  是聖經 不是我講的 是聖經
[00:03:01.400 --> 00:03:03.400]  第三就是做一個實習
[00:03:03.400 --> 00:03:06.400]  我知道下次再來講
[00:03:06.400 --> 00:03:09.400]  但也有個好勇氣 你走了
[00:03:09.400 --> 00:03:13.400]  我想在下次再見之前 你做好這些事
[00:03:13.400 --> 00:03:15.400]  下次再見你 保全 保難 很好
[00:03:15.400 --> 00:03:18.400]  這個就是我功成身退 今天講完之後
[00:03:18.400 --> 00:03:21.400]  但如果不行 你不要找我算帳
[00:03:21.400 --> 00:03:23.400]  你看看聖經
[00:03:23.400 --> 00:03:25.400]  我開始的時候講一下愛是什麼
[00:03:25.400 --> 00:03:30.400]  你會讀很熟 會念 但我想挑戰你
[00:03:30.400 --> 00:03:35.400]  在聖經哪裏你見過同樣的東西 在哪裏見過
[00:03:35.400 --> 00:03:39.400]  我覺得基督教有一個不是弱點 是一個特徵
[00:03:39.400 --> 00:03:43.400]  例如崇拜 你會讚美上帝
[00:03:43.400 --> 00:03:46.400]  你感謝祂拯救你
[00:03:46.400 --> 00:03:49.400]  你感謝祂愛不變
[00:03:49.400 --> 00:03:53.400]  差不多十首到九首歌都是講這件事
[00:03:53.400 --> 00:03:55.400]  但如果我是一個社工
[00:03:55.400 --> 00:04:00.400]  我唯一略為一點批評 批評基督教 一點點
[00:04:00.400 --> 00:04:04.400]  基督教的歌不是很多人際關係
[00:04:04.400 --> 00:04:09.400]  不是很多教我們怎樣和人家好的
[00:04:09.400 --> 00:04:14.400]  雖然有教我們愛 但你數給我聽
[00:04:14.400 --> 00:04:19.400]  有多少首歌是講人和人 妻子和丈夫
[00:04:19.400 --> 00:04:22.400]  爸爸媽媽和子女 兄弟和姐妹
[00:04:22.400 --> 00:04:25.400]  是一起相處 要怎樣怎樣
[00:04:25.400 --> 00:04:26.400]  這首歌很少
[00:04:26.400 --> 00:04:30.400]  我就懷疑基督教的作曲家 作詞人
[00:04:30.400 --> 00:04:35.400]  他們經歷愛是有少少抽象
[00:04:35.400 --> 00:04:39.400]  其實看回聖經 今天我想講不是的
[00:04:39.400 --> 00:04:41.400]  聖經講得很清楚
[00:04:41.400 --> 00:04:45.400]  如果你拿著這些來作曲作詞 是有的
