
[00:00:00.000 --> 00:00:07.000]  今天的題目是經歷神的2
[00:00:07.000 --> 00:00:11.000]  經歷神的1,你會說我沒有聽過,不要緊
[00:00:11.000 --> 00:00:16.000]  那你聽回上一次我們所講到的內容
[00:00:16.000 --> 00:00:21.000]  不過不要緊,今天我們集中的課題
[00:00:21.000 --> 00:00:26.000]  是繼續我們上一次所講所分享的
[00:00:26.000 --> 00:00:31.000]  上一次我們講到如果我們打開聖經
[00:00:31.000 --> 00:00:34.000]  很認真地看聖經裡面的人物
[00:00:34.000 --> 00:00:39.000]  和他們的經驗,他們經歷神是怎樣的呢?
[00:00:39.000 --> 00:00:41.000]  我們會看到一幅圖畫
[00:00:41.000 --> 00:00:44.000]  那幅圖畫就是聖經裡面的人物
[00:00:44.000 --> 00:00:49.000]  他所經歷的神是很真實的,很活生生的
[00:00:49.000 --> 00:00:54.000]  神不斷可以跟他們說話,他就聽到神跟他們說話
[00:00:54.000 --> 00:00:58.000]  他又看到神的手不斷地介入他們的生命當中
[00:00:58.000 --> 00:01:01.000]  甚至扭轉他們本來的計劃
[00:01:01.000 --> 00:01:05.000]  他所碰見的困難,神在那裡出現
[00:01:05.000 --> 00:01:14.000]  來到很奇妙地進行神自己的力量表現出來
[00:01:14.000 --> 00:01:19.000]  這個就是聖經裡面我們所見到那些人的經歷
[00:01:19.000 --> 00:01:22.000]  我們提出,如果我們比較一下我們自己
[00:01:22.000 --> 00:01:24.000]  或者我們有些信徒
[00:01:24.000 --> 00:01:29.000]  信了神這麼久,為什麼跟他們不同呢?
[00:01:29.000 --> 00:01:34.000]  為什麼神在你和我的生命的身上這麼模糊呢?
[00:01:34.000 --> 00:01:38.000]  好像有他和沒有他沒有什麼分別
[00:01:38.000 --> 00:01:41.000]  為什麼他們的經歷我們沒有呢?
[00:01:41.000 --> 00:01:45.000]  這個就是我們起始點要問的問題
[00:01:45.000 --> 00:01:51.000]  我們再研究過,其實神沒有改變他的策略
[00:01:51.000 --> 00:01:54.000]  不是說神在聖經裡面這樣對待人
