
[00:00:00.000 --> 00:00:09.000]  在1623年11月29日星期四
[00:00:09.000 --> 00:00:15.000]  當時一班從英國移民到美國的一些殖民
[00:00:15.000 --> 00:00:21.000]  他們經歷過有兩三年最痛苦最艱辛的生活
[00:00:21.000 --> 00:00:23.000]  到了第三年的時候
[00:00:23.000 --> 00:00:25.000]  因為他們那一年封修
[00:00:25.000 --> 00:00:29.000]  當時在這個殖民地Primack總督William Bradford
[00:00:29.000 --> 00:00:33.000]  發表了非常重要的一篇演詞
[00:00:33.000 --> 00:00:37.000]  這年是英國人去到美洲第三年
[00:00:37.000 --> 00:00:41.000]  他們齊集在教堂聽總督Bradford的演講
[00:00:41.000 --> 00:00:43.000]  他的演詞是這樣說
[00:00:43.000 --> 00:00:47.000]  各位移民來到美洲的弟兄姊妹
[00:00:47.000 --> 00:00:49.000]  上帝今年給我們有豐收
[00:00:49.000 --> 00:00:54.000]  無論是麥、豆、菜、粟米等等的土產
[00:00:54.000 --> 00:00:57.000]  或者是海裡的魚、蝦、森林的野味
[00:00:57.000 --> 00:00:59.000]  都是豐豐富富的賜給我們
[00:00:59.000 --> 00:01:03.000]  以致我們有豐盛的米糧度過嚴寒的冬天
[00:01:03.000 --> 00:01:07.000]  常常保守我們免疾病、瘟疫、生番的侵襲
[00:01:07.000 --> 00:01:09.000]  讓我們的生命質以保存
[00:01:09.000 --> 00:01:13.000]  真是感謝上帝讓我們可以自由的敬拜祂
[00:01:13.000 --> 00:01:15.000]  不再受到迫害
[00:01:15.000 --> 00:01:17.000]  現在我作為你們的總督
[00:01:17.000 --> 00:01:19.000]  向你們男女老幼宣告
[00:01:19.000 --> 00:01:21.000]  無論是齊集在這裡
[00:01:21.000 --> 00:01:23.000]  或者是田間工作
[00:01:23.000 --> 00:01:24.000]  或者是野外工作
[00:01:24.000 --> 00:01:27.000]  規定每年第三個星期四
[00:01:27.000 --> 00:01:29.000]  11月的第三個星期四
[00:01:29.000 --> 00:01:31.000]  是為感恩節
[00:01:31.000 --> 00:01:35.000]  多謝我們全能的上帝和豐盛的恩惠
[00:01:35.000 --> 00:01:37.000]  每逢感恩節的時候
[00:01:37.000 --> 00:01:40.000]  你們要聆聽牧師的講道
[00:01:40.000 --> 00:01:43.000]  向上帝獻上你們感恩的祭
[00:01:43.000 --> 00:01:45.000]  上個星期四
[00:01:45.000 --> 00:01:47.000]  是美國的感恩節
[00:01:47.000 --> 00:01:50.000]  感恩節就由過日開始
[00:01:50.000 --> 00:01:52.000]  1、6、2、3年
[00:01:52.000 --> 00:01:55.000]  每年都有感恩節
[00:01:55.000 --> 00:01:57.000]  加拿大的感恩節是10月
[00:01:57.000 --> 00:02:01.000]  美國的感恩節是11月的第三個星期四
[00:02:01.000 --> 00:02:04.000]  在美國居住了十多二十年
[00:02:04.000 --> 00:02:07.000]  有很多事的印象都不是很深刻
[00:02:07.000 --> 00:02:09.000]  但最深刻的其中一樣東西
[00:02:09.000 --> 00:02:11.000]  就是美國的感恩節
[00:02:11.000 --> 00:02:13.000]  感恩節和其他節很不同
