
[00:00:00.000 --> 00:00:06.000]  請我們再打開我們今天所思想的經文
[00:00:06.000 --> 00:00:10.000]  我們就這樣看這段經文就不喜歡說什麼
[00:00:10.000 --> 00:00:12.000]  我們再看一看好不好
[00:00:12.000 --> 00:00:15.000]  老家分11章29至32節
[00:00:15.000 --> 00:00:17.000]  我們一起讀好不好
[00:00:17.000 --> 00:00:19.000]  當眾人聚集的時候
[00:00:19.000 --> 00:00:21.000]  耶穌開講說
[00:00:21.000 --> 00:00:23.000]  這世代是一個邪惡的世代
[00:00:23.000 --> 00:00:25.000]  他們求看神蹟
[00:00:25.000 --> 00:00:28.000]  除了若拿的神蹟以外將會有神蹟給他們看
[00:00:28.000 --> 00:00:31.000]  若拿怎樣為利利美人成了神蹟
[00:00:31.000 --> 00:00:35.000]  人子也照這樣為這世代的人成了神蹟
[00:00:35.000 --> 00:00:37.000]  當審判的時候
[00:00:37.000 --> 00:00:40.000]  南方的女王要起來定這世代的罪
[00:00:40.000 --> 00:00:42.000]  因為她從地極而來
[00:00:42.000 --> 00:00:44.000]  要聽所羅門王的智慧話
[00:00:44.000 --> 00:00:47.000]  看吧 在這裡有一個人比所羅門更大
[00:00:47.000 --> 00:00:49.000]  當審判的時候
[00:00:49.000 --> 00:00:52.000]  利利美人要起來定這世代的罪
[00:00:52.000 --> 00:00:55.000]  因為利利美人聽了若拿所傳的就悔改了
[00:00:55.000 --> 00:00:59.000]  看吧 在這裡有一個人比若拿更大
[00:00:59.000 --> 00:01:04.000]  我想大家用一些想像力去想一想
[00:01:04.000 --> 00:01:08.000]  假如之間你有耶穌這樣的神力
[00:01:08.000 --> 00:01:10.000]  能夠用五個漢堡包
[00:01:10.000 --> 00:01:12.000]  兩包薯條
[00:01:12.000 --> 00:01:14.000]  吃飽五千個男人
[00:01:14.000 --> 00:01:18.000]  你也可以是誰有病呢
[00:01:18.000 --> 00:01:20.000]  碰一碰他 他就好了
[00:01:20.000 --> 00:01:23.000]  你又可以叫死人復活
[00:01:23.000 --> 00:01:26.000]  你也可以是警惡懲奸
[00:01:26.000 --> 00:01:30.000]  將這個很不公義的社會改變
[00:01:30.000 --> 00:01:32.000]  如果你有這樣的神力
[00:01:32.000 --> 00:01:34.000]  今天來到三藩市
[00:01:34.000 --> 00:01:36.000]  你會做些什麼呢
[00:01:36.000 --> 00:01:40.000]  我相信任何一個人
[00:01:40.000 --> 00:01:43.000]  都好像我這樣想
[00:01:43.000 --> 00:01:46.000]  我第一件事就是去荔安
[00:01:46.000 --> 00:01:48.000]  到尖陽維容的時候
[00:01:48.000 --> 00:01:50.000]  到我走到的時候
[00:01:50.000 --> 00:01:52.000]  我就停在這裡
[00:01:52.000 --> 00:01:54.000]  弟兄 起來
[00:01:54.000 --> 00:01:57.000]  然後我就將這個弟兄交回給他爸爸媽媽
[00:01:57.000 --> 00:01:59.000]  現在給回你了 不用哭了
[00:01:59.000 --> 00:02:01.000]  回去吃素變成吃早餐
[00:02:01.000 --> 00:02:04.000]  我就會去到大學醫院
[00:02:04.000 --> 00:02:06.000]  看看誰有病的
[00:02:06.000 --> 00:02:09.000]  所有醫生都被解雇了
[00:02:09.000 --> 00:02:14.000]  我會叫這個世界是一個公義的社會
[00:02:14.000 --> 00:02:16.000]  一個和平的社會
[00:02:16.000 --> 00:02:19.000]  我會叫這個天下太平
[00:02:19.000 --> 00:02:22.000]  因為我有這樣的能力
[00:02:22.000 --> 00:02:24.000]  我不去做
[00:02:24.000 --> 00:02:26.000]  我能夠去醫病 我不去醫
[00:02:26.000 --> 00:02:28.000]  我能夠叫死人復活
[00:02:28.000 --> 00:02:30.000]  我不去叫死人復活
[00:02:30.000 --> 00:02:33.000]  我想我對不起我有這樣的能力
[00:02:33.000 --> 00:02:36.000]  我相信任何人都像我這樣想
