
[00:00:00.000 --> 00:00:11.520]  1990年至1994年間,加拿大教會發生了一件很驚人的事件
[00:00:11.520 --> 00:00:18.320]  在1990年至1994年之間,在加拿大教會發現一件非常驚人的事件
[00:00:18.320 --> 00:00:21.120]  在這個時間,當你去到教會的時候
[00:00:21.120 --> 00:00:23.760]  這個時間如果你去到教會的時候
[00:00:23.760 --> 00:00:29.200]  很多時候你會聽到基督徒或者信徒都會談論一件事情
[00:00:29.200 --> 00:00:33.360]  很多人經常都去做見證說我又得到上帝的呼召
[00:00:33.360 --> 00:00:38.080]  很多人去做見證他們說他又得到上帝的呼召
[00:00:38.080 --> 00:00:42.000]  無論你是團體也好,在團祭,祈禱會也好
[00:00:42.000 --> 00:00:47.120]  教會的陪靈會也好,甚至你站在教會門口也好
[00:00:47.120 --> 00:00:50.960]  很多人提到這件事
[00:00:50.960 --> 00:00:54.800]  不少的人都說決定要去神學院或者聖經院
[00:00:54.800 --> 00:00:59.920]  不少人都決定要去神學院或者聖經院
[00:00:59.920 --> 00:01:02.480]  決定去參加全時間的奉獻做傳道人
[00:01:02.480 --> 00:01:06.320]  決定去參加全世界的奉獻做傳道人
[00:01:06.320 --> 00:01:10.160]  所以今天很多在普世裡面的教會的教會領袖或者木姐
[00:01:10.160 --> 00:01:14.000]  都是在那個時間從加拿大走出來的
[00:01:14.000 --> 00:01:19.120]  現在在普世許多教會悟者或者是領袖都是在那個時間
[00:01:19.120 --> 00:01:20.400]  從加拿大走出來的
[00:01:20.400 --> 00:01:24.240]  你就會問我,你為什麼要去參加這個傳道人
[00:01:24.240 --> 00:01:29.120]  你就會問,為什麼在這個年間裡面
[00:01:29.120 --> 00:01:33.200]  神有這麼大的工作在加拿大裡面
[00:01:33.200 --> 00:01:36.560]  為什麼在這段時間神有這麼大的工作在加拿大呢
[00:01:36.560 --> 00:01:40.400]  為什麼在這個時段裡面,教會這麼蒙上帝的賜福
[00:01:40.400 --> 00:01:42.400]  激勵了這麼多人去做傳道人呢
[00:01:42.400 --> 00:01:46.000]  為什麼這個時段教會可以這樣子蒙神的祝福
[00:01:46.000 --> 00:01:47.520]  激勵那麼多人去做傳道人
[00:01:47.520 --> 00:01:51.120]  為什麼在這幾年間神的靈的靈氣
[00:01:51.120 --> 00:01:54.720]  為什麼這幾年間神的靈他的靈氣
[00:01:54.720 --> 00:01:59.040]  能夠這麼猛烈的去降臨在加拿大的教會裡面
[00:01:59.040 --> 00:02:02.640]  能夠這樣猛烈的降落在加拿大的教會裡面
[00:02:02.640 --> 00:02:05.200]  講得俗一點,很厲害的那一刻
