
[00:00:00.000 --> 00:00:06.520]  我們繼續講《使徒行傳》
[00:00:06.520 --> 00:00:11.520]  在這個系列我們用一個中覽式的方式
[00:00:11.520 --> 00:00:13.720]  將幾章放在一起
[00:00:13.720 --> 00:00:15.720]  然後找一個主題
[00:00:15.720 --> 00:00:20.800]  今天要講《使徒行傳》的24章至26章
[00:00:20.800 --> 00:00:24.080]  講到保羅被審判的情形
[00:00:24.080 --> 00:00:27.120]  其實如果是講到審判
[00:00:27.120 --> 00:00:31.160]  可能我們讀的話會覺得很沉悶
[00:00:31.160 --> 00:00:38.560]  但我相信神的話語永遠能找到一些資料對我們有幫助
[00:00:38.560 --> 00:00:41.200]  今天的經文也不例外
[00:00:41.200 --> 00:00:43.200]  雖然是講到審判
[00:00:43.200 --> 00:00:48.160]  但保羅甚至被人審判他仍然有一個傳福音的心
[00:00:48.160 --> 00:00:52.440]  所以他是向審判他的人傳福音
[00:00:52.440 --> 00:00:56.440]  但很可惜那些人都沒有接受到
[00:00:56.440 --> 00:00:59.440]  就像我們剛才讀的那節經文一樣
[00:00:59.440 --> 00:01:02.040]  所以我叫今天的訊息做
[00:01:02.040 --> 00:01:05.200]  「趁可尋找時求告他」
[00:01:05.200 --> 00:01:11.760]  所有審判保羅的人都錯過了機會來接受福音
[00:01:11.760 --> 00:01:14.560]  在今天的經文我們也學到
[00:01:14.560 --> 00:01:18.240]  和別人傳福音的手法是怎樣
[00:01:18.240 --> 00:01:22.480]  是能夠幫助我們和身邊的人傳福音
[00:01:24.960 --> 00:01:27.680]  在羅馬的司法系統
[00:01:27.680 --> 00:01:31.200]  法庭是用來保護公民
[00:01:31.200 --> 00:01:35.920]  但很可惜羅馬的政府是非常腐敗
[00:01:35.920 --> 00:01:43.520]  一般人都很難透過司法系統來替自己伸張正義
[00:01:43.520 --> 00:01:48.920]  保羅很快就會發覺羅馬政府真的很腐敗
[00:01:48.920 --> 00:01:58.120]  羅馬政府把司法的行政任務交給地方官、地方政府
[00:01:58.120 --> 00:02:04.760]  他們自己不會介入地方官的審判或地方政府的審判
[00:02:04.760 --> 00:02:12.680]  除非他們發覺有外邦政府參與了這些案件
[00:02:12.680 --> 00:02:14.960]  他們才會來插手
[00:02:14.960 --> 00:02:20.160]  又或者他們發覺地方官有彼此不和的時候
[00:02:20.160 --> 00:02:21.920]  他們才會介入
[00:02:21.920 --> 00:02:27.360]  今天三章的經文我們看到羅馬司法的運行
[00:02:27.360 --> 00:02:31.600]  保羅在四個層面被人指控
[00:02:31.600 --> 00:02:37.920]  第一個層面就是猶太人自己來指控保羅
[00:02:37.920 --> 00:02:44.080]  保羅在耶路撒冷的聖殿被人誣告
[00:02:44.080 --> 00:02:46.640]  帶領外邦人進入聖殿
[00:02:46.640 --> 00:02:50.720]  有個千夫長救了保羅
[00:02:50.720 --> 00:02:54.800]  把他從耶路撒冷運到蓋薩尼亞這個地方
[00:02:54.800 --> 00:02:59.840]  大祭司阿拿尼亞和工會的長老
[00:02:59.840 --> 00:03:04.080]  在五天後就馬上趕到蓋薩尼亞這個地方
[00:03:04.080 --> 00:03:07.760]  他們把保羅趕出了耶路撒冷
[00:03:07.760 --> 00:03:09.040]  他們還不滿意
[00:03:09.040 --> 00:03:12.080]  他們要把保羅置諸死地
[00:03:12.080 --> 00:03:16.240]  他們擔心如果他們不立刻採取行動
[00:03:16.240 --> 00:03:22.320]  羅馬的總督菲力斯可能會把保羅釋放
[00:03:22.320 --> 00:03:25.280]  所以他們請了一個律師
[00:03:25.280 --> 00:03:30.000]  這個律師叫做鐵土羅來指控保羅
[00:03:30.000 --> 00:03:35.760]  這個鐵土羅一開口就是講奉承的話
[00:03:35.760 --> 00:03:39.520]  和現在很多律師都很相似
[00:03:39.520 --> 00:03:41.760]  可能會講奉承的話
[00:03:41.760 --> 00:03:44.080]  希望討好陪審員
[00:03:44.080 --> 00:03:46.560]  希望討好法官
[00:03:46.560 --> 00:03:49.360]  這個鐵土羅也是不例外
[00:03:49.360 --> 00:03:52.240]  在《針嚴》的26章28節
[00:03:52.240 --> 00:03:54.240]  說虛方的舌頭
[00:03:54.240 --> 00:03:55.840]  纖維的嘴巴
[00:03:55.840 --> 00:03:59.360]  相信就是這個鐵土羅所講的話
[00:03:59.360 --> 00:04:03.040]  這個鐵土羅的指控對保羅的指控
[00:04:03.040 --> 00:04:06.560]  和他的奉承是一樣的虛假
[00:04:06.560 --> 00:04:11.200]  他指出了保羅一共有三項罪
[00:04:11.200 --> 00:04:13.200]  他很有技巧
[00:04:13.200 --> 00:04:17.600]  第一罪就是他違反了羅馬的律法
[00:04:17.600 --> 00:04:20.400]  說他煽動人民來謀反
[00:04:20.400 --> 00:04:23.200]  這個罪是非常嚴重
[00:04:23.200 --> 00:04:30.080]  羅馬政府很怕人會在羅馬帝國裡搞暴亂
[00:04:30.080 --> 00:04:32.080]  破壞和平
[00:04:32.080 --> 00:04:38.080]  而保羅就是出了名搞事搞紛爭
[00:04:38.080 --> 00:04:41.280]  例如在《使徒行傳》的17章6節
[00:04:41.280 --> 00:04:43.280]  那些不信的猶太人
[00:04:43.280 --> 00:04:46.400]  說保羅是那些搞亂天下的
[00:04:46.400 --> 00:04:51.920]  其實鐵土羅這個指控不是很正確
[00:04:51.920 --> 00:04:54.720]  因為真正搞亂天下
