
[00:00:00.000 --> 00:00:07.000]  本來我上台講 但我打算近一點 好不好
[00:00:07.000 --> 00:00:10.000]  你介意我在這裡嗎 不介意吧
[00:00:10.000 --> 00:00:12.000]  因為我怕後面的看不到
[00:00:12.000 --> 00:00:15.000]  多謝你 你可能趕時間
[00:00:15.000 --> 00:00:18.000]  或者你家裡的人餓得很緊要 等著你
[00:00:18.000 --> 00:00:21.000]  不過不要緊 今晚時間是很準時的
[00:00:21.000 --> 00:00:23.000]  即是七點鐘完
[00:00:23.000 --> 00:00:27.000]  還有我口供已經印了出來
[00:00:27.000 --> 00:00:30.000]  如果你抄不及 沒有這個問題
[00:00:30.000 --> 00:00:32.000]  但我要解畫
[00:00:32.000 --> 00:00:35.000]  所以如果你手上有這張 有沒有
[00:00:35.000 --> 00:00:37.000]  有些字你可以聽聽
[00:00:37.000 --> 00:00:41.000]  我有一個原因在背後幫我
[00:00:41.000 --> 00:00:45.000]  就是小學生在這個時代
[00:00:45.000 --> 00:00:49.000]  這個時代很多人不明白
[00:00:49.000 --> 00:00:52.000]  就是我講腦
[00:00:52.000 --> 00:00:57.000]  那個左額葉 批判思維
[00:00:57.000 --> 00:01:00.000]  是特別 這個時代的年輕人是強的
[00:01:00.000 --> 00:01:03.000]  所以你會見到 嘩 經常打我嘴巴
[00:01:03.000 --> 00:01:06.000]  就是證明他正常
[00:01:06.000 --> 00:01:09.000]  但他打得你沒有禮貌
[00:01:09.000 --> 00:01:11.000]  就證明他不正常
[00:01:11.000 --> 00:01:13.000]  為何要回教會呢
[00:01:13.000 --> 00:01:15.000]  就是懂了東西
[00:01:15.000 --> 00:01:17.000]  就算講得比爸爸媽媽好
[00:01:17.000 --> 00:01:20.000]  不代表了 不尊敬爸爸媽媽 不代表
[00:01:20.000 --> 00:01:23.000]  但很可惜的地方就是人始終是一個問題
[00:01:23.000 --> 00:01:26.000]  當他懂了東西之後
[00:01:26.000 --> 00:01:28.000]  他看不起人呢 看不起人呢
[00:01:28.000 --> 00:01:33.000]  特別今天的學科是非常邏輯性的
[00:01:33.000 --> 00:01:38.000]  包括了批判思維 再大一點 通識
[00:01:38.000 --> 00:01:44.000]  你可以說肯定學的領域是比各位以前讀的小學中學寬闊
[00:01:44.000 --> 00:01:46.000]  但問題在這裡
[00:01:46.000 --> 00:01:49.000]  就是他懂了東西之後 他的態度是怎樣呢
[00:01:49.000 --> 00:01:51.000]  是一個困難來的
[00:01:51.000 --> 00:01:53.000]  就算我以前教社工
