
[00:00:00.000 --> 00:00:05.720]  各位電影姐妹平安 (各位電影姐妹平安)
[00:00:05.720 --> 00:00:08.600]  每一次我們能夠在神的殿當中一起
[00:00:08.600 --> 00:00:11.040]  和電影姐妹一起實體的敬拜
[00:00:11.040 --> 00:00:13.400]  每一次我們都要感恩
[00:00:13.400 --> 00:00:15.640]  我剛剛從美國回來
[00:00:15.640 --> 00:00:17.920]  在香港一段短的時間
[00:00:17.920 --> 00:00:19.920]  但是就感受到
[00:00:19.920 --> 00:00:23.720]  能夠可以和電影姐妹一起敬拜
[00:00:23.720 --> 00:00:25.720]  絕對不是必然的
[00:00:25.720 --> 00:00:27.440]  每一次我們能夠可以
[00:00:27.440 --> 00:00:28.840]  和電影姐妹同心的
[00:00:28.840 --> 00:00:30.560]  來到在殿當中敬拜
[00:00:30.560 --> 00:00:32.560]  我們都要感謝上帝
[00:00:32.560 --> 00:00:35.840]  所以我想開始就再一次和大家一起有感恩祈禱
[00:00:35.840 --> 00:00:40.320]  再將這段聽到的時間一起交託給主
[00:00:40.320 --> 00:00:43.160]  真是尊我們感謝你
[00:00:43.160 --> 00:00:45.960]  在幾年的疫情裏面
[00:00:45.960 --> 00:00:48.440]  還有很多時候我們不能夠
[00:00:48.440 --> 00:00:51.800]  在你的殿中和電影姐妹一同的
[00:00:51.800 --> 00:00:53.600]  來到去敬拜
[00:00:53.600 --> 00:00:57.200]  但是今天我們可以這樣來到去敬拜的時候
[00:00:57.200 --> 00:00:59.800]  我們心中充滿感謝
[00:00:59.800 --> 00:01:01.800]  我們可以更加專注的
[00:01:01.800 --> 00:01:04.200]  我們更加可以是集體的
[00:01:04.200 --> 00:01:07.600]  和電影姐妹同心的來敬拜
[00:01:07.600 --> 00:01:10.160]  天父願祢自己繼續帶領我們
[00:01:10.160 --> 00:01:13.200]  在這個變幻的世界裏面
[00:01:13.200 --> 00:01:18.200]  保守我們那份專注、專一、敬畏祢的心
[00:01:18.200 --> 00:01:20.000]  讓我們在人生的路上
[00:01:20.000 --> 00:01:22.800]  能夠一直走在光明的路
[00:01:22.800 --> 00:01:26.120]  主讓我們今天在祢面前同心敬拜祢
[00:01:26.120 --> 00:01:29.920]  也都感謝祢賜下祢自己聖經的說話
[00:01:29.920 --> 00:01:33.200]  我們等候主接到祢寶貴的聖靈
[00:01:33.200 --> 00:01:35.200]  引導我們的心思
[00:01:35.200 --> 00:01:37.600]  讓我們能夠進入祢的真理
[00:01:37.600 --> 00:01:40.200]  又行在祢的真理中
[00:01:40.200 --> 00:01:41.920]  我們同心仰望
[00:01:41.920 --> 00:01:44.200]  奉耶穌基督聖名祈求
[00:01:44.200 --> 00:01:50.520]  我們今天都會繼續思想一本一書的經文
[00:01:50.520 --> 00:01:52.800]  特別思想到聖經所提及的
[00:01:52.800 --> 00:01:57.800]  如何辨別真理的靈和欺騙的靈
[00:01:57.800 --> 00:02:00.320]  大家都會留意到我們過去一段時間
[00:02:00.320 --> 00:02:02.320]  讀到一本一書的時候
[00:02:02.320 --> 00:02:04.400]  聖經不斷來鼓勵我們
[00:02:04.400 --> 00:02:07.200]  更加知道去感恩
[00:02:07.200 --> 00:02:09.800]  因為神何等愛我們
[00:02:09.800 --> 00:02:12.400]  稱我們為祂的兒女
[00:02:12.400 --> 00:02:15.600]  我們都真實的是神的兒女
[00:02:15.600 --> 00:02:18.800]  聖經又不斷鼓勵我們要聽從神的命令
