
[00:00:00.000 --> 00:00:10.440]  各位弟兄姊妹,各位朋友,你們好,歡迎大家參加我們三藩市播道會網上的五堂崇拜
[00:00:10.440 --> 00:00:20.040]  今天我們繼續思想大衛生平的信息,我們去到薩姆爾基上第22章,1至5節
[00:00:20.040 --> 00:00:28.640]  題目叫做「動越愛國」,未開始思想這段聖經之前,請同心低頭,我也同土告
[00:00:28.640 --> 00:00:35.840]  慈悲人,天父,我們滿心多謝你,我們也大為獻上感謝
[00:00:35.840 --> 00:00:51.040]  在他這麼多年的沙漠之旅,在最痛苦、最失望、最沒有勢力的之際
[00:00:51.040 --> 00:01:00.840]  去經歷上帝,寫出美麗的詩篇,帶給我們很多人的安慰,求你藉著你的話語去提醒
[00:01:00.840 --> 00:01:09.040]  勸勉,教導,安慰我們,我們這樣土告,那是奉耶穌基督命求,阿門
[00:01:09.040 --> 00:01:24.440]  尼可拉·伯格尼尼尼是19世紀意大利著名的小提琴演奏家,有一次他在演唱會裏充滿了很多聽眾
[00:01:24.440 --> 00:01:39.840]  突然之間,他的小提琴其中一條的弦斷了,在空中吊來吊去,但伯格尼尼本頭大汗,面不改容,繼續以三弦琴來演奏,一點都沒有順色
[00:01:39.840 --> 00:01:55.840]  沒多久,另外一條弦又斷了,再沒多久,再另外一條弦又斷了,只剩下一條弦,就見到伯格尼尼咬著牙根,繼續用他的單弦琴演奏,毫無順色,精彩絕倫
[00:01:55.840 --> 00:02:10.840]  當他演奏完之後,全場站起,大把手掌,大聲叫Bravo,但見伯格尼尼拿著單弦琴,再來一個Encore,完之後,大聲笑話
[00:02:10.840 --> 00:02:30.840]  伯格尼尼單弦琴,一時成為樂壇的佳話,米德·弗蘭克也是一個德國猶太人,他在猶太的集中營裏面的生還者,他的親朋戚友都在集中營死了
[00:02:30.840 --> 00:02:43.840]  德國納粹黨的人,拿走他的父母,他的家財,他的職業,甚至他的手錶,他的結婚戒指,剝了他的衣服,削了他的頭髮,奪取他一切的尊嚴和權利
[00:02:43.840 --> 00:02:56.840]  他是一個野獸的德軍當中,毫無能力,毫無尊嚴,真是一無所有,突然間他想到,終於德軍可以拿走我們一起,但有一樣東西,最寶貴的東西,他們拿不到的
[00:02:56.840 --> 00:03:14.840]  拿不到什麼?就是他的心態,可以選擇的權利,他可以選擇憎恨,也可以選擇寬恕,他可以選擇放棄,也可以選擇掙扎,他可以選擇盼望,也可以選擇絕望,他可以選擇自戀,也可以選擇忍耐
[00:03:14.840 --> 00:03:33.840]  這個心態就好像Baglieni最後一條圓形,繼續說,我繼續演下去,他不是說,我玩完了,我琴爛了,算了,他不是,他也不是奏了那個弦琴,他不要這樣做,他咬著牙根,完成他的演奏
[00:03:33.840 --> 00:03:43.840]  同樣Victor Fraggle醫生,也是沒有選擇放棄憎恨,他成為今天非常出色的一個心理的醫生
[00:03:43.840 --> 00:03:51.840]  其實人生快樂與否,幸福與否,往往在乎我們的心態,多於我們的際遇
