
[00:00:00.000 --> 00:00:05.000]  各位兄弟姐妹主內平安
[00:00:05.000 --> 00:00:10.000]  很開心可以不用戴口罩港島
[00:00:10.000 --> 00:00:15.000]  也看到你們的燦爛的笑容
[00:00:15.000 --> 00:00:22.000]  今日我們所讀的經文相信你都熟悉的
[00:00:22.000 --> 00:00:28.000]  耶穌騎驢進耶路撒冷城
[00:00:28.000 --> 00:00:31.000]  跟我們有什麼關係呀
[00:00:31.000 --> 00:00:36.000]  我們又不是禮儀教會
[00:00:36.000 --> 00:00:40.000]  所以復活節快到了
[00:00:40.000 --> 00:00:45.000]  早一個星期就是中樹主日 有沒有聽過
[00:00:45.000 --> 00:00:48.000]  但我們不會那天要排隊
[00:00:48.000 --> 00:00:51.000]  每個人手上拿一支中樹枝
[00:00:51.000 --> 00:00:55.000]  一路搖著 一路出去走一個圈 有沒有
[00:00:55.000 --> 00:00:58.000]  沒有的 是不是
[00:00:58.000 --> 00:01:02.000]  如果真的聖公會要做這件事的話
[00:01:02.000 --> 00:01:04.000]  還要很嚴謹的
[00:01:04.000 --> 00:01:07.000]  那些中樹枝搖完之後
[00:01:07.000 --> 00:01:09.000]  不是扔垃圾桶的
[00:01:09.000 --> 00:01:17.000]  是要儲起明年的大齋期第一天
[00:01:17.000 --> 00:01:19.000]  聖灰日
[00:01:19.000 --> 00:01:25.000]  就將去年的中樹枝燒成灰燼
[00:01:25.000 --> 00:01:30.000]  然後在崇拜星期三晚上
[00:01:30.000 --> 00:01:33.000]  有一個陶灰禮
[00:01:33.000 --> 00:01:35.000]  我不知道大家有沒有參加過呢
[00:01:35.000 --> 00:01:37.000]  宣道會沒有的
[00:01:37.000 --> 00:01:40.000]  我在神學院參加過一次
[00:01:40.000 --> 00:01:42.000]  一位順義會
[00:01:42.000 --> 00:01:47.000]  對不起 崇禎會的老師帶領我們
[00:01:47.000 --> 00:01:51.000]  很莊嚴的一個崇拜
[00:01:51.000 --> 00:01:55.000]  我們排隊來到台前
[00:01:55.000 --> 00:01:58.000]  那位牧師在我的額頭上
[00:01:58.000 --> 00:02:04.000]  就用爐灰畫一個記號
[00:02:04.000 --> 00:02:07.000]  最震撼的是 一路畫的時候
[00:02:07.000 --> 00:02:10.000]  他一路跟我說 司徑
[00:02:10.000 --> 00:02:17.000]  你本是塵土 亦要歸回塵土
[00:02:17.000 --> 00:02:19.000]  我以前聽到這句話
[00:02:19.000 --> 00:02:21.000]  都是說那個
[00:02:21.000 --> 00:02:24.000]  我們很慶幸我們不是塵土
[00:02:24.000 --> 00:02:26.000]  我們還沒有歸回塵土
[00:02:26.000 --> 00:02:28.000]  我們走出去
[00:02:28.000 --> 00:02:30.000]  不是啊
[00:02:30.000 --> 00:02:32.000]  這個事實
[00:02:32.000 --> 00:02:35.000]  第一次在我的心中
[00:02:35.000 --> 00:02:38.000]  留下很震撼的一個提醒
[00:02:38.000 --> 00:02:40.000]  所以牧師跟著說
[00:02:40.000 --> 00:02:44.000]  所以你要背起十字架
[00:02:44.000 --> 00:02:47.000]  轉日跟從主
[00:02:47.000 --> 00:02:50.000]  我們不是這樣的禮儀教會
