
[00:00:00.000 --> 00:00:06.000]  今天我有兩方面要和大家分享
[00:00:06.000 --> 00:00:11.000]  第一方面是有關於你們下午去的
[00:00:11.000 --> 00:00:16.000]  看那個以色列博物館死海的古卷
[00:00:16.000 --> 00:00:23.000]  第二方面我就要和你查有幾段的經文
[00:00:23.000 --> 00:00:28.000]  然後我會提出一些是聖經裏面沒有說的
[00:00:28.000 --> 00:00:34.000]  但我們可以看看可不可以將它連起來
[00:00:34.000 --> 00:00:38.000]  是和我們今早所看到的有關
[00:00:38.000 --> 00:00:42.000]  首先我們想想那個死海古卷
[00:00:42.000 --> 00:00:46.000]  過兩天我們會去到死海附近
[00:00:46.000 --> 00:00:48.000]  它叫做死海古卷
[00:00:48.000 --> 00:00:52.000]  是真的在死海附近發掘出來的
[00:00:52.000 --> 00:00:54.000]  這些古卷是什麼呢
[00:00:54.000 --> 00:00:58.000]  這些古卷就是當時在主耶穌來之前
[00:00:58.000 --> 00:01:00.000]  大概二百年左右
[00:01:00.000 --> 00:01:05.000]  有一群在耶路撒冷的愛西尼人
[00:01:05.000 --> 00:01:08.000]  這群愛西尼人是很虔誠的
[00:01:08.000 --> 00:01:13.000]  他們覺得在這裡的宗教領袖是很腐敗
[00:01:13.000 --> 00:01:15.000]  所以他們不要留在耶路撒冷
[00:01:15.000 --> 00:01:18.000]  他們一群人就去到這裡
[00:01:18.000 --> 00:01:20.000]  大概一個小時車程
[00:01:20.000 --> 00:01:21.000]  在沙漠裏面
[00:01:21.000 --> 00:01:23.000]  在死海附近
[00:01:23.000 --> 00:01:27.000]  在山上他們就在那裏生活
[00:01:27.000 --> 00:01:29.000]  來抄寫經文
[00:01:29.000 --> 00:01:34.000]  他們將舊約的經文全部抄寫下來
[00:01:34.000 --> 00:01:40.000]  然後到耶路撒冷被羅馬人圍攻的時候
[00:01:40.000 --> 00:01:43.000]  他們攻佔了耶路撒冷
[00:01:43.000 --> 00:01:49.000]  羅馬人也派兵到死海那裏去抓這群人
[00:01:49.000 --> 00:01:52.000]  這群人就知道他們的結局快要來了
[00:01:52.000 --> 00:01:58.000]  所以他們將抄寫的經書放在坑裏
[00:01:58.000 --> 00:02:01.000]  藏在石洞裏
[00:02:01.000 --> 00:02:03.000]  過幾天大家會去到那裏
[00:02:03.000 --> 00:02:05.000]  你不能進入那些石洞
[00:02:05.000 --> 00:02:08.000]  但你可以從另一邊看過去
[00:02:08.000 --> 00:02:10.000]  你會看到一個個的洞
[00:02:10.000 --> 00:02:15.000]  那時候就是在那裏找到這些古卷
[00:02:15.000 --> 00:02:19.000]  這件事我相信有神的手在裏面
[00:02:19.000 --> 00:02:22.000]  因為羅馬人去到那裏
[00:02:22.000 --> 00:02:25.000]  真的滅了這群愛色尼人
[00:02:25.000 --> 00:02:28.000]  他們一定知道這些愛色尼人在那裏做什麼
[00:02:28.000 --> 00:02:30.000]  他們知道他們在那裏抄寫經書
[00:02:30.000 --> 00:02:32.000]  那些經書在那裏呢
[00:02:32.000 --> 00:02:36.000]  只要羅馬的兵在附近找的時候
[00:02:36.000 --> 00:02:39.000]  很容易就會在山洞裏找到這些經書
[00:02:39.000 --> 00:02:42.000]  就可以將它全部毀滅
[00:02:42.000 --> 00:02:45.000]  但神的手遮住他們的眼睛
[00:02:45.000 --> 00:02:47.000]  他們沒有辦法找到
[00:02:47.000 --> 00:02:51.000]  這些經書在裏面保存了一千多年
[00:02:51.000 --> 00:02:56.000]  直到1947年初
[00:02:56.000 --> 00:03:01.000]  1947年是在以色列歷史上很重要的一年
[00:03:01.000 --> 00:03:06.000]  我們知道1948年5月14日是以色列復國的日子
[00:03:06.000 --> 00:03:09.000]  但在復國之前還有故事
[00:03:09.000 --> 00:03:16.000]  就是1947年11月在紐約聯合國
[00:03:16.000 --> 00:03:18.000]  就要來投票決定
[00:03:18.000 --> 00:03:23.000]  這裏是不是給以色列成立自己獨立的國家
[00:03:23.000 --> 00:03:27.000]  這是一個很重要的投票
[00:03:27.000 --> 00:03:29.000]  在這裏呢
[00:03:29.000 --> 00:03:31.000]  在這裏也是非常緊張
[00:03:31.000 --> 00:03:33.000]  因為這裏有猶太人
[00:03:33.000 --> 00:03:35.000]  有阿拉伯人
[00:03:35.000 --> 00:03:37.000]  他們之間的關係是很緊張的
[00:03:37.000 --> 00:03:41.000]  如果在紐約那裏投票
[00:03:41.000 --> 00:03:45.000]  給以色列人成立自己國家的時候
[00:03:45.000 --> 00:03:48.000]  恐怕這裏會發生暴動
[00:03:48.000 --> 00:03:54.000]  所以當時的環境在這裏是很緊張的
[00:03:54.000 --> 00:03:56.000]  1947年11月的時候
[00:03:56.000 --> 00:03:59.000]  在這裏有一位教授
[00:03:59.000 --> 00:04:02.000]  他得到消息在伯利恆的地方
[00:04:02.000 --> 00:04:05.000]  他們有幾卷的古卷
[00:04:05.000 --> 00:04:09.000]  想賣給這位猶太人的教授
[00:04:09.000 --> 00:04:11.000]  這位猶太人的教授的兒子
[00:04:11.000 --> 00:04:13.000]  是在軍隊裏面做事的
[00:04:13.000 --> 00:04:16.000]  他知道這裏的騷動很快就會開始
[00:04:16.000 --> 00:04:20.000]  所以他叫他父親千萬不要去伯利恆的地方
[00:04:20.000 --> 00:04:22.000]  因為現在是很緊張的時候
[00:04:22.000 --> 00:04:24.000]  那裏是阿拉伯人的地區
[00:04:24.000 --> 00:04:26.000]  我們明天就會進入伯利恆
[00:04:26.000 --> 00:04:29.000]  那裏一向都是阿拉伯人的地區
[00:04:29.000 --> 00:04:31.000]  是巴勒斯坦人的地區
[00:04:31.000 --> 00:04:34.000]  但他父親說他心裏有個感動
[00:04:34.000 --> 00:04:35.000]  一定要去那裏看看
[00:04:35.000 --> 00:04:37.000]  看看這些是甚麼古卷
[00:04:37.000 --> 00:04:40.000]  於是他就坐巴士進入伯利恆
[00:04:40.000 --> 00:04:48.000]  就看到他們之前幾個月在山洞裏找到兩卷古卷
[00:04:48.000 --> 00:04:50.000]  他們在山洞裏找出來的古卷
[00:04:50.000 --> 00:04:54.000]  經過一千多年都已經很多成為碎片
[00:04:54.000 --> 00:04:58.000]  但只有一卷書是保存得很好
[00:04:58.000 --> 00:05:00.000]  整本書是保存得很好
[00:05:00.000 --> 00:05:01.000]  他去到見到這些
[00:05:01.000 --> 00:05:03.000]  他知道這些是寶物
[00:05:03.000 --> 00:05:05.000]  於是他就將它買了
[00:05:05.000 --> 00:05:07.000]  後來送了給以色列
[00:05:07.000 --> 00:05:10.000]  你們今天去見到的展覽
[00:05:10.000 --> 00:05:12.000]  就是他買回來的古卷
[00:05:12.000 --> 00:05:13.000]  那個古卷是甚麼呢
[00:05:13.000 --> 00:05:14.000]  是以賽亞書
[00:05:14.000 --> 00:05:17.000]  以賽亞書是一本很奇妙的書
[00:05:17.000 --> 00:05:21.000]  好像上帝在那個時候
[00:05:21.000 --> 00:05:25.000]  要讓猶太人看回以賽亞書
[00:05:25.000 --> 00:05:28.000]  以賽亞書總共有六十六卷書
[00:05:28.000 --> 00:05:30.000]  聖經有多少卷書呢
[00:05:30.000 --> 00:05:32.000]  聖經是六十六
[00:05:32.000 --> 00:05:34.000]  三九是二十七
[00:05:34.000 --> 00:05:36.000]  舊約是三十九
[00:05:36.000 --> 00:05:38.000]  新約是二十七
[00:05:38.000 --> 00:05:39.000]  三九加二十七
[00:05:39.000 --> 00:05:41.000]  剛剛是六十六卷書
[00:05:41.000 --> 00:05:44.000]  新約舊約三十九二十七
[00:05:44.000 --> 00:05:46.000]  總共六十六卷書
[00:05:46.000 --> 00:05:51.000]  以賽亞書他們將它分段的時候
[00:05:51.000 --> 00:05:54.000]  剛好有六十六張
[00:05:54.000 --> 00:05:57.000]  而六十六張前面的三十九
[00:05:57.000 --> 00:06:00.000]  就好像舊約一樣
[00:06:00.000 --> 00:06:03.000]  由第四十章一開始的時候
[00:06:03.000 --> 00:06:05.000]  就好像新約的開始一樣
[00:06:05.000 --> 00:06:06.000]  一開始他說
[00:06:06.000 --> 00:06:08.000]  我要安慰我的百姓
[00:06:08.000 --> 00:06:10.000]  如何安慰百姓呢
[00:06:10.000 --> 00:06:13.000]  首先說有一個先鋒會來
[00:06:13.000 --> 00:06:15.000]  修直主的路
[00:06:15.000 --> 00:06:18.000]  就好像新約的開始一樣
[00:06:18.000 --> 00:06:21.000]  施洗約翰是做尼賽亞的先鋒
[00:06:21.000 --> 00:06:24.000]  我讀少少給大家聽
[00:06:24.000 --> 00:06:27.000]  第四十章第一節
[00:06:27.000 --> 00:06:32.000]  你們的神說你們要安慰我的百姓
[00:06:32.000 --> 00:06:34.000]  要對耶路撒冷說安慰的話
