
[00:00:00.000 --> 00:00:12.480]  今次跟大家思想的題目是超凡任務的應許
[00:00:12.480 --> 00:00:18.160]  什麼是超凡任務呢?不是mission impossible,而是mission incredible
[00:00:18.160 --> 00:00:22.000]  是一個很不簡單的任務
[00:00:22.000 --> 00:00:30.000]  今天跟大家思想的聖經是出自一段大家熟悉到不知如何選擇的聖經
[00:00:30.000 --> 00:00:35.520]  就是在馬太福音第五章十三至十六節
[00:00:35.520 --> 00:00:38.560]  這麼熟悉,大家應該不介意多讀一次
[00:00:38.560 --> 00:00:47.520]  我們一起讀一次,馬太福音的十三章
[00:00:47.520 --> 00:00:52.320]  對不起,第五章十三至十六節,今早不太舒服
[00:00:52.320 --> 00:00:56.000]  所以出了一點點雨就愛太空
[00:00:56.000 --> 00:00:57.520]  我們一起讀
[00:00:57.520 --> 00:01:04.000]  你們是世上的鹽,鹽若失了味怎能叫它再鹹呢?
[00:01:04.000 --> 00:01:09.280]  以後無用,不過凋在外面被人踐踏了
[00:01:09.280 --> 00:01:15.840]  你們是世上的光,成造在山上是不能隱藏的
[00:01:15.840 --> 00:01:23.840]  人點燈不放在斗底下,是放在燈台上,就照亮一家的人
[00:01:23.840 --> 00:01:31.040]  你們的光也當這樣照在人前,叫他們看見你們的好行為
[00:01:31.040 --> 00:01:35.440]  便將榮耀歸給你們在天上的父
[00:01:35.440 --> 00:01:39.520]  這個段落主耶穌基督在說的時候
[00:01:39.520 --> 00:01:43.040]  大家都明白了,第五章就由登山補訓的開始
[00:01:43.040 --> 00:01:49.840]  很多人都說登山補訓就是天國的一個大憲章
[00:01:49.840 --> 00:01:53.440]  將我們解明了我們在神的面前
[00:01:53.440 --> 00:01:57.600]  在地上我們的生活方式作為主的門徒
[00:01:57.600 --> 00:02:00.960]  所以一開始的時候,第十三節就說
[00:02:00.960 --> 00:02:05.280]  這個里門就請大家記住了
[00:02:05.280 --> 00:02:08.400]  這個里門就不是路人夾月餅
[00:02:08.400 --> 00:02:12.480]  這個里門就是在第五章一開始的時候
[00:02:12.480 --> 00:02:18.320]  耶穌看見很多人上了山,坐下了
[00:02:18.320 --> 00:02:23.120]  聖經就記載道門徒到他跟前來
[00:02:23.120 --> 00:02:25.520]  耶穌就開口教訓誰呢?
[00:02:25.520 --> 00:02:28.000]  就教訓門徒
[00:02:28.000 --> 00:02:31.120]  其實當時有很多人在那裡
[00:02:31.120 --> 00:02:35.280]  有些是聽眾,有些是門徒
[00:02:35.280 --> 00:02:40.400]  在教會裡面也是,有些是聽眾,有些是門徒
[00:02:40.400 --> 00:02:45.280]  聽眾就是聽完之後作了手術的那些
[00:02:45.280 --> 00:02:48.240]  門徒就是聽完之後,今天學到什麼呢?
[00:02:48.240 --> 00:02:51.520]  回去應用一下才行,那些就是門徒
[00:02:51.520 --> 00:02:56.080]  很多時候我都會舉一些例子
[00:02:56.080 --> 00:03:00.080]  和大家去做一些練習
[00:03:00.080 --> 00:03:03.360]  完了之後,有時候我就在外面擺攤位
[00:03:03.360 --> 00:03:06.880]  有些大型節目就會來問,怎麼做呢?
[00:03:06.880 --> 00:03:10.400]  這些就是門徒,為什麼?
[00:03:10.400 --> 00:03:14.560]  因為你不做,就不會想過究竟可以怎麼做
[00:03:14.560 --> 00:03:19.040]  早上一早起來,太太就在拖地
[00:03:19.040 --> 00:03:20.800]  我說怎樣?水喉又漏水了?
[00:03:20.800 --> 00:03:23.040]  她說是呀,經常都不記得
[00:03:23.040 --> 00:03:26.240]  錯了位置就會漏水
[00:03:26.240 --> 00:03:31.360]  其實我已經訂了一個零件回來
[00:03:31.360 --> 00:03:35.360]  擺在那裡,半年也有四個月了
[00:03:35.360 --> 00:03:40.480]  雖然我讀工程,我都懂得做水喉
[00:03:40.480 --> 00:03:43.280]  但是水和電是我兩樣最怕的東西
[00:03:43.280 --> 00:03:47.920]  有時候有些東西你都知道怎麼做
[00:03:47.920 --> 00:03:50.480]  但是你真的要下手做的時候
[00:03:50.480 --> 00:03:54.080]  有時候就是不知道為什麼就不動了
[00:03:54.080 --> 00:03:56.480]  有時候我們跟從基督也是
[00:03:56.480 --> 00:04:00.080]  有些東西我們都知道,我們都是主耶穌的門徒
[00:04:00.080 --> 00:04:01.920]  但是不知道為什麼在某些情況之下
[00:04:01.920 --> 00:04:03.520]  我們就不動了
[00:04:03.520 --> 00:04:07.360]  當然有些東西我們自己很怕去做
[00:04:07.360 --> 00:04:09.600]  不想去做,或者懶去做
[00:04:09.600 --> 00:04:12.000]  或者沒有把握去做,很多種不同的原因
[00:04:12.000 --> 00:04:15.040]  但是無論怎樣,有時候我們是避免不了的
[00:04:15.040 --> 00:04:17.120]  如果我不做,太太就說
[00:04:17.120 --> 00:04:19.520]  你做不做,我找水喉匠來做
[00:04:19.520 --> 00:04:22.480]  水喉匠一走進門口就120元了
[00:04:22.480 --> 00:04:24.800]  大家都明白了
[00:04:24.800 --> 00:04:27.120]  一去到門口叮噹,已經90元了
[00:04:27.120 --> 00:04:30.160]  還真的要做事的時候,就收人工了
[00:04:30.160 --> 00:04:35.440]  這裡告訴我們,原來這個你們
[00:04:35.440 --> 00:04:38.480]  很清楚,耶穌是對他的門徒說
[00:04:38.480 --> 00:04:42.320]  我們先做一些觀察,我們研究做OIA
[00:04:42.320 --> 00:04:46.000]  Observation, Interpretation,然後才是Application
[00:04:46.000 --> 00:04:49.360]  不要跳去應用,我們先來做一些觀察
[00:04:49.360 --> 00:04:52.080]  他說你們,你們很明顯
[00:04:52.080 --> 00:04:53.840]  不是老人教育餅,很清楚
[00:04:53.840 --> 00:04:56.240]  就是說,如果說這一堆東西
[00:04:56.240 --> 00:04:58.960]  你發覺我今天不是來門徒的
[00:04:58.960 --> 00:05:00.720]  我今天來聽話的
[00:05:00.720 --> 00:05:03.440]  以下說的就當是演講
[00:05:03.440 --> 00:05:07.520]  否則呢,我們就要留意一下
[00:05:07.520 --> 00:05:09.120]  怎樣應用,一會兒
[00:05:09.120 --> 00:05:12.640]  你們是誰呢?主耶穌的門徒
[00:05:12.640 --> 00:05:14.640]  這個你們是什麼呢?
[00:05:14.640 --> 00:05:16.640]  他說你們是
[00:05:16.640 --> 00:05:19.280]  我很多次講完道
[00:05:19.280 --> 00:05:22.000]  很強調這個是
[00:05:22.000 --> 00:05:25.840]  完了,主席就會上來說我們要做的
[00:05:25.840 --> 00:05:28.000]  是就不同做的
[00:05:28.000 --> 00:05:30.000]  是的意思是
[00:05:30.000 --> 00:05:32.000]  是的就是是的
[00:05:32.000 --> 00:05:34.000]  是的就是做的
[00:05:34.000 --> 00:05:36.000]  不是的就是做不到的
[00:05:36.000 --> 00:05:38.000]  彭全華說什麼呢?舉個例子
[00:05:38.000 --> 00:05:40.000]  如果你是一條鯊魚
[00:05:40.000 --> 00:05:42.000]  你是不會飛上天的
[00:05:42.000 --> 00:05:44.000]  是不是?
[00:05:44.000 --> 00:05:46.000]  我跟你說多少飛天的道理都沒用
[00:05:46.000 --> 00:05:48.000]  因為你飛不到上天的
[00:05:48.000 --> 00:05:50.000]  因為你是鯊魚
[00:05:50.000 --> 00:05:52.000]  你是一條鯊魚
[00:05:52.000 --> 00:05:54.000]  當你是一條鯊魚的時候
[00:05:54.000 --> 00:05:56.000]  你不會像飛鷹
[00:05:56.000 --> 00:05:58.000]  同樣反過來,當你是飛鷹的時候
[00:05:58.000 --> 00:06:00.000]  你不會像一條鯊魚
[00:06:00.000 --> 00:06:02.000]  我叫你游泳是浪費力氣的
[00:06:02.000 --> 00:06:04.000]  你是做不到的
[00:06:04.000 --> 00:06:06.000]  因為你根本不是
[00:06:06.000 --> 00:06:08.000]  明不明白?
[00:06:08.000 --> 00:06:10.000]  所以如果我們不是世上的炎,不是世上的光
[00:06:10.000 --> 00:06:14.000]  而勉強說我們要做世上的炎和世上的光
[00:06:14.000 --> 00:06:16.000]  這個叫虛偽
[00:06:16.000 --> 00:06:18.000]  這是文雅的說法
[00:06:18.000 --> 00:06:20.000]  俗語就是你裝模作樣嗎?
[00:06:20.000 --> 00:06:22.000]  你裝光,裝炎
[00:06:22.000 --> 00:06:24.000]  你根本不是
[00:06:24.000 --> 00:06:26.000]  所以耶穌和他的門徒說
[00:06:26.000 --> 00:06:28.000]  當你跟得我的時候
[00:06:28.000 --> 00:06:30.000]  你們就是這東西
[00:06:30.000 --> 00:06:32.000]  轉了
[00:06:32.000 --> 00:06:34.000]  可能你從前是鯊魚
[00:06:34.000 --> 00:06:36.000]  你現在信了耶穌,歸向了耶穌
[00:06:36.000 --> 00:06:38.000]  跟從了耶穌之後
[00:06:38.000 --> 00:06:40.000]  你就變了飛鷹
