
[00:00:00.000 --> 00:00:04.200]  我們先做個祈禱
[00:00:04.200 --> 00:00:07.000]  天父我們感謝祢在主日的時候
[00:00:07.000 --> 00:00:10.200]  讓我們有平安、健康
[00:00:10.200 --> 00:00:12.000]  可以來到您的殿當中
[00:00:12.000 --> 00:00:14.400]  和弟兄姊妹一齊來敬拜
[00:00:14.400 --> 00:00:15.600]  在敬拜當中
[00:00:15.600 --> 00:00:18.600]  我們不單止紀念我們的神為我們所作
[00:00:18.600 --> 00:00:21.000]  我們不單止讚美我們的神
[00:00:21.000 --> 00:00:24.200]  為了祢的本質、本性
[00:00:24.200 --> 00:00:27.600]  我們也在祢面前願意聆聽祢自己的話語的教導
[00:00:27.600 --> 00:00:32.400]  意義在人生當中我們能夠懂得怎樣去明道、行道
[00:00:32.400 --> 00:00:35.600]  意義在祢的道中我們的生命可以成長
[00:00:35.600 --> 00:00:37.800]  我們的生命當中又能夠有見證
[00:00:37.800 --> 00:00:41.200]  所以求主祢用這幾節聖經來提醒我們
[00:00:41.200 --> 00:00:45.200]  怎樣來面對我們信仰當中所要留意的事
[00:00:45.200 --> 00:00:48.200]  怎樣小心我們信仰當中一些危機
[00:00:48.200 --> 00:00:50.000]  求祢讓我們有聆聽的耳朵
[00:00:50.000 --> 00:00:53.000]  有個純樸的心去明白、去遵行
[00:00:53.000 --> 00:00:55.600]  而且不單止自己知道
[00:00:55.600 --> 00:00:57.600]  不單止能夠行在人的面前
[00:00:57.600 --> 00:01:00.200]  也能夠和其他弟兄姊妹有好的分享
[00:01:00.200 --> 00:01:03.600]  彼此守望我們彼此的禮道一同成長
[00:01:03.600 --> 00:01:05.200]  大力以下聽到的時間
[00:01:05.200 --> 00:01:07.200]  聽我們禱告奉耶穌的名祈禱
[00:01:07.200 --> 00:01:08.200]  阿們
[00:01:08.200 --> 00:01:10.600]  人的錯有兩種
[00:01:10.600 --> 00:01:12.400]  一種叫做明知故犯的錯
[00:01:12.400 --> 00:01:15.200]  一種叫做無知錯犯的錯
[00:01:15.200 --> 00:01:17.200]  其實無論是明知故犯也好
[00:01:17.200 --> 00:01:18.200]  無知錯犯也好
[00:01:18.200 --> 00:01:20.000]  錯就是錯
[00:01:20.000 --> 00:01:23.200]  有時人們說話是很有技巧的
[00:01:23.200 --> 00:01:27.600]  我記得我妹妹不是故意的幽默
[00:01:27.600 --> 00:01:28.800]  是無心的幽默
[00:01:28.800 --> 00:01:31.200]  但無論無心、故意也都很幽默
[00:01:31.200 --> 00:01:32.800]  小時候背書不懂
[00:01:32.800 --> 00:01:34.000]  她說我不是不懂背
[00:01:34.000 --> 00:01:35.200]  她說我只是不記得
[00:01:35.200 --> 00:01:37.800]  不記得就真的不懂背
[00:01:37.800 --> 00:01:39.600]  但她一樣說
[00:01:39.600 --> 00:01:41.000]  總之無論怎樣也好
[00:01:41.000 --> 00:01:42.400]  你不懂就是不懂
[00:01:42.400 --> 00:01:43.400]  錯一樣
[00:01:43.400 --> 00:01:44.400]  錯就是錯
[00:01:44.400 --> 00:01:46.000]  無論你知好不知好
[00:01:46.000 --> 00:01:47.400]  總之錯就是錯
[00:01:47.400 --> 00:01:50.600]  無知錯犯很多時是因為自己不小心
[00:01:51.000 --> 00:01:53.600]  明知故犯是因為自己有貪心
[00:01:53.600 --> 00:01:56.200]  有些人不小心沒有留意
[00:01:56.200 --> 00:01:58.200]  以致無知錯犯了一些事
[00:01:58.200 --> 00:02:00.200]  有些人有貪心
[00:02:00.200 --> 00:02:02.200]  他有些私心
[00:02:02.200 --> 00:02:03.600]  以致他明知故犯
[00:02:03.600 --> 00:02:05.800]  有時我出街吃飯
[00:02:05.800 --> 00:02:07.000]  和朋友一起
[00:02:07.000 --> 00:02:09.400]  很多時叫菜都很喜歡問一個問題
[00:02:09.400 --> 00:02:11.200]  有沒有人有些什麼不吃的
[00:02:11.200 --> 00:02:12.600]  中國人很客氣的
[00:02:12.600 --> 00:02:14.400]  通常都說不要緊你點吧
[00:02:14.400 --> 00:02:17.000]  有些人點了沒讓他吃也可以
[00:02:17.000 --> 00:02:18.600]  有些人不吃辣的
[00:02:18.600 --> 00:02:21.600]  全部都是四川麻辣
[00:02:21.600 --> 00:02:23.000]  你就真的不用吃了
[00:02:23.000 --> 00:02:25.200]  所以有時別人點我都會的
[00:02:25.200 --> 00:02:26.600]  我說你們叫吧
[00:02:26.600 --> 00:02:27.800]  我都看他們叫
[00:02:27.800 --> 00:02:29.200]  他們叫完之後回來
[00:02:29.200 --> 00:02:32.400]  有些菜我知道我是不能吃的
[00:02:32.400 --> 00:02:33.400]  有些菜
[00:02:33.400 --> 00:02:34.800]  譬如太油膩
[00:02:34.800 --> 00:02:38.600]  譬如太熱氣
[00:02:38.600 --> 00:02:40.400]  我知道的
[00:02:40.400 --> 00:02:42.800]  有些東西我就不知道
[00:02:42.800 --> 00:02:43.800]  譬如師哥
[00:02:43.800 --> 00:02:45.800]  我最近帶一個西人去吃東西
[00:02:45.800 --> 00:02:48.200]  吃炸大腸
