
[00:00:00.000 --> 00:00:06.000]  我剛剛早堂都還沒算清楚31歲的時候在做什麼
[00:00:06.000 --> 00:00:07.000]  剛剛再算一下
[00:00:07.000 --> 00:00:11.400]  31歲的時候是我那年是結了婚的
[00:00:11.400 --> 00:00:13.200]  30歲的時候我已經結了婚的了
[00:00:13.200 --> 00:00:14.200]  剛剛結了婚
[00:00:14.200 --> 00:00:18.000]  然後就是又是剛剛按立的那一年
[00:00:18.000 --> 00:00:20.800]  在外國做牧師福氣大一點的
[00:00:20.800 --> 00:00:22.400]  31歲就按立得到的
[00:00:22.400 --> 00:00:24.600]  香港你都很難找到31歲的牧師
[00:00:24.600 --> 00:00:28.000]  所以就很有盼望的
[00:00:28.000 --> 00:00:32.000]  有時候前途未可限量的感覺
[00:00:32.000 --> 00:00:35.000]  不過轉眼之間就好像詩歌那樣說
[00:00:35.000 --> 00:00:37.600]  回頭望我歲月匆匆
[00:00:37.600 --> 00:00:40.800]  經過困境與波濤
[00:00:40.800 --> 00:00:43.800]  不過就不是經常都像詩歌說的那麼美好
[00:00:43.800 --> 00:00:46.400]  充滿能力與希望的
[00:00:46.400 --> 00:00:51.200]  最近我發覺經常盤旋在我心頭的一首詩歌
[00:00:51.200 --> 00:00:54.400]  就是Beyond的海闊天空
[00:00:54.400 --> 00:00:55.800]  如果你認識這首歌
[00:00:55.800 --> 00:01:00.800]  就明白為什麼50歲的人會有這首歌的那種意境
[00:01:00.800 --> 00:01:05.600]  不過總之希望大家懷著我30歲的時候
[00:01:05.600 --> 00:01:11.200]  31歲的時候那種無可限量的那種朝氣
[00:01:11.200 --> 00:01:14.800]  希望一層所有大英姐妹都帶著這種朝氣
[00:01:14.800 --> 00:01:16.800]  迎接將來的日子
[00:01:16.800 --> 00:01:22.400]  今天就和大家繼續講詩篇
[00:01:22.400 --> 00:01:26.200]  之前就無謂考你們了
[00:01:26.200 --> 00:01:27.800]  應該你們不記得的了
[00:01:27.800 --> 00:01:30.400]  到底我講過哪兩首詩篇呢?
[00:01:30.400 --> 00:01:34.800]  答案就是詩篇第一篇和詩篇第十九篇
[00:01:34.800 --> 00:01:38.200]  兩首詩都是比較開心的詩
[00:01:38.200 --> 00:01:41.600]  所以是時候人生有喜樂
[00:01:41.600 --> 00:01:44.800]  人生都有悲哀、傷痛的時候
[00:01:44.800 --> 00:01:47.400]  所以是時候選一首哀歌
[00:01:47.400 --> 00:01:52.800]  今天我們要講的一首詩篇
[00:01:52.800 --> 00:01:56.200]  51篇是一首所謂在形式上
[00:01:56.200 --> 00:01:58.600]  詩篇研究的人叫做Lament
[00:01:58.600 --> 00:02:00.600]  是一首哀歌
[00:02:00.600 --> 00:02:04.800]  特別是詩人為他的罪惡
[00:02:04.800 --> 00:02:08.600]  來表示哀動的一首詩歌
[00:02:08.600 --> 00:02:12.000]  詩歌總共有18節的
[00:02:12.000 --> 00:02:13.800]  有19節的
[00:02:13.800 --> 00:02:16.000]  但是我們沒有時間講完
[00:02:16.000 --> 00:02:20.600]  我們就讀頭的12節
[00:02:20.600 --> 00:02:27.600]  我們基本上讀詩篇的頭的一部分
[00:02:27.600 --> 00:02:30.200]  我們一起來讀完12節
[00:02:30.200 --> 00:02:31.600]  由第一節開始
[00:02:31.600 --> 00:02:33.000]  預備起
[00:02:33.000 --> 00:02:36.800]  神啊 求祢按祢的慈愛憐恤我
[00:02:36.800 --> 00:02:39.000]  按祢豐盛的慈悲
[00:02:39.000 --> 00:02:41.000]  淘沒我的過犯
[00:02:41.000 --> 00:02:44.400]  求祢將我的罪孽洗盡
[00:02:44.400 --> 00:02:46.600]  並解除我的罪
[00:02:46.600 --> 00:02:48.600]  第三
[00:02:48.600 --> 00:02:52.000]  因為我知道我的過犯
[00:02:52.000 --> 00:02:54.600]  我的罪常在我面前
[00:02:54.600 --> 00:02:58.400]  我向祢犯罪唯獨得罪了祢
[00:02:58.400 --> 00:03:01.000]  在祢眼前行了這惡
[00:03:01.000 --> 00:03:04.800]  以至祢責備我的時候顯為公義
[00:03:04.800 --> 00:03:08.000]  判斷我的時候顯為清整
[00:03:08.000 --> 00:03:10.600]  我是在罪孽裡生的
[00:03:10.600 --> 00:03:14.600]  在我母親懷胎的時候就有了罪
[00:03:14.600 --> 00:03:17.600]  祢所喜愛的是內裡誠實
[00:03:17.600 --> 00:03:21.800]  祢在我隱密處必使我得智慧
[00:03:21.800 --> 00:03:24.600]  求祢用牛膝草潔淨我
[00:03:24.600 --> 00:03:26.200]  我就乾淨
[00:03:26.200 --> 00:03:27.800]  求祢洗滌我
[00:03:27.800 --> 00:03:29.800]  我就比雪更白
