
[00:00:00.000 --> 00:00:09.000]  今天是第五次我們一起走馬拉基斯神的話的旅程
[00:00:09.000 --> 00:00:14.000]  我深信在過去這段日子,這幾次的聚會當中
[00:00:14.000 --> 00:00:20.000]  神所說的話多多少少都對你有特別的訊息告訴你
[00:00:20.000 --> 00:00:23.000]  每一個人所聽到的是不同
[00:00:23.000 --> 00:00:31.000]  最重要的是你知道自己聽到哪一句,哪一個意念,哪一句話
[00:00:31.000 --> 00:00:39.000]  聽神的話是不難的,只要心打開,你會有一種很自然很獨特的感應
[00:00:39.000 --> 00:00:42.000]  好像我們那個螢光,有一種感應
[00:00:42.000 --> 00:00:47.000]  那種感應就是你聽到一句話之後,始終在你的腦裏纏繞著纏繞著
[00:00:47.000 --> 00:00:53.000]  不知為何揮不去那句就是神這幾天要特別對你說的話
[00:00:53.000 --> 00:00:59.000]  求著幫助你幫助我,在聽到祂很多很多的說話,很多句子裏面
[00:00:59.000 --> 00:01:05.000]  單單就是那幾句打入你的心裏面,帶著那幾句在你的生命裏面一直發芽生長
[00:01:05.000 --> 00:01:12.000]  甚至是有個突破有個改變,我相信已經是值得足夠這個東領營
[00:01:12.000 --> 00:01:18.000]  一個東領營裏面整個說話這麼多這麼豐富,很難完全消化,也很難全部都能夠感受
[00:01:18.000 --> 00:01:23.000]  不要緊,但是最重要的是知道神要你聽的是哪一句
[00:01:23.000 --> 00:01:26.000]  不要白白的來,白白的離開
[00:01:26.000 --> 00:01:31.000]  《馬拉基書》是一本很嚴厲的書,我一直都這樣說
[00:01:31.000 --> 00:01:39.000]  但是《馬拉基書》的神並不只是在乎嚴厲,要罵人,發脾氣
[00:01:39.000 --> 00:01:43.000]  《馬拉基書》一切的嚴厲背後是一份很深的愛
[00:01:43.000 --> 00:01:49.000]  是希望每一個屬於祂的人,由2500年前的以色列人
[00:01:49.000 --> 00:01:54.000]  到今天的你和我坐在這裏的人,因為神的嚴厲的緣故
[00:01:54.000 --> 00:01:58.000]  打開自己的生命,讓神再次清洗自己的生命
[00:01:58.000 --> 00:02:03.000]  然後過一個從今以後不再一樣的基督徒的生命
[00:02:03.000 --> 00:02:10.000]  這是一個什麼樣的生活?就是《馬拉基書》經常提到的一個敬虔的生活
[00:02:10.000 --> 00:02:17.000]  在一個這麼世俗化的香港,在一個這麼現代化的教會環境當中
[00:02:17.000 --> 00:02:22.000]  敬虔這些字很少人說,但是聖經裏面說完又說
[00:02:22.000 --> 00:02:28.000]  神的挑戰就是你夠不夠膽繼續過一個敬虔的生活
[00:02:28.000 --> 00:02:35.000]  或者用當日以色列人一種反面的說法就是,過一個敬虔的生活值不值得?
[00:02:35.000 --> 00:02:40.000]  何必呢?我已經這麼辛苦了,謀生這麼艱難
[00:02:40.000 --> 00:02:44.000]  千斤擔又有家庭,又有經濟,又有事業壓力
[00:02:44.000 --> 00:02:49.000]  還要上課,又要加班,如果有了子女,有了父母
[00:02:49.000 --> 00:02:53.000]  這麼多的事情,我僅僅應付好了,我應付之餘
[00:02:53.000 --> 00:02:57.000]  老實說,好像以色列人當日,或者我們今天心中很多人心裏亂說
[00:02:57.000 --> 00:03:02.000]  我還去了教會,你想怎樣啊神?我已經很給你面子了
[00:03:02.000 --> 00:03:08.000]  我每個星期都來北宣,一早還在天橋排隊,你想怎樣啊?
[00:03:08.000 --> 00:03:13.000]  還要求我做什麼?我每次都有奉獻,我去了團祭
[00:03:13.000 --> 00:03:16.000]  為什麼還要求我這麼多東西?
[00:03:16.000 --> 00:03:20.000]  我相信這個是當日以色列人心裏的不滿
[00:03:20.000 --> 00:03:25.000]  也是今天很多弟兄姊妹你沒有說出來,我知道你不夠膽說出來
[00:03:25.000 --> 00:03:27.000]  甚至現在叫你承認你都不夠膽承認
[00:03:27.000 --> 00:03:32.000]  但是我們苦心自問,多少時候在我們心裏暗湧有這樣的問題
[00:03:32.000 --> 00:03:37.000]  不服啊,覺得神不是很對得起他
[00:03:37.000 --> 00:03:42.000]  覺得神要求太多,那個敬虔的生活何必要這樣做
[00:03:42.000 --> 00:03:48.000]  那個簡簡單單,平平庸庸的宗教生活容易得多
[00:03:48.000 --> 00:03:51.000]  反正在教會你也有你拿得到的東西
[00:03:51.000 --> 00:03:58.000]  如果從社會學的角度來說,你找到朋友,你甚至找到感情,你找到慰藉
[00:03:58.000 --> 00:04:02.000]  每個星期你來禮拜堂的時候,雖然你付出了錢,付出了時間
[00:04:02.000 --> 00:04:06.000]  但是你有一種生活,是其他你不信耶穌的朋友都沒有的
[00:04:06.000 --> 00:04:09.000]  只是那一點點這麼多,都值得你來
[00:04:09.000 --> 00:04:15.000]  很多時候很多人就為了那一點點,他能夠在教會裏面的生活中拿到的東西
[00:04:15.000 --> 00:04:18.000]  為他繼續去教會,我不知道你聽不聽得明白
[00:04:18.000 --> 00:04:23.000]  這個不是叫做靈命,這個叫做宗教活動
[00:04:23.000 --> 00:04:26.000]  宗教活動也有很多隻數的,你知不知道
[00:04:26.000 --> 00:04:30.000]  宗教活動你認識到一群朋友,起碼他不多點騙你
[00:04:30.000 --> 00:04:33.000]  宗教活動你可以拿到很多connection
[00:04:33.000 --> 00:04:37.000]  不是說這麼壞,到這裏要做什麼層壓式,什麼推銷
[00:04:37.000 --> 00:04:40.000]  進來禮拜堂,有人這樣做,黑人爭道
[00:04:40.000 --> 00:04:42.000]  對不起,我說了我的人
[00:04:42.000 --> 00:04:46.000]  他去團契,他認識大英姐妹,就為了sell他的產品
[00:04:46.000 --> 00:04:50.000]  我們不說那些這麼卑鄙的,我們說一些比較正氣的
[00:04:50.000 --> 00:04:54.000]  但是你來到禮拜堂,其實你找到一群朋友,你多了connection
[00:04:54.000 --> 00:04:58.000]  醫生認識多幾個,你看我們北宣有多少醫生
[00:04:58.000 --> 00:05:02.000]  律師的也有,社工的也有,護士的更多
[00:05:02.000 --> 00:05:04.000]  病都有人理你,是不是
[00:05:04.000 --> 00:05:07.000]  有隻數的,信耶穌,去禮拜堂
[00:05:07.000 --> 00:05:09.000]  但是如果你只是為了這些來到禮拜堂的話
[00:05:09.000 --> 00:05:12.000]  我告訴你,這個不是靈命的生活
[00:05:12.000 --> 00:05:15.000]  這個只是馬拉基斯裡面神一次又一次要罵的
[00:05:15.000 --> 00:05:17.000]  神說你要這麼多東西嗎?
[00:05:17.000 --> 00:05:19.000]  或者相反來說,神說我要你是這些東西嗎?
[00:05:19.000 --> 00:05:23.000]  我不是要你這些東西,我要你的心
[00:05:23.000 --> 00:05:26.000]  我要你的心給我,我要你那個像模像樣
[00:05:26.000 --> 00:05:31.000]  好像我們那天所說的,硬硬正正光明磊落的基督徒生活
[00:05:31.000 --> 00:05:35.000]  對得住神,對得住人,那把口說出來的,是對得住心
[00:05:35.000 --> 00:05:39.000]  那個要求就多,負的代價也都大
[00:05:39.000 --> 00:05:43.000]  難怪我們看到馬拉基斯最深的這一段
[00:05:43.000 --> 00:05:47.000]  那些以色列人還在問,值得嗎這麼做?
[00:05:47.000 --> 00:05:51.000]  值不值得?我們看今天這一段聖經
[00:05:51.000 --> 00:05:55.000]  我們打開馬拉基斯第三章,十三節
[00:05:55.000 --> 00:05:57.000]  在這裡看到第四章完結了
[00:05:57.000 --> 00:06:05.000]  如果你是有這個刑罰的,在手上就打開我們第五講,講義
[00:06:05.000 --> 00:06:08.000]  第四十五頁,第五講的講義那裡
[00:06:08.000 --> 00:06:15.000]  馬拉基斯第三章,十三、十四、十五三節
[00:06:15.000 --> 00:06:20.000]  其實就是代表了以色列人當時心底裡
