
[00:00:00.000 --> 00:00:05.000]  我問黃牧師可以說到幾點
[00:00:05.000 --> 00:00:07.000]  他說隨便我
[00:00:07.000 --> 00:00:11.000]  大家預備今晚在這裏吃晚飯
[00:00:11.000 --> 00:00:13.000]  好不好
[00:00:13.000 --> 00:00:15.000]  好呀
[00:00:15.000 --> 00:00:17.000]  不過我沒有這樣的預備
[00:00:17.000 --> 00:00:19.000]  我約了人
[00:00:19.000 --> 00:00:21.000]  所以大家可以安心
[00:00:21.000 --> 00:00:23.000]  我一定可以
[00:00:23.000 --> 00:00:25.000]  或者遲一點
[00:00:25.000 --> 00:00:27.000]  不會遲很多
[00:00:27.000 --> 00:00:30.000]  我們一起來唱這首歌
[00:00:30.000 --> 00:00:32.000]  我們知道神是作王的神
[00:00:32.000 --> 00:00:35.000]  今次我想大家的國語
[00:00:35.000 --> 00:00:37.000]  普通話應該有進步
[00:00:37.000 --> 00:00:39.000]  因為被我逼出來
[00:00:39.000 --> 00:00:44.000]  不過有些音可能還差一點
[00:00:44.000 --> 00:00:45.000]  我聽到
[00:00:45.000 --> 00:00:47.000]  不過已經大致上非常好
[00:00:47.000 --> 00:00:49.000]  那個退縮
[00:00:49.000 --> 00:00:58.000]  退縮
[00:00:58.000 --> 00:01:00.000]  口渴
[00:01:00.000 --> 00:01:05.000]  三點水那個就是渴
[00:01:05.000 --> 00:01:08.000]  口字邊那個是喝
[00:01:08.000 --> 00:01:10.000]  兩個不一樣
[00:01:10.000 --> 00:01:12.000]  不過大家應該慢慢
[00:01:12.000 --> 00:01:15.000]  你會更多的深入明白
[00:01:15.000 --> 00:01:18.000]  普通話是怎樣說的
[00:01:18.000 --> 00:01:21.000]  在這裏其實是一個很好的機會
[00:01:21.000 --> 00:01:24.000]  因為有時你們唱國語歌
[00:01:24.000 --> 00:01:28.000]  我以前在這裏也是唱國語歌
[00:01:28.000 --> 00:01:30.000]  在神學院
[00:01:30.000 --> 00:01:32.000]  去到菲律賓
[00:01:32.000 --> 00:01:34.000]  要用國語講到
[00:01:34.000 --> 00:01:37.000]  半鹹不淡半生未熟
[00:01:37.000 --> 00:01:41.000]  不過後來摸一摸就慢慢上手
[00:01:41.000 --> 00:01:45.000]  今次我們講摩西生平
[00:01:45.000 --> 00:01:47.000]  四港
[00:01:47.000 --> 00:01:51.000]  然後伊利亞生平我們講了五港
[00:01:51.000 --> 00:01:54.000]  昨晚我們講了全城
[00:01:54.000 --> 00:01:56.000]  摩西傳給誰
[00:01:56.000 --> 00:01:58.000]  約書亞
[00:01:58.000 --> 00:02:00.000]  今早我們都是要講全城
[00:02:00.000 --> 00:02:04.000]  伊利亞傳給伊麗莎
[00:02:04.000 --> 00:02:08.000]  如果你知道有一天你要離開世界
[00:02:08.000 --> 00:02:10.000]  我們基督徒不怕
[00:02:10.000 --> 00:02:13.000]  我們不是世界上那些人
[00:02:13.000 --> 00:02:16.000]  講到死就怕得要死
[00:02:16.000 --> 00:02:18.000]  我們不怕
[00:02:18.000 --> 00:02:20.000]  我們知道有一天我們要面對主
[00:02:20.000 --> 00:02:22.000]  如果我們一天要離開世界
[00:02:22.000 --> 00:02:25.000]  你最想留下給你的下一代
[00:02:25.000 --> 00:02:29.000]  你的兒女或者你團契裏面的人
[00:02:29.000 --> 00:02:31.000]  或者你心所愛的人
[00:02:31.000 --> 00:02:33.000]  你影響最深的人
[00:02:33.000 --> 00:02:36.000]  你會留些什麼給他們呢
[00:02:36.000 --> 00:02:38.000]  一份愛是嗎
[00:02:38.000 --> 00:02:40.000]  留一份愛給他們
[00:02:40.000 --> 00:02:43.000]  讓他們記得你是愛他們
[00:02:43.000 --> 00:02:47.000]  或者留下一個名份給他們
[00:02:47.000 --> 00:02:49.000]  留名
[00:02:49.000 --> 00:02:51.000]  將你的名譽留下去
[00:02:51.000 --> 00:02:53.000]  所以所有姓陳的
[00:02:53.000 --> 00:02:56.000]  以後屬於我以下的
[00:02:56.000 --> 00:03:01.000]  他們都覺得以姓陳為自誇
[00:03:01.000 --> 00:03:05.000]  或者你想留下一些言語
[00:03:05.000 --> 00:03:07.000]  所以你寫作
[00:03:07.000 --> 00:03:09.000]  或者有些人寫自傳
[00:03:09.000 --> 00:03:13.000]  或者留下一些說話給你的下一代
[00:03:13.000 --> 00:03:15.000]  留言
[00:03:15.000 --> 00:03:19.000]  有些人就將自己的職份
[00:03:19.000 --> 00:03:21.000]  或者很想自己的子女
[00:03:21.000 --> 00:03:25.000]  同樣做你那一份的職
[00:03:25.000 --> 00:03:27.000]  或者做你那一份的生意
[00:03:27.000 --> 00:03:31.000]  將你的職份傳流下去
[00:03:31.000 --> 00:03:34.000]  有些人想留芳百世
[00:03:34.000 --> 00:03:38.000]  其實最好不要流產
[00:03:38.000 --> 00:03:40.000]  什麼叫流產
[00:03:40.000 --> 00:03:42.000]  留下遺產
[00:03:42.000 --> 00:03:45.000]  你流產有時真的會流產
[00:03:45.000 --> 00:03:47.000]  因為下一代
[00:03:47.000 --> 00:03:50.000]  他不一定有那種
[00:03:50.000 --> 00:03:53.000]  裏面那種份量
[00:03:53.000 --> 00:03:57.000]  能力去應付這麼多的金錢
[00:03:57.000 --> 00:03:59.000]  頂尖我不知道哪一樣東西
[00:03:59.000 --> 00:04:01.000]  是你最希望留下
[00:04:01.000 --> 00:04:04.000]  我認為
