
[00:00:00.000 --> 00:00:08.000]  今天下午有音樂會,所以梁執事吩咐我不要太長氣
[00:00:08.000 --> 00:00:12.000]  所以我答應他在很短時間內能夠說出今天的訊息
[00:00:12.000 --> 00:00:17.000]  所以今天可能會比上幾次會快一倍的速度
[00:00:17.000 --> 00:00:20.000]  我們今天看這段經文是四眼節常常都會看
[00:00:20.000 --> 00:00:23.000]  或者常常差點都會看經文
[00:00:23.000 --> 00:00:25.000]  我們多數看的時候都是第二張看起
[00:00:25.000 --> 00:00:27.000]  我們看路加芬第一張的時候
[00:00:27.000 --> 00:00:31.000]  我就說為什麼路加要這樣開始去記述耶穌基督的出生
[00:00:31.000 --> 00:00:35.000]  為什麼不第二張一講就算是講耶穌基督誕生的日子
[00:00:35.000 --> 00:00:41.000]  為什麼要講另外一對姑父天使向祂顯現等等的預報
[00:00:41.000 --> 00:00:44.000]  所以今天我用了一點時間去看這一張的聖經
[00:00:44.000 --> 00:00:46.000]  路加芬第一張的經文
[00:00:46.000 --> 00:00:49.000]  如果看路加芬第一張開始第五節的時候
[00:00:49.000 --> 00:00:52.000]  你就會發覺其實是一個很平凡的技術
[00:00:52.000 --> 00:00:55.000]  應該說差點是一個很平凡的技術
[00:00:55.000 --> 00:00:59.000]  好像很普通的技術是講到一個祭司去獻祭
[00:00:59.000 --> 00:01:04.000]  祭司獻祭的時候這個祭司很明顯不是一個大祭司
[00:01:04.000 --> 00:01:06.000]  可能是一個普通的祭司
[00:01:06.000 --> 00:01:09.000]  因為他是憑著班次去獻祭
[00:01:09.000 --> 00:01:12.000]  所以他不是每一年每個時候都當值
[00:01:12.000 --> 00:01:16.000]  所以一年大概兩個星期這個祭司會當值
[00:01:16.000 --> 00:01:20.000]  其他時候他就是做可能做農夫等等的工作
[00:01:20.000 --> 00:01:23.000]  所以這個祭司在這個時候到了
[00:01:23.000 --> 00:01:25.000]  輪到他班次去當值
[00:01:25.000 --> 00:01:29.000]  他到聖殿去敬拜 聖殿去獻祭
[00:01:29.000 --> 00:01:31.000]  如果你這樣看的時候
[00:01:31.000 --> 00:01:34.000]  其實這個可以說是一個很平凡的技術
[00:01:34.000 --> 00:01:37.000]  祭司去獻祭 獻祭出來的時候
[00:01:37.000 --> 00:01:39.000]  去跟人家有祝討 祝討完結了
[00:01:39.000 --> 00:01:41.000]  接著人就散會了
