
[00:00:00.000 --> 00:00:10.000]  在同打開剛才我們所讀的聖經在我們情緒丹的第八頁,詩篇四十二和四十三篇。
[00:00:10.000 --> 00:00:14.000]  詩篇四十二和四十三篇。
[00:00:14.000 --> 00:00:26.000]  很多弟兄姊妹看到這一篇詩篇,尤其是四十二篇的第一篇,是很熟習,給我們一種很平靜,很溫馨的感覺。
[00:00:26.000 --> 00:00:31.000]  因為詩人說:神呀!我的心切無你如綠切無溪水。
[00:00:31.000 --> 00:00:37.000]  其實我們看著這一節的聖經,有這樣的意象,其實我們搞錯了。
[00:00:37.000 --> 00:00:45.000]  我想起小六班比,很可愛,小小隻,渴慕,很溫馨。
[00:00:45.000 --> 00:00:52.000]  然後,溪水,不知為何我們會聯想起詩篇二十三篇,青草地,溪水旁。
[00:00:52.000 --> 00:00:59.000]  於是我們寫詩歌的人,我們近代的詩歌,用這個靈感,寫出很平靜,很溫馨的詩歌。
[00:00:59.000 --> 00:01:07.000]  其實如果剛才你讀聖經,你留心的時候,詩人說這句話的時候,心情絕不平靜,也絕不溫馨。
[00:01:07.000 --> 00:01:13.000]  你看見他所說的詩歌裏面,曾經提到他的心情是怎樣呢?第七節。
[00:01:13.000 --> 00:01:26.000]  那裏他說:我心好像那些瀑布衝下來,那些雄圖,波圖漫過我身,那種不知所措,衝擊到不能夠慘立的感覺。
[00:01:26.000 --> 00:01:34.000]  然後詩人在這裏有兩次,曾經說:那個人不斷對我說,我的敵人問我你的神在那裏?
[00:01:34.000 --> 00:01:40.000]  用一種嘲弄的,用一種諷刺的口吻,來問他你的神在哪裏?你的神在哪裏?
[00:01:40.000 --> 00:01:47.000]  詩人說我也問我的神在哪裏,因為我所遭遇的,實在令我太憂悶,太煩躁。
[00:01:47.000 --> 00:02:00.000]  以至詩人在第三節裏一開始說:你知不知道我晝夜以眼淚當飲食?我吃東西的時候,我沒有心情,我只在這裏流淚。
[00:02:00.000 --> 00:02:16.000]  這就是詩人的心境,在這個心境下,他說:神啊,我渴慕你,我切賞你好像鹿,渴慕溪水,其實一點都不溫馨,想死想死地渴到,然後哪裏有水喝?那種這樣的心境。
[00:02:16.000 --> 00:02:33.000]  所以我們這樣明白的時候,就知道這段詩篇,這兩篇詩篇,其實是同一篇的詩篇。你讀下去的時候,剛才你留意到第五節,第十一節和四十三篇的第五節,都是同一樣的經文。
[00:02:33.000 --> 00:02:54.000]  三節好像我們唱詩歌的副歌一樣,原文、希伯來文是完全一樣的。詩人說:我的心啊,你為何憂悶?為何在我裏面煩躁?你應當仰望神,我仍要稱讚他。因為你是我的拯救,你是我的神。
[00:02:54.000 --> 00:03:14.000]  你讀錯聖經,不是的,這是我們按照希伯來文原文的翻譯,三節是一樣的,中文和日本的翻譯有一點點不同,尤其是多了一個「他笑臉幫助我」。這句話是很美麗,易經的弟兄或姐妹也很有文采,不過原文是沒有的。
[00:03:14.000 --> 00:03:41.000]  所以如果你以往很有感動這一節,在其他經文裏找也會有,不過這一節不是。這三節的聖經副歌代表了詩人的心境,就是那種痛楚、那種壓力、那種衝擊、那種眼淚,然後他對神說:神啊,為何在我的心裏又憂悶又煩躁?
[00:03:41.000 --> 00:03:59.000]  新譯本的譯法就是:我的心啊,為何沮喪呢?為何在我裏面不安呢?沮喪、不安、憂悶、煩躁,代表了詩人的心事。
[00:03:59.000 --> 00:04:16.000]  這兩段聖經是在我過去這兩個星期裏面自己靈修所讀的聖經,我要求師牧師今天給我和大家一起分享。因為我想和大家一樣,在過去這兩個星期裏面,我們的心,我的心一樣是很憂悶、很煩躁。
[00:04:16.000 --> 00:04:39.000]  憂悶代表了很沉重、很沉重、很沮喪。煩躁代表不知所措,不知怎算,很不安。我就想起這兩句話,我隱約記得詩篇有詩人說過,所以我就找出來,原來真是42篇和43篇。
[00:04:39.000 --> 00:04:52.000]  於是我就看看究竟詩人怎樣找出路,聖經的詩人裏面怎樣找出路。我看了很久,看完又看,看完又看,我有一個發現今天想和大家分享。
[00:04:52.000 --> 00:05:20.000]  我發現詩人沒有在問題裏面得到解答,那些人仍然問他們的神在哪裏,他仍然不明白他自己的遭遇為何要這樣。如果那些學者說這篇詩篇,這篇詩篇是記載到以色列人他被擄離開耶路撒冷的時候,那種心情亡國之痛,神在哪裏呢?那種心境的時候,問題並沒有找到解決,沒有出路。
[00:05:20.000 --> 00:05:41.000]  但是詩人在心境裏面找到出路,事情沒有改變,在心境裏面有出路。詩人說當我望見周圍所發生的事的時候,我心情就沉,但當我心向神仰望的時候,我心就喜。
