
[00:00:00.000 --> 00:00:05.000]  我們感謝主的恩典
[00:00:05.000 --> 00:00:07.000]  回到神的面前
[00:00:07.000 --> 00:00:09.000]  歡喜快樂
[00:00:09.000 --> 00:00:11.000]  無論在現場實體的
[00:00:11.000 --> 00:00:13.000]  或者在家中
[00:00:13.000 --> 00:00:15.000]  在網上的
[00:00:15.000 --> 00:00:18.000]  我們知道神的靈是無所不在
[00:00:18.000 --> 00:00:20.000]  祂今天與我們眾人同在
[00:00:20.000 --> 00:00:22.000]  我們感謝讚美主
[00:00:22.000 --> 00:00:24.000]  今天我特別是用一個主題
[00:00:24.000 --> 00:00:26.000]  來說述一個題目
[00:00:26.000 --> 00:00:28.000]  平時我們在教會裏面
[00:00:28.000 --> 00:00:30.000]  或者比較少提到的
[00:00:30.000 --> 00:00:32.000]  在福音教會裏面
[00:00:32.000 --> 00:00:34.000]  我們一說到聖靈的時候
[00:00:34.000 --> 00:00:36.000]  有一種恐懼感
[00:00:36.000 --> 00:00:39.000]  或者有一種莫名的感受
[00:00:39.000 --> 00:00:42.000]  究竟我要怎樣了解
[00:00:42.000 --> 00:00:44.000]  怎樣去面對
[00:00:44.000 --> 00:00:46.000]  怎樣去認識
[00:00:46.000 --> 00:00:48.000]  我們今天從神的話語裏面
[00:00:48.000 --> 00:00:50.000]  我們來思想
[00:00:50.000 --> 00:00:53.000]  思想一下聖靈與我們之間的關係
[00:00:53.000 --> 00:00:55.000]  是怎樣呢
[00:00:55.000 --> 00:00:57.000]  特別是認識到神的靈
[00:00:57.000 --> 00:01:00.000]  怎樣在我們中間工作
[00:01:00.000 --> 00:01:03.000]  我們對聖靈的認識
[00:01:03.000 --> 00:01:06.000]  究竟我們是怎樣去了解
[00:01:06.000 --> 00:01:09.000]  三位一體的第三位的聖靈呢
[00:01:09.000 --> 00:01:14.000]  祂竟然是三位一體的真神裏面的第三位
[00:01:14.000 --> 00:01:16.000]  我們對聖父的認識
[00:01:16.000 --> 00:01:18.000]  很明白祂的前愛
[00:01:18.000 --> 00:01:21.000]  我們對聖子耶穌基督的救恩
[00:01:21.000 --> 00:01:24.000]  我們很了解十字架的救贖
[00:01:24.000 --> 00:01:27.000]  對聖靈究竟與我們的關係是怎樣呢
[00:01:27.000 --> 00:01:29.000]  今天我們來思想
[00:01:29.000 --> 00:01:31.000]  思想一下神的靈
[00:01:31.000 --> 00:01:37.000]  究竟聖靈的身份與我們的關係是怎樣呢
[00:01:37.000 --> 00:01:40.000]  剛才Wilson大兄跟我們讀出來的經文
[00:01:40.000 --> 00:01:42.000]  一開始就說
[00:01:42.000 --> 00:01:44.000]  主耶穌基督求父
[00:01:44.000 --> 00:01:50.000]  另外賜給你們一位保衛師
[00:01:50.000 --> 00:01:52.000]  我們先了解一下
[00:01:52.000 --> 00:01:54.000]  保衛師是甚麼意思
[00:01:54.000 --> 00:01:56.000]  因為祂永遠與我們同在
[00:01:56.000 --> 00:01:58.000]  這個真理的聖靈
[00:01:58.000 --> 00:02:01.000]  究竟保衛師是甚麼意思呢
[00:02:01.000 --> 00:02:04.000]  保衛師另外一個中文的翻譯
[00:02:04.000 --> 00:02:07.000]  叫做忠保或奮衛師
[00:02:07.000 --> 00:02:10.000]  忠保是甚麼意思呢
[00:02:10.000 --> 00:02:17.000]  就是神人之間的一個中間的重要人物
[00:02:17.000 --> 00:02:19.000]  祂的原文的字
[00:02:19.000 --> 00:02:22.000]  有時我們學一下外語也不要緊
[00:02:22.000 --> 00:02:27.000]  我們知道聖經在新教裏是用希臘文寫成的
[00:02:27.000 --> 00:02:29.000]  所以希臘文裏面
[00:02:29.000 --> 00:02:31.000]  我們一解開你會發現它的意思
[00:02:31.000 --> 00:02:33.000]  它叫做Para Kletos
[00:02:33.000 --> 00:02:35.000]  叫做保衛師
