
[00:00:00.000 --> 00:00:04.000]  請我們再一次同心低頭 同祈禱
[00:00:04.000 --> 00:00:07.500]  天父我們再一次感謝祢 讓祢寶貴的話語作為我們生命的指引
[00:00:07.500 --> 00:00:11.500]  求祢藉著祢的話語提醒 勸勉 教導 安慰 督責我們
[00:00:11.500 --> 00:00:15.500]  讓我們能夠用得下祢的話語 也改變我們的生命
[00:00:15.500 --> 00:00:17.500]  祈禱奉耶穌名 求阿們
[00:00:17.500 --> 00:00:20.500]  請我們再打開這個菲律賓書
[00:00:20.500 --> 00:00:27.500]  我想大家一起和我讀一讀第十三節
[00:00:27.500 --> 00:00:33.500]  十一至十三節是我們的金句 一起讀一讀這三節聖經好不好
[00:00:33.500 --> 00:00:36.500]  我並不是因缺乏說者說
[00:00:36.500 --> 00:00:42.500]  我無論在什麼境況都可以知足 這是我已經學會了
[00:00:42.500 --> 00:00:46.500]  我知道怎樣處悲戰 也知道怎樣處豐富
[00:00:46.500 --> 00:00:50.500]  或飽足或飢餓 或有餘或缺乏
[00:00:50.500 --> 00:00:53.500]  隨處在 我都得了被缺
[00:00:53.500 --> 00:00:58.500]  我靠著那加給我力量的 凡事都能作
[00:00:58.500 --> 00:01:03.500]  中國很有名的作家冰心說了一句很有趣的話
[00:01:03.500 --> 00:01:08.500]  一粒沙裏看世界 半塊花瓣 說人情
[00:01:08.500 --> 00:01:13.500]  人情這東西在中國人眼裡有點古古怪怪
[00:01:13.500 --> 00:01:15.500]  有點神秘感
[00:01:15.500 --> 00:01:21.500]  人家請客 我家送禮 我們叫做做人情
[00:01:21.500 --> 00:01:25.500]  我想想難道人情就等於送禮
[00:01:25.500 --> 00:01:33.500]  在唐人浮 我以前在三藩市博導會做牧師的時候
[00:01:33.500 --> 00:01:37.500]  在唐人浮上班 其中一個最大的隱憂是什麼呢
[00:01:37.500 --> 00:01:39.500]  就是外出吃飯
[00:01:39.500 --> 00:01:43.500]  我很早就做了一個決定 盡量少外出吃飯
[00:01:43.500 --> 00:01:48.500]  尤其是喝茶 煎煎炒炒 炒粉 炒麵 MSG 豬油
