
[00:00:00.000 --> 00:00:06.000]  早晨, 請姐妹平安。
[00:00:06.000 --> 00:00:12.000]  我們今早在崇拜裏面一起思想一段神的話。
[00:00:12.000 --> 00:00:22.000]  我請大家打開, 如果是唐用聖經的話,是1446頁, 《馬拉基書》的第三章。
[00:00:22.000 --> 00:00:36.000]  1446頁, 很容易找到的, 因為是舊約聖經裏面最後一段書, 最後一章, 最後一段。
[00:00:36.000 --> 00:00:42.000]  你再翻過去就已經抹了灰了, 所以一定找得到的。
[00:00:42.000 --> 00:00:59.000]  《馬拉基書》第三章十三至四章三節, 我們在2019年的最後一個月, 我們來思想舊約裏面最後一段說話。
[00:00:59.000 --> 00:01:13.000]  《馬拉基書》三章十三至四章三節, 究竟神有什麼說話對我們來說呢? 我很想用今天這段聖經一起來聆聽和思想。
[00:01:13.000 --> 00:01:26.000]  其實這段聖經就好像神自己的說話一樣, 很有力量的, 所以我們真的不需要多作很多的解說或者演繹。
[00:01:26.000 --> 00:01:35.000]  當中一些說話, 我希望大家今天也記住, 成為我們生命裏面很重要的不斷提醒。
[00:01:35.000 --> 00:01:40.000]  待會我會告訴大家, 你們記住什麼說話, 都是聖經裏面的說話。
[00:01:40.000 --> 00:01:45.000]  我們發覺這段聖經裏面, 神用的說話很厲害的。
[00:01:45.000 --> 00:01:52.000]  一開始十三節就說, 神說你們為什麼用說話來頂撞我?
[00:01:52.000 --> 00:02:02.000]  然後, 人就說我什麼時候頂撞過你? 哇, 一開始就吵架了。
[00:02:02.000 --> 00:02:12.000]  幾次我們在香港茶餘飯後見面, 在街上, 這種文化真是厲害。
[00:02:12.000 --> 00:02:18.000]  神說你為什麼頂撞我? 人說我什麼時候頂撞過你?
[00:02:18.000 --> 00:02:28.000]  神說因為有兩件事, 你們說了。 第一, 第十四節, 你說侍奉神的人有什麼用?
[00:02:28.000 --> 00:02:37.000]  聽他吩咐, 又守他的禮約的, 有什麼好處? 侍奉神有什麼用?
[00:02:37.000 --> 00:02:46.000]  十五節, 第二, 你們說, 你們看看那些驕傲的人, 他真是有福喔。
[00:02:46.000 --> 00:02:56.000]  原文驕傲, 和合本也好, 狂傲, 狂傲的人有福, 不斷被人建立,
[00:02:56.000 --> 00:03:02.000]  他們做了一切惡事, 但是竟然可以逃脫。
[00:03:02.000 --> 00:03:07.000]  好人受屈, 惡人風光。
[00:03:07.000 --> 00:03:18.000]  或者說, 在過去幾個月, 我們心情都有這樣的怨恨, 有這樣的憤怒。
[00:03:18.000 --> 00:03:29.000]  然後神說為什麼你頂撞我? 我沒有頂撞你, 我只是怒氣, 我罵一下人, 我就坐一下人。
[00:03:29.000 --> 00:03:34.000]  不要告訴我, 我只是說說髒話。
[00:03:34.000 --> 00:03:45.000]  我們香港這幾個月真是厲害, 其中一個最大的發展, 在幾天前, 大概三天前, 我收到一段片, 一段六分鐘的片,
[00:03:45.000 --> 00:03:51.000]  我們是那些說不看不看, 最後看的人, 和你們一樣。
[00:03:51.000 --> 00:03:57.000]  整段片, 一個現場錄影, 很簡單的,
[00:03:57.000 --> 00:04:06.000]  有一個警察去搜一個年輕人的包, 然後看他的證件,
[00:04:06.000 --> 00:04:15.000]  那個年輕人就開始用一個極其有創意, 毒辣和流利的髒話罵警察。
[00:04:15.000 --> 00:04:26.000]  心裏想, 如果我用十分之一, 在紐約街頭罵警察, 我想他會打我很久。
[00:04:26.000 --> 00:04:35.000]  然後又很奇怪, 再加上兩個警察, 三個人用同樣毒辣的髒話罵這個年輕人。
[00:04:35.000 --> 00:04:48.000]  然後, 年輕人旁邊一個可能不認識他的, 他又加上去, 整個六分多鐘, 髒話橫飛。
[00:04:48.000 --> 00:05:00.000]  我突然間發覺, 老實說, 我從小到大, 我跟著我爸爸在七廠, 聽工友說髒話都算很熟習。
[00:05:00.000 --> 00:05:10.000]  那種創意, 如果香港有什麼演進呢? 髒話真的數第一。
[00:05:10.000 --> 00:05:21.000]  你說我不喜歡而已, 我不值得而已, 那些人為什麼亂說話, 這樣都相信?
[00:05:21.000 --> 00:05:43.000]  神話你用說話頂撞我, 我有什麼說話頂撞你? 人家說, 我沒有頂撞你, 神話你說那些惡人竟然沒事, 風風光光, 我做好人, 我去侍奉神, 白費的, 廢的我侍奉神, 沒用的, 有什麼益處?
[00:05:43.000 --> 00:05:55.000]  你知不知道當你說這些話的時候, 你是在頂撞神, 因為我沒有頂撞神, 神話我覺得你是頂撞我, 因為你所看的角度和我所看的角度不同。
[00:05:55.000 --> 00:06:09.000]  這是第一個馬拉基的信息, 馬拉基的信息裡面很多次就是說, 你看東西, 你以為自己正確, 神話你知不知道你有沒有從我的角度去看?
[00:06:09.000 --> 00:06:26.000]  你忘記了你從我的角度去看, 所以你看就沒事, 你認為我只不過是做人要做的事, 人之常情, 你知不知道神話我看是不同的, 你怎麼看? 跟著聖經很有意思的,
[00:06:26.000 --> 00:06:46.000]  從第六節開始, 十七, 十八, 三節就說, 你試試從我的角度去看, 我告訴你我怎麼看東西, 好不好? 五個角度, 說了五句話, 我剛才說這些話不需要再有很多解釋, 希望同學都記住這五句話,
[00:06:46.000 --> 00:07:03.000]  這五句話經常在我們腦子裡提醒我們, 我們從神的角度看, 從上面看下來的時候, 可能看到很不同的東西, 很不同的標準, 今天你和我需要用這個角度去看,
[00:07:03.000 --> 00:07:20.000]  在過去這幾個月裡, 當然我不是時常在北宣家講道, 很難講道的, 這幾個月, 我和大家講過, 我也是很明顯的, 我在港台上不會講政治立場,
[00:07:20.000 --> 00:07:46.000]  我當然有政治立場, 但你不要對號入座, 我不講政治立場, 我不是說我不講神的話, 我認為我們在這幾個月裡已經聽了太多人的話, 你和我從早到晚, 一起床就看手機, 看訊息, 看新聞, 為什麼神會這樣, 為什麼這些人會這樣,
[00:07:46.000 --> 00:07:58.000]  我們聽了很多人的話, 但我們太少聽神的話, 請我們在這幾個月裡, 我們特別需要回到神那裡, 用神的觀點聽多些神說的話, 好嗎?
[00:07:58.000 --> 00:08:15.000]  這個就是我們今天馬拉機提供的訊息, 你經常覺得, 我只是在想我, 我只是在講我, 但是神說你正在頂撞我, 不是這麼嚴重, 我哪有頂撞你, 我都沒有說你正在頂撞我,
[00:08:15.000 --> 00:08:40.000]  神這幾句話, 請我們留意第十六節, 第一句, 哪是敬畏耶和華的人彼此談論的時候, 耶和華也則以而聽, 本詩則以而聽, 細心留意聽, 第一很有意思, 當我們聊天的時候, 原來神說我在這裡則以而聽,
[00:08:40.000 --> 00:08:58.000]  他正在聽你說話, 你不要以為在吵架的時候, 神不知道, 你不要以為在咒詛人的時候, 神不知道, 你不要以為你在做自己私人時事評論和變態的時候, 你不知道, 神不知道,
[00:08:58.000 --> 00:09:27.000]  你發他的訊息出去, 我就弄死他, 這樣想事情, 多弄幾段給他, 讓他享受一下, 你不要以為神不知道, 神說我則以而聽, 你在說什麼, 我都知道, 這是第一, 神留心細聽, 你記住了, 第二, 神說還有, 原來在神的面前有紀錄冊的,
[00:09:27.000 --> 00:09:52.000]  和本也就是紀念冊, 紀錄那些敬畏神的人, 我記住了, 我不單止聽, 我還有紀錄的, 你知道嗎, 我們有eye cloud, 有external hard disk在這裡, 你說, 你做, 每一句說話, 每做的一件事, 每一個意念, 神說我都記錄了下來,
[00:09:52.000 --> 00:10:14.000]  誰是敬畏我的, 誰在說話, 是頂撞我的, 我知道, 這是第二樣, 神提醒我們, 神是知道的, 這兩樣東西, 跟著我們的神不是單單知道, 神是充滿了他的愛和情和關心,
[00:10:14.000 --> 00:10:41.000]  第三句, 第十七字, 萬君子要話說, 在我施行作為的日子, 他們要屬於我, 做特別的產業, 神說我的指紋是我的產業, 我特別的產業, 神說他們特別屬於我, 我看顧他們的, 我保守他們的, 好像我自己的產業那樣,
[00:10:41.000 --> 00:11:09.000]  又或者, 當我們覺得我們有很多損失, 這幾個月裡面有很多損失, 我們生意有很多損失, 我們在人際關係裡面損失了幾十年的朋友, 一下子就沒有了, 鬧翻了, 家裡都分裂了, 親情有很多傷害, 受傷, 損失, 神說你聽見我, 屬於我的人, 他仍然是我特別的產業,
[00:11:09.000 --> 00:11:34.000]  神說我去看重他們, 我珍惜他們, 所以第四句話, 我必連戌, 連戌這個字原來希伯來文是珍惜的意思, 我必珍惜他們, 好像人珍惜那些服侍他自己的兒子一樣, 好像那個服侍我的兒子, 這樣我珍惜他們,
[00:11:34.000 --> 00:11:55.000]  年輕人就不會明白, 到我這個年紀就明白, 你的子女珍惜你, 是一個很大的安慰, 是不是? 到有一天, 你聽見你女兒說, 爸爸你不要走那麼快, 紅燈啊, 你吃了藥沒有? 哇, 不知道多甜, 你知道嗎?
[00:11:55.000 --> 00:12:21.000]  年輕人就不明白, 老人家煩死了, 你知不知道聽到一句這樣的說話, 能夠服侍你的兒子, 你的女兒, 你多麼珍惜他們, 你明白嗎? 如果你明白, 你明白神說神, 你明白我的心意嗎? 我珍惜那些敬畏我的人, 就好像我珍惜那些服侍父親的子女一樣, 這個是神的珍惜,
[00:12:21.000 --> 00:12:46.000]  我受傷害, 我受到很大的傷害, 我心裏很難過, 人們說的說話, 人們做的事, 我真的很難過, 神說你知不知道我珍惜你, 條件就是你是否敬畏神的人, 是否侍奉神的人, 這是第五點, 所以我不需要說太多, 讀出來你就會記得,
[00:12:46.000 --> 00:13:10.000]  第五句說話裏面有另一個很重要的字, 第十八節, 哪時你們看得出誰是義人, 或者惡人, 是侍奉神, 還是不是侍奉神的人, 之間有什麼區別, 剛才我們說了幾個字, 希望你記得, 第一個是質疑而聽, 記得嗎?
[00:13:10.000 --> 00:13:38.000]  第二個是紀念賊, 第三個是神自己特別的產業, 第四個是祂珍惜我們, 好像珍惜那些服侍祂的子女一樣, 第五個是祂有區別的, 在神的區別裏面, 就是我區別誰是侍奉我, 誰不是侍奉我,
[00:13:38.000 --> 00:14:06.000]  誰是敬畏我, 誰不是敬畏我, 在神的角度裏面, 祂沒有區別誰是藍營, 誰是黃營, 誰是藍絲, 誰是黃絲, 到有天來到神面前的時候, 你以為我們在爭論嗎? 哎, 祂是藍的, 怎麼搞的? 祂是黃的, 什麼都敢做的, 神說我不看得出這些分別, 沒藍沒黃, 我看得出誰是侍奉我, 誰不侍奉我, 我只看到這一點, 你明白嗎?
[00:14:06.000 --> 00:14:30.000]  兩個不同的觀點, 我看見誰是敬畏我, 誰不敬畏我, 兄弟姐妹, 我們今天不說明明是祂錯的, 我不知道誰錯誰錯, 坦白說, 今天你和我可能大家都錯, 是不是? 我曾經說過的, 不知道在這裏崇拜有沒有說過, 請我們不要再扮演上帝, 好嗎?
[00:14:30.000 --> 00:14:58.000]  我們基督徒要扮演上帝, 永遠都是我對, 永遠都是他錯, 扮演上帝, 你明白嗎? 是不是? 我永遠都不會錯的, 我收到的信息永遠都是真的, 別人收到的信息永遠都是假的, 是不是? 明知道你說的話都不對, 但是我們還是要這樣做, 神說對不起, 我不懂得怎麼分辨你們的東西, 我只懂得分辨一件事, 你是不是侍奉我的? 誰不侍奉我?
[00:14:58.000 --> 00:15:27.000]  你是不是敬畏我的? 誰不敬畏我? 我相信今天你和我給自己一個很簡單的考驗, 和試一下一個測驗, 在這段日子裏面你發覺你自己越來越親近神, 因為你的怒氣, 你所說的話, 你的心思, 意念, 你的感情, 你的情緒, 越來越和神疏遠,
[00:15:27.000 --> 00:15:52.000]  越來越不想上禮拜堂見弟兄姊妹, 唱詩越來越沒味道, 祈禱越來越疏離, 我告訴你如果是這樣的話, 無論你覺得自己多對, 無論你以為你自己站在真理和正義那一面, 你都在神的判斷下, 神懂得區別的, 你是那個沒有侍奉神的人, 你是遠離神的人, 你明白分別嗎?
